Molecule	Cycle_1	Cycle_2	Cycle_3	Cycle_4	Cycle_5	Cycle_6	Cycle_7	Cycle_8	Cycle_9	Cycle_10	Cycle_11	Cycle_12	Cycle_13	Cycle_14	Cycle_15	Cycle_16	Cycle_17	Cycle_18	Cycle_19	Cycle_20	Cycle_21	Cycle_22	Cycle_23	Cycle_24	Cycle_25	Cycle_26	Cycle_27	Cycle_28	Cycle_29	Cycle_30	Cycle_31	Cycle_32	Cycle_33	Cycle_34	Cycle_35	Cycle_36	Cycle_37	Cycle_38	Cycle_39	Cycle_40	Cycle_41	Cycle_42	Cycle_43	Cycle_44
Hydrogen	0.018499783824963874	0.4233650432135849	0.5716425544098731	0.5996532318080119	0.603357493337981	0.615361403170005	0.6172547665739833	0.6266141853501709	0.6333263771182517	0.644253009459812	0.6472399251688218	0.6433827969807447	0.6543133086822501	0.6558361950956177	0.6577730268850024	0.6559461713452968	0.6659407557481032	0.6666110895208884	0.678207991673343	0.669470229707278	0.6763864724094572	0.6793830528045207	0.6776846121157625	0.6762443160501593	0.688821053758536	0.685665933613781	0.7040822191893488	0.6967187805823353	0.6917349356936473	0.687114156134386	0.701876489079629	0.7160354207406976	0.7064544800092217	0.7121857627893237	0.6571752008837195	0.2778307333459704	0.23810958578148647	0.093495949225703	0.050020674369392885	0.04325312324137353	0.04230858692499627	0.047658774805535785	0.04280337237614914	0.0423325064148517
Deuterium	3.5900558815849344e-06	9.742430528982776e-06	1.0847853386363665e-05	1.0854366077214796e-05	1.2008609434530823e-05	1.1181229974989981e-05	1.097480568192338e-05	1.1830592206847041e-05	1.181515853739348e-05	1.0691899900651457e-05	1.2054045589367517e-05	1.1896357171261164e-05	1.2723756226119128e-05	1.1388635613061731e-05	1.1142809249506068e-05	1.2299278343721566e-05	1.2701525445850947e-05	1.2666977182942682e-05	1.328777427257906e-05	1.1954119950046968e-05	1.15163825532014e-05	1.16099791991432e-05	1.1836701205477133e-05	1.2131300964505457e-05	1.2391576112395905e-05	1.2465835628842079e-05	1.1255858538354829e-05	1.1918757902305561e-05	1.208944256762877e-05	1.29672820575749e-05	1.2532348292414977e-05	1.334404830101671e-05	1.2207757657522415e-05	1.1876224567239553e-05	1.2026917122077986e-05	1.1076408555216297e-05	1.0479043489122764e-05	9.698836564985078e-06	4.631933609399809e-06	4.809424562881855e-06	4.159212474845172e-06	4.494493849446379e-06	4.868385195562129e-06	3.554370754419313e-06
Methane	6.384495931141443e-05	0.00046746313316451	0.0005281959685911103	0.0006643368281698317	0.0005315200205908897	0.0006116155689140126	0.0006652667984680343	0.000628851932254	0.0006504504023450229	0.0006913612173519062	0.0006294140682709663	0.000569114379908425	0.0006983215732605158	0.000707522965783891	0.00067123326915364	0.0005517234712583488	0.0008083927087229375	0.0007179791319580519	0.0006439006092112967	0.0008424774427189008	0.0007370621866479379	0.0006967891806056682	0.0007800663310188319	0.0009694294923790356	0.0008290605639781567	0.0007841159035781278	0.0008040535961726146	0.0009041968053342738	0.0008099743593440619	0.0007315019859630774	0.001039500092231171	0.0008071723750626092	0.0008924270135634909	0.0008411863295283865	0.0010513789878169185	0.003820214830150448	0.004026564539902175	0.00360083605199099	0.001001649804353995	0.0004556121482124663	0.0002981567799597761	0.00030558781415803847	0.00026641987083304304	0.0002583864550818369
Water	0.0032162264076928656	0.0031632164665081636	0.0031304405913595208	0.0031394944016983717	0.0032763402019966585	0.003402662240707868	0.0035567438108524943	0.00373208508027895	0.0038337401326994152	0.004019015130533464	0.004119881013494928	0.004174060875935558	0.004390760756990229	0.004369893424456688	0.0044171371660613025	0.004460040837307199	0.004583099979688525	0.0046530073156278735	0.004667868858553901	0.004719183655155063	0.004682818797734786	0.0047077406177474836	0.0047315810193364624	0.004807781861638891	0.004822502463468332	0.004823413958746094	0.004839788115159697	0.0048695584628338	0.004855966139625934	0.004855302251027523	0.004936602071374859	0.004896341230026088	0.004917794886201524	0.005010598197839415	0.005102937855759822	0.007807599028557059	0.007634439978430046	0.007093820129652301	0.004825239584746384	0.003993248081362098	0.0037194195069826432	0.0038194834164622404	0.003725170128729433	0.003711882026361865
Acetylene	0.00019892672988100816	0.018632785282910326	0.020008898233599432	0.01999598251995227	0.020196006814874195	0.020291056306488517	0.020770091777957734	0.020677261124404638	0.020618035703007364	0.0209123817938677	0.020686527669165688	0.021155985890962847	0.02101988458695385	0.02126854897879302	0.021172964805485046	0.021217452664473422	0.02138772988326126	0.021641340239105123	0.021672390476351378	0.02163769913485302	0.02159301572751158	0.0217946145310412	0.021742373413932037	0.02161713157708147	0.021969585340443475	0.022162571346860765	0.02196006408142752	0.021800849018302607	0.02247782756718171	0.022456580251800393	0.02223099233364186	0.022650520424224184	0.02278574928536312	0.023088651256550727	0.014047354491195993	0.005904616355114591	0.00480025035327325	0.0010496694063934478	0.0014853723469860337	0.0015654396687701582	0.0017036461303188244	0.0020786868505151784	0.0018610884091911166	0.0019775618692655338
Carbon monoxide	0.008816312186346363	0.052455146996909195	0.05602531789364223	0.05622131072168213	0.05609369852323637	0.05658075403065866	0.056585426846241765	0.05643354709457767	0.05645329193659945	0.05670377324085352	0.056308328799908054	0.05672858646427577	0.05652858200440746	0.0564528364793082	0.056338540578283976	0.0563622813028827	0.05643557863203885	0.05665738859239313	0.0567151269214471	0.05635725347193052	0.05635957290404034	0.056447218968260465	0.05624262197444117	0.055850547249302974	0.05634599808720327	0.056376631878222505	0.05637921813829454	0.05588420654562119	0.05669956572477545	0.056401132304824686	0.05632308058299026	0.056688246370975234	0.05650166343818295	0.056518564898304216	0.04174782888538394	0.03039436582682851	0.02529276460499549	0.006899388517385372	0.007797276974429184	0.00830315409236274	0.009451055981680426	0.011110709765063955	0.010318741909878401	0.011019344210677613
Ethylene	0.0	0.002386896276686054	0.0029884292121018364	0.003371615844079454	0.0033776664570509683	0.003420602516956419	0.0033895790466568583	0.003322660273946357	0.003273722757840395	0.0032017782037529158	0.0031224756644024267	0.003049736656299798	0.0029778442220285807	0.002913812663893619	0.0028244219023774997	0.0028448177747864086	0.0027885174719638264	0.002711903088519535	0.0026320807669700788	0.002601381817679345	0.002599566587581093	0.0025670194950192984	0.002585356609271379	0.0024895217446727473	0.00249454616477311	0.0024303559910083213	0.0024507805474448517	0.002335561679132688	0.002331535810114875	0.0023468485421591296	0.0022224696726344364	0.0022480048904733887	0.002206051613266177	0.00221549240637926	0.00140912332464306	0.0045900813196293475	0.003904029340700659	0.002426392820934764	0.00047850715199309176	0.0	0.0	0.0	0.0	0.0
Ethane	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003114810969634814	0.0	0.0017623234599553732	0.0	0.0	0.0	0.0	0.0	0.0
Oxygen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00022236294609700893	0.0	8.71622927079856e-05	0.0	0.00019463478162104803	0.00026262016319656854	0.00036306058064055594	0.0004204015272843767	0.00042768047291874767	0.00047999649952682106
Argon	1.0143704098538129	1.013291144987878	1.0130582046230767	1.013009256621371	1.0129476258011636	1.0131064445738367	1.0130635560138341	1.0130697602576408	1.0130893836423298	1.0130875319248345	1.012999514976415	1.0129105167346932	1.012948360974384	1.0129633233247584	1.0130750482561088	1.0131314971026393	1.0132304909332712	1.0132257659858397	1.0132082238151916	1.0132915733471795	1.0132398450010713	1.0131693467982101	1.0132560685544982	1.01323725511679	1.013235221199476	1.0133881373746527	1.0133192435413385	1.0133229950712483	1.0134406377519218	1.013475205848146	1.0134711122152085	1.0133738346680052	1.013441053467472	1.0133996679913604	1.0120941381350295	1.0136725856208317	1.0129756518638064	1.0134863650436121	1.0138034871188586	1.0137834900008265	1.013780199267265	1.0136297075556895	1.0136513977347004	1.0136110017360973
