Molecule	Cycle_1	Cycle_2	Cycle_3	Cycle_4	Cycle_5	Cycle_6	Cycle_7	Cycle_8	Cycle_9	Cycle_10	Cycle_11	Cycle_12	Cycle_13	Cycle_14	Cycle_15	Cycle_16	Cycle_17	Cycle_18	Cycle_19	Cycle_20	Cycle_21	Cycle_22	Cycle_23	Cycle_24	Cycle_25	Cycle_26	Cycle_27	Cycle_28	Cycle_29	Cycle_30	Cycle_31	Cycle_32	Cycle_33	Cycle_34	Cycle_35	Cycle_36	Cycle_37	Cycle_38	Cycle_39	Cycle_40	Cycle_41	Cycle_42	Cycle_43	Cycle_44	Cycle_45	Cycle_46	Cycle_47	Cycle_48	Cycle_49	Cycle_50	Cycle_51	Cycle_52	Cycle_53	Cycle_54	Cycle_55	Cycle_56	Cycle_57	Cycle_58	Cycle_59	Cycle_60	Cycle_61	Cycle_62	Cycle_63	Cycle_64	Cycle_65	Cycle_66	Cycle_67	Cycle_68	Cycle_69	Cycle_70	Cycle_71	Cycle_72	Cycle_73	Cycle_74	Cycle_75	Cycle_76	Cycle_77	Cycle_78	Cycle_79	Cycle_80	Cycle_81	Cycle_82	Cycle_83	Cycle_84	Cycle_85	Cycle_86	Cycle_87	Cycle_88	Cycle_89	Cycle_90	Cycle_91	Cycle_92	Cycle_93	Cycle_94	Cycle_95	Cycle_96	Cycle_97	Cycle_98	Cycle_99	Cycle_100	Cycle_101	Cycle_102	Cycle_103	Cycle_104	Cycle_105	Cycle_106	Cycle_107	Cycle_108	Cycle_109	Cycle_110	Cycle_111	Cycle_112	Cycle_113	Cycle_114	Cycle_115	Cycle_116	Cycle_117	Cycle_118	Cycle_119	Cycle_120	Cycle_121	Cycle_122	Cycle_123	Cycle_124	Cycle_125	Cycle_126	Cycle_127	Cycle_128	Cycle_129	Cycle_130	Cycle_131	Cycle_132	Cycle_133	Cycle_134	Cycle_135	Cycle_136	Cycle_137	Cycle_138	Cycle_139	Cycle_140	Cycle_141	Cycle_142
Hydrogen	0.00031955485607614606	0.00029687446828181933	0.00028178497918730273	0.00027426761085784	0.0002701522341696547	0.0002658508507702918	0.24234084924678914	0.33103315126719385	0.3356049372478698	0.3410191802481195	0.34374449004416974	0.33863512452743577	0.33534516624933763	0.34047972235123297	0.3373686213701567	0.3383328688054682	0.3376881976315252	0.33592003934930437	0.3385094024058769	0.34144607815484507	0.33590870945670825	0.3368871986415412	0.33987187888616993	0.3376009490512779	0.33712397578925674	0.34076184845048035	0.33375990095797986	0.33720263924436533	0.3418306081368116	0.34295004801662726	0.3376855441697739	0.3374150871960623	0.33638124882932496	0.33540083495317025	0.3337555262736476	0.33906907762451527	0.33507818175382864	0.32962256453727856	0.33476114073364005	0.33760196713495944	0.3324444088006254	0.3315450525170126	0.33446573421635917	0.33548903709498745	0.33349137456105	0.33294234993269556	0.33869583086649724	0.33456079410401307	0.3361707551317184	0.33911955963330115	0.3331071378400799	0.3314833992454073	0.33765127406508894	0.3347928295661354	0.3337745204933518	0.3347559542803182	0.3318441348072398	0.3342534140328247	0.3298207655335984	0.33335428194330385	0.3309730640446184	0.33436155114089855	0.3328460324239612	0.33087210541276096	0.3336905360535343	0.32900610963709975	0.3371300737534626	0.3296170615719889	0.33164656442006574	0.33022696104810384	0.3318112375938265	0.3279377250721158	0.32698554484406256	0.3296923655127083	0.332293925815641	0.3287467393871812	0.3258072182567268	0.3258901865596804	0.32663647207296614	0.3260762941924618	0.3293835430992317	0.3257914065647965	0.32725466007056836	0.32646034415861247	0.3291062482494221	0.329149595409735	0.32891171431520655	0.33048050761629383	0.32912538297617133	0.3319832419306062	0.33195221663880947	0.3329495540223277	0.3328680334443559	0.3309398851530098	0.32925433517619024	0.3308628537041065	0.33100890626148843	0.3288914088567622	0.3318233722143448	0.327832109681523	0.3307315393831049	0.33156448119488124	0.33625312516546657	0.3282528827093995	0.32781992539856303	0.32477618399358	0.3271849677790803	0.32768615260733763	0.33096921363033716	0.32464951650652085	0.3290236272534095	0.32617255478581664	0.3282075127710104	0.32494087119254733	0.32589301869383397	0.3264277300999477	0.32602535365377966	0.3294535459177534	0.32828327233853344	0.32548525342987544	0.32999782850503584	0.3290980771727939	0.3241995622929631	0.3276558049763066	0.3262304303128676	0.3235089895024131	0.3249936778847833	0.32381352258225393	0.3282805343246616	0.3281789235576377	0.32376902885729875	0.3275832975286126	0.3282081412830476	0.3265743072830871	0.32505496271634055	0.32752732283458874	0.3252586416572939	0.3270466586943437	0.324782726911812	0.32998898924231196	0.32099642407073625	0.10144017760466538
Deuterium	1.5900944639521622e-06	1.7619220393417113e-06	1.7731466025866115e-06	1.7945123178156066e-06	2.1622964420055227e-06	1.78221083969387e-06	3.0878350766455624e-06	3.7344645338805754e-06	4.1286434533860045e-06	4.907895341577096e-06	5.087210285547413e-06	5.385145957196095e-06	6.7135919892835375e-06	6.43699775144664e-06	7.47723241295204e-06	7.517672599070261e-06	7.660596520109614e-06	8.616897677118323e-06	8.566690552028104e-06	8.963461198530176e-06	9.174356738870681e-06	9.43622808150641e-06	8.82236484277396e-06	9.558922544677702e-06	9.708385076186308e-06	1.0187921728517666e-05	9.36127831072998e-06	1.0120127439918935e-05	9.260170841141775e-06	9.73675166608722e-06	1.0258452127988773e-05	1.037033569872717e-05	1.0554161973507709e-05	1.0110630989159494e-05	1.109119573921571e-05	1.1911887820299893e-05	1.0549213612642005e-05	1.081131810355175e-05	1.0859560236213758e-05	1.0161855395028967e-05	1.0179619007431386e-05	9.917517974430622e-06	1.1250156748839363e-05	1.0507854598540576e-05	1.1905627110208045e-05	1.162543418200819e-05	1.125855469218389e-05	1.0972521136819832e-05	1.1043906422324755e-05	1.1770983936597813e-05	1.0441619842573351e-05	1.1377386401220073e-05	1.1105990814172757e-05	1.1247723281245264e-05	1.1726468903103619e-05	1.112877280865551e-05	1.1643404340560693e-05	1.0867940686470252e-05	1.0904498702166535e-05	1.0844876534242522e-05	1.123771905323166e-05	1.1905393883825286e-05	1.140518316051077e-05	1.0859718159166901e-05	1.1464514705601042e-05	1.1135354789200632e-05	1.1612146074576194e-05	1.1682390310767812e-05	1.1667511945990629e-05	1.286713147395939e-05	1.0957330830089694e-05	1.0621642954326438e-05	1.158375800958643e-05	1.1491465821773492e-05	1.0996378454554034e-05	1.1074615794938612e-05	1.0880346368010017e-05	1.1257813999453975e-05	1.1482136759288516e-05	1.1457846146893855e-05	1.0926936887862509e-05	1.1492978676470586e-05	1.0144104005422674e-05	1.1119439911766277e-05	1.2033077027070431e-05	1.1590953860701597e-05	1.1943161341511161e-05	1.1612788917435324e-05	1.1408661283380564e-05	1.131750924434987e-05	1.2295439111544169e-05	1.1128575202717062e-05	1.113418750780821e-05	1.1206859201221065e-05	1.2352694585811049e-05	1.1730048815626833e-05	1.1116452314881982e-05	1.2145605593011693e-05	1.1885883636936734e-05	1.1404747962057541e-05	1.0609945805810808e-05	1.1433059552259973e-05	1.170019070893618e-05	1.1575535473791716e-05	1.1770466395906737e-05	1.1097554957208721e-05	1.1841633276563092e-05	1.0722037561684569e-05	1.2191970637426168e-05	1.149034834410439e-05	1.1767353242043458e-05	1.1363517450433326e-05	1.1082591985892315e-05	1.1339657106995738e-05	1.233349703307291e-05	1.0874726883036095e-05	1.1573288220155283e-05	1.1646510911557342e-05	1.1543820179777104e-05	1.1696521128417931e-05	1.095221626624119e-05	1.1604849774312136e-05	1.1350113917527897e-05	1.1105387173567158e-05	1.12994766266136e-05	1.1014079994998095e-05	1.1732381066488779e-05	1.110123258608333e-05	1.1577880044415192e-05	1.1115861383400283e-05	1.1526017604470818e-05	1.1247790221279943e-05	1.162157844722357e-05	1.117518875352853e-05	1.1894976601901812e-05	1.1705322727163013e-05	1.1173467051001238e-05	1.203971702213756e-05	1.2515608777132491e-05	1.1579424465040326e-05	1.1982837199591294e-05	1.0458906232928596e-05
Methane	0.0	0.0	0.0	0.0	0.0	4.060764498249736e-06	9.505707393025358e-05	0.00011999919926217386	0.0001256154800765211	0.0001331316939876351	0.00015393687201423109	0.00014524222904048115	0.00015518950339938532	0.0001771563769779587	0.00015247881071587434	0.0001577646014525204	0.00016466388633283965	0.00015316806312433312	0.000140877054327975	0.00018746258203349272	0.00017539505814894357	0.00016058635977246393	0.00016332671138019638	0.0001633430675606374	0.00014723355208769555	0.00019351845227655445	0.00022453750199815165	0.00018242579013203004	0.00020974300544676348	0.00018790186944930292	0.00019634607848355542	0.0002128177475050101	0.000222155865397321	0.00023240261285942018	0.0002141007939744708	0.00023044000241380976	0.00018595481202385793	0.00016725801973202378	0.00018888241714819728	0.00024888310313039315	0.0002548770222605382	0.00018407561800000706	0.0001955730396493003	0.00018841705651928458	0.00026156055868227886	0.00019044549295699507	0.00019066184739582236	0.0002024891330207833	0.00021140298626199015	0.00023138178303111332	0.00022761590072628408	0.00021560823433753495	0.00019675054301887505	0.0002638272753942343	0.0002706105463966508	0.0002243203010324395	0.00024676634906598644	0.00018921795526786672	0.0002062636431395105	0.0002000406864388613	0.00021638042667303977	0.00024877784188159807	0.0002378517655846934	0.00024237825291160628	0.0002360692018575438	0.0002639560367082612	0.00025713181608219646	0.00022895415792995732	0.000279935886972504	0.00019412151732096488	0.00025853425524704056	0.00020618655992848947	0.00022769601309596314	0.0002562498347384587	0.00026933069068481606	0.00036795966355346847	0.00026659400827272825	0.00028985820100308737	0.0003775464178823215	0.00038185064593278196	0.0003281650114514572	0.0002598210288904654	0.00030596400321718416	0.00025906563462653416	0.00030336388611233446	0.0002806376373919838	0.0002590577122963232	0.00030280854933922857	0.0003217239201731885	0.0003249208191982372	0.0002984243647414075	0.000343716611341094	0.0002660434796021054	0.00030719871908046456	0.0003461545988462127	0.00032883047789942013	0.00033827677332779556	0.00035619588876667095	0.0004039680023492981	0.00037386123735784927	0.0003338853643357111	0.0003220488317783258	0.0002903129711134692	0.0003798382380960067	0.0002759209115762734	0.00027423022929565005	0.0003070216574171139	0.00037978846415048144	0.00035080706632510385	0.0004069639595904237	0.000354723885778648	0.00036825692083237933	0.00038372211770683806	0.0002888770764312097	0.00030999804089308397	0.0002906601984038735	0.0004041981947543676	0.0003596392442963912	0.0003200912001727195	0.00026378626806719367	0.00032867847539439366	0.00034698637085384115	0.00036811333145738204	0.00031786362604213815	0.0006140643399289406	0.0005307327367005414	0.0005815095437473387	0.0006767022687032074	0.0005658913325709227	0.000632411541330011	0.0006805233138913814	0.0008283145800157065	0.0007579508262760209	0.0006459333443884468	0.0006154980332071907	0.0007735344163652563	0.0006883808531254731	0.0008620341951031112	0.0009355784131863861	0.0004930356968614354	0.0008413749230915353	0.0012595863935558151
Water	0.0026724360712757334	0.002584018760480648	0.002534863254902548	0.0025273346540211792	0.0025218959646895116	0.002507871603958462	0.0061447508326717805	0.006029655485246836	0.005692076216372542	0.005504324745383231	0.005399567778170821	0.005314683769947411	0.005251692046193191	0.00523663029644041	0.0051762886287528365	0.0051865101458393945	0.005145704625151091	0.005118088274192787	0.0051245455002496615	0.005075616977736341	0.005059759090589532	0.005028549481927155	0.0050089744271190695	0.0049989689592929406	0.004992985141395457	0.004940435460199256	0.004951753277916505	0.004961638291003739	0.004949564649542908	0.004924580002650296	0.004901192135339919	0.004927664685334128	0.004887092537748737	0.004859976176299838	0.004837865822488174	0.00482816709323952	0.0048294782063192454	0.00477778380259288	0.004767662608103949	0.004740177358615276	0.004708265156912249	0.004741289300465441	0.00473889015844572	0.004729194543329385	0.0046814005967688276	0.004717580657697319	0.004711882992836477	0.004682215315064637	0.004649898421986933	0.00463906074270092	0.004661470346395208	0.004673371501070993	0.004651450572472775	0.004629674674648328	0.004648108890074335	0.004639942335032398	0.004632184691022188	0.004633114434912418	0.00461043966911659	0.004599666189773704	0.004601037902522878	0.0045658069107171635	0.004565906737956017	0.004540151010475714	0.004552212425171748	0.0045573227585908455	0.004560826360132267	0.004583262304071777	0.004571007274827386	0.004540973683422261	0.004493753473602031	0.0045296424613246586	0.004553177752349306	0.004501371203734329	0.004511640939120653	0.004484215247740184	0.004513111295130135	0.004501992199595987	0.004474522312140514	0.004468809668100368	0.004479401748771332	0.004455925809076356	0.004418379910701555	0.004464567950940492	0.004463051968840889	0.0044425011287739105	0.004487745755544258	0.004489766170808028	0.004465100885884245	0.004450713991642481	0.004446468128762463	0.004437340047360972	0.004449911429276253	0.0044374024612037	0.004436908269056547	0.0044334853771898965	0.004444337412993148	0.004412186985121159	0.004467055572593165	0.004524944156895099	0.004548195649376351	0.00443946859908749	0.0045107292688403855	0.004535752192189638	0.004431932769835077	0.0044554940859612676	0.004432950957624097	0.004455357889294014	0.004451734954139164	0.004468230289039564	0.004402542652386844	0.0044190557563608115	0.004417999052683015	0.004415599607425686	0.00439513902044043	0.004390697885706753	0.004395398183882259	0.004403639870936809	0.004440820608046803	0.004397762962375491	0.004394171086027078	0.004454639633717633	0.004423820521389746	0.004448798076936876	0.004590514994015753	0.004692105151509701	0.004797471976961775	0.004756024431161175	0.00476167483559764	0.004782984985913142	0.004778405250390013	0.004820725614798503	0.004763679477070439	0.0048263096465573484	0.00484342722108214	0.00481922447535556	0.004814204718762447	0.004901765561710747	0.005005846162943489	0.004861551705324856	0.004647640333000164	0.0054357872469422
Acetylene	0.0	0.0	0.0	0.0	0.0	0.0	0.01216897856042845	0.01080447017092488	0.010151997434426931	0.010462836653799133	0.010449802840863841	0.010289280319444715	0.010827332586957039	0.011063798843800344	0.010829256594518517	0.011233813370248166	0.01143553710150597	0.01171630580938185	0.01146145750187171	0.011459952596391773	0.012006685220176156	0.011303663174645212	0.012111913044869974	0.011954754660321264	0.012050601534231225	0.01237602941591908	0.012602940465229218	0.01268630952325969	0.012662264334770301	0.012890320509078327	0.01304782462665081	0.013013062725007582	0.012945059303491293	0.01316276124525678	0.013102432672749723	0.013398392209657226	0.01300320166839716	0.01311367839558902	0.013275579024514417	0.013384929448145363	0.013324873432016783	0.01352659799172841	0.013652600264958568	0.013742167208577372	0.013641932851530893	0.01389093894732701	0.013609191703477895	0.013836961522215816	0.014067169617086034	0.013895118402178596	0.014076060382616754	0.014154747620727137	0.014141852601497319	0.014150484914380455	0.014173500674154118	0.014100137273323645	0.014324937140323287	0.014467686606138992	0.014207535766488172	0.014616564486259757	0.01439022339047066	0.014507157796294466	0.014265001385215184	0.014350878830587832	0.014646378980630438	0.014508198902761558	0.014546633364272973	0.014023079017193515	0.014282512671080824	0.014966352703842056	0.014630811146987045	0.01466106143364396	0.014759468347249546	0.014841353838947177	0.014770296727692405	0.014797318801437332	0.015008201516253301	0.014975207910278286	0.014760437844399309	0.014816029721814396	0.014817368410942165	0.014811644461330603	0.014762498899525207	0.014850145760111524	0.014742417688349512	0.01500753449760957	0.015020704282355305	0.014827155182369132	0.014879321123889304	0.015015076992813646	0.015098429088814229	0.014984608157738555	0.015229392742136841	0.015053423714733108	0.015055774927508647	0.015111574390293337	0.015093929860496642	0.014991302546277096	0.015006389828008788	0.015076592637138191	0.015318967916890918	0.015034295262148657	0.015171845939402885	0.015068128351530038	0.015119738771101376	0.014851610034595371	0.015117696942634968	0.01513459835095571	0.015317810120424434	0.014968075922333153	0.015138751629099185	0.014763424812833123	0.015160531138074213	0.015052838530681487	0.014990505396025302	0.014939528285309235	0.015025216107968318	0.015120132875519842	0.01540824508374212	0.015203568320302015	0.015481841921358859	0.015231907023303827	0.015250851403634998	0.015288451123239715	0.015171837282440691	0.015932454685447624	0.015655878867324505	0.016004764091337977	0.015379752366163296	0.015567746876690065	0.015267244139669116	0.015817668272708287	0.015428585291347914	0.01532987461947139	0.015500684804827788	0.01537746739148952	0.01592304863876437	0.015605847964769262	0.015661123251853287	0.015590397395504314	0.015460135227615973	0.0009743953827087367
Carbon monoxide	0.012975365144882537	0.012492794839582455	0.0117906102156662	0.011526853276676748	0.011937196388165223	0.012544937021905444	0.04455901322072934	0.04939711399875978	0.05064628011920944	0.05131773246567756	0.05101712470844969	0.05078671310449737	0.04995306184893667	0.04958335382033588	0.05017355953629692	0.049443163134173296	0.04859894498151903	0.04804303532319787	0.049376586332367856	0.048865704287231436	0.04791109272383805	0.04863988137999053	0.04788149570871093	0.047113979103641464	0.04684535746493054	0.04681243907347642	0.0458423230139888	0.0469273563140946	0.04619951353028085	0.04560324412379493	0.045339205788955846	0.04544496579161015	0.04516512272310676	0.04556030386878721	0.04529018661471742	0.04438222282440393	0.04474162256435304	0.04435377402240935	0.044213134443690356	0.043873936233668705	0.0437799413624264	0.0436488595727672	0.04374513920335098	0.04406387003041408	0.04389630571613763	0.043223126991632235	0.04391114921021685	0.04301182286163995	0.04359397691158284	0.043000043198262096	0.043408965356175624	0.04360070654694589	0.04325797451569349	0.04294350252779596	0.043156868536649226	0.04283079922063228	0.04339798553305156	0.04295141159450525	0.04259347140593632	0.042737910939248475	0.04258548500854566	0.04287666642886811	0.04214410946415038	0.04180916470861737	0.04308852280352348	0.04241416774579929	0.04214303723306309	0.03958980976730039	0.04187585257096588	0.042564595815034106	0.04150186284956272	0.041361402743087174	0.04164589635063554	0.03691294597142276	0.03685680450887865	0.03684476665704187	0.03729572228001808	0.03678909620749236	0.036909135280901915	0.036910985817389386	0.03699613541408422	0.036662980844682766	0.0369273953156053	0.03689143437765238	0.036811904168882935	0.03684069765766269	0.03685237576872602	0.03670400351860097	0.03659942986717728	0.036839580373450635	0.036882419370372684	0.03671030158256588	0.03689189156916237	0.036613610259798014	0.036631496361930034	0.036466691864960724	0.03669301289128443	0.03631118742949905	0.03651961827751419	0.03656171482066333	0.03705920402597363	0.03648974839654389	0.03660776919622234	0.03621594079190503	0.03648437956737882	0.03623971433589114	0.036354337870103254	0.03626959784330202	0.03659897159702617	0.036316767169249	0.036304181732436595	0.03572242209879413	0.03621587181282682	0.036053209552261656	0.03597956218654517	0.036071959934646236	0.03590787124851916	0.036063291930713046	0.036515429834483075	0.036132910353988225	0.03649776369973893	0.03619501590711568	0.03631892530825301	0.03619268167073187	0.03569663354941072	0.036055607502898636	0.03581283673224948	0.03590170218851019	0.03566209546066356	0.035826986335818455	0.035676059490819124	0.036123452246842075	0.03569021630123317	0.0356691099850931	0.03581278840057981	0.03565478908520077	0.035695224508592645	0.03538413762289741	0.035613660625090804	0.035854466625410295	0.03561523950231517	0.0026051642324371716
Ethylene	0.0	0.0	0.0	0.0	0.0	0.0	0.00346976781771284	0.006314406783384252	0.007250790276340378	0.00727935939340129	0.00732055607319055	0.007519747001480051	0.007114031372678992	0.006939146200573804	0.007004394157881836	0.00692373392790617	0.006646109168589952	0.006257061652934825	0.00664101182772132	0.006545667334326522	0.00609619706944838	0.006328645187575832	0.005918309420311877	0.005753533918961042	0.0058179526482176145	0.005418008066211318	0.005176623202117932	0.005192389789500083	0.005184197319626051	0.0050138608382838765	0.004741279080379379	0.004764166245191677	0.004664812852401211	0.004778652762127158	0.004474381255185838	0.00416297395464451	0.0044738805806164225	0.004289749844476404	0.004101732933404591	0.003979096878129203	0.003930557299618885	0.0038297391906598178	0.00363255565971722	0.003581068342464694	0.0036487039595208336	0.003375347741490663	0.0035979041434456805	0.0031853189155518686	0.003200336579414616	0.0032099274704672173	0.003157179847896699	0.0031678265655463887	0.0030191258924653387	0.0028770687189701998	0.0029315387734072857	0.00282291974373211	0.002768444495508532	0.0026170081570094563	0.0025663346776361572	0.002470292966667207	0.002405339027110024	0.0024386070742542375	0.0023960717910516075	0.002327482787917251	0.0024496721666551796	0.0021909233918549027	0.0021885360252786056	0.0021387570443310655	0.002112683527378663	0.0019539495358324235	0.0019382611510469342	0.0019740792816640273	0.0018493822113013272	0.0017600408906403519	0.0017349915316867924	0.0015999364760075998	0.0017472303072561507	0.001682344840279026	0.0016759072183242143	0.0016339404546905159	0.001603606599764255	0.0014823916369071525	0.0015331610883263433	0.001543878350440118	0.0015809852257452298	0.0014134926529614806	0.001393964651502287	0.0014273904193337957	0.0013820184354286615	0.0013019273960879999	0.0013269481088342859	0.0012462306175494045	0.0012272542539187704	0.0011620276391938209	0.0011072684546182278	0.001069070210326061	0.0011216520281747365	0.0011248229949806228	0.0010396594330877172	0.0011484665991524198	0.0011598662852380067	0.001089773666480142	0.0010218332631876687	0.0010725204397618547	0.001069811518221291	0.0010049850588105523	0.0009330057273883708	0.0009184951006141588	0.0009444191973942015	0.0009650360229349918	0.0009506783963636106	0.0008579964374720373	0.0008368173457959599	0.0008336886294362583	0.0008991194004317567	0.00083935897200589	0.0007637441062520041	0.0007729948447264646	0.0007873863843556282	0.0007455169743101854	0.0007082532895423433	0.0006796902982577662	0.0007445133738021084	0.0007195199263231803	0.0006713328241190673	0.0006477234849094043	0.0005810834722151197	0.0005225896452571403	0.0006145098646674198	0.0006017091819392284	0.0005688235095573046	0.0005269202231570426	0.0005348797596510997	0.000575776646823134	0.0005598045885678515	0.0005069556485865663	0.000466531520470087	0.0005546395697460031	0.0005990574131247634	0.0005647345199291042	0.00035379225558788947	0.0006133957907865521
Ethane	0.00023760973851174474	0.00021200097030638537	0.00014984505568957091	9.556748158863879e-05	0.00016264651019054282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Oxygen	0.0024382081747043537	0.002353511527770519	0.0023364531438555937	0.0021724587753384358	0.002338724474785044	0.0006072473378924668	1.2668335090472676e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Argon	1.0146483098257266	1.0143874733002927	1.0146798238681194	1.0144772192520226	1.0145285190128948	1.0142304054168663	1.014142515950875	1.0147379694705447	1.0150833751533301	1.0152575150491499	1.01537666329904	1.0154692335148339	1.015529684569766	1.01555032617745	1.0155282612716454	1.015571990311359	1.0155219526003874	1.0155419506255274	1.0154933846807432	1.0155963267634371	1.0155141284262312	1.0155735791128935	1.0155782729948546	1.0156868195452702	1.015637864942832	1.015570088815316	1.0156277462357142	1.0155628779755503	1.0156406941005118	1.015674853661089	1.0156925617308845	1.0157095484915895	1.0157081237904455	1.0156763291632005	1.015690979518509	1.0157198039816389	1.0156996126774933	1.0157384634599236	1.0156622624590976	1.015653717513645	1.0156276378973133	1.0156256150586898	1.0156329370231676	1.0157453162394436	1.0156381503710306	1.0156714434516396	1.0156556669708385	1.0157095758304213	1.0157110443249155	1.0157358200541136	1.0156681018390126	1.015723018934896	1.0157185479940727	1.0156652364078564	1.0157100193152713	1.015688024473991	1.0156783155131583	1.0156736496324819	1.015702523143735	1.0156440102714468	1.0157115573309585	1.015699258722343	1.0156441746128109	1.0156819904479473	1.0156801119200238	1.0156365669424923	1.01562359574781	1.0156251393353382	1.015657795518787	1.015634813700575	1.0156073821967349	1.0156470141410627	1.0156253752900433	1.0156741466695363	1.015545294793404	1.0156048781831861	1.0155914498228378	1.0155528862134362	1.0156359996743822	1.0154902310559855	1.0156096714233815	1.0155356093081946	1.0156075888138434	1.0154633988272876	1.0155262520192112	1.0155714621780374	1.015542464019886	1.0155208172668344	1.0154916620052452	1.0155339052114898	1.0155208351637592	1.0154873651215341	1.015489170369979	1.0155567879689953	1.0155262350148944	1.0155200759006495	1.0155848270005696	1.015552540103943	1.0155002165190707	1.0155303756731329	1.0155595532770623	1.0155536746507892	1.0155040614520998	1.0155488094691052	1.0155196596471423	1.0154867181240415	1.0155080246675046	1.0154984655310693	1.015522127220843	1.0155955261595582	1.0155038328486297	1.0154779064414228	1.0154738293336234	1.0155521143446615	1.0155207424912944	1.0155310563360445	1.0155381670269712	1.0154925926311498	1.0154618350886584	1.015444972146818	1.0154371123017374	1.015515095399844	1.0155245534270545	1.0154196298489468	1.0155098667465239	1.0154514978146139	1.015483255466998	1.015447244584159	1.0154851081244276	1.0154740959454938	1.0154580980032075	1.0154471103841836	1.0154453520832984	1.015459652646053	1.0154626776325142	1.015419452609497	1.0154021136583453	1.0154357716085607	1.0154259585843164	1.0154675859220428	1.014871879647158	1.0156662721618281
