Molecule	Cycle_1	Cycle_2	Cycle_3	Cycle_4	Cycle_5	Cycle_6	Cycle_7	Cycle_8	Cycle_9	Cycle_10	Cycle_11	Cycle_12	Cycle_13	Cycle_14	Cycle_15	Cycle_16	Cycle_17	Cycle_18	Cycle_19	Cycle_20	Cycle_21	Cycle_22	Cycle_23	Cycle_24	Cycle_25	Cycle_26	Cycle_27	Cycle_28	Cycle_29	Cycle_30	Cycle_31	Cycle_32	Cycle_33	Cycle_34	Cycle_35	Cycle_36	Cycle_37	Cycle_38	Cycle_39	Cycle_40	Cycle_41	Cycle_42	Cycle_43	Cycle_44	Cycle_45	Cycle_46	Cycle_47	Cycle_48	Cycle_49	Cycle_50	Cycle_51	Cycle_52	Cycle_53	Cycle_54	Cycle_55	Cycle_56	Cycle_57	Cycle_58	Cycle_59	Cycle_60	Cycle_61	Cycle_62	Cycle_63	Cycle_64	Cycle_65	Cycle_66	Cycle_67	Cycle_68	Cycle_69	Cycle_70	Cycle_71	Cycle_72	Cycle_73	Cycle_74	Cycle_75	Cycle_76	Cycle_77	Cycle_78	Cycle_79	Cycle_80	Cycle_81	Cycle_82	Cycle_83	Cycle_84	Cycle_85	Cycle_86	Cycle_87	Cycle_88	Cycle_89	Cycle_90	Cycle_91	Cycle_92	Cycle_93	Cycle_94	Cycle_95	Cycle_96	Cycle_97	Cycle_98	Cycle_99	Cycle_100	Cycle_101	Cycle_102	Cycle_103	Cycle_104	Cycle_105	Cycle_106	Cycle_107	Cycle_108	Cycle_109	Cycle_110	Cycle_111	Cycle_112	Cycle_113	Cycle_114	Cycle_115	Cycle_116	Cycle_117	Cycle_118	Cycle_119	Cycle_120	Cycle_121	Cycle_122	Cycle_123	Cycle_124	Cycle_125	Cycle_126	Cycle_127	Cycle_128	Cycle_129	Cycle_130	Cycle_131	Cycle_132	Cycle_133	Cycle_134	Cycle_135	Cycle_136	Cycle_137	Cycle_138	Cycle_139	Cycle_140	Cycle_141	Cycle_142	Cycle_143	Cycle_144	Cycle_145	Cycle_146
Hydrogen	0.00020124314615961342	0.0001925935638748268	0.00018623592014672385	0.000184102021547934	0.0001840029590467926	0.00018548716180600931	0.00018214283819885523	0.00018047519546050134	0.0001788755135396259	0.31761518459181565	0.36244232929439124	0.3785913062139785	0.3756957451221086	0.38007415642986503	0.3743225866945005	0.3704535379480137	0.37160891827489745	0.36711870377222183	0.3728948446020447	0.38106502576463036	0.36693031763489375	0.37424073994928153	0.3765857770425357	0.3765799355345792	0.3710192039280494	0.3773596617194238	0.36859420347958827	0.3707721717994772	0.3723070639263663	0.37596801551715103	0.36949585091142445	0.37663162783314835	0.3664400477222255	0.37127505320290144	0.36955145042960036	0.3680630012428967	0.3720568471998879	0.37261266165281276	0.36806797107313144	0.3708843247962138	0.3681939360447657	0.3671878221948175	0.37099870194202034	0.36726712185388527	0.3609694133970629	0.37071227159595305	0.3662517241607172	0.36816044843526957	0.36338650724226484	0.36738031127909015	0.36891041279597997	0.3608854486239314	0.36827201092878836	0.3730559636347954	0.3654218980801034	0.36931736374468854	0.3729791935242442	0.36966116982951	0.3715845538289654	0.3613816485499969	0.366586666269125	0.37207539790589483	0.3639768364095342	0.3708843455640074	0.3675530730750171	0.3623722421913337	0.3677850720400085	0.3714216689002206	0.3662183464133263	0.364834055581654	0.36668060806368713	0.3640062322214175	0.3680216250121941	0.3640136306483891	0.3635167581301952	0.369820227137724	0.3732115801912606	0.3682761311379573	0.3657117957693025	0.3587352112913173	0.3716909953386577	0.37000017566354026	0.37026027476156265	0.36399717821380584	0.366585289328915	0.3667425887927741	0.36837595816325064	0.36969318644066956	0.369943663570728	0.3743262772654991	0.3768637214523925	0.37397467970725684	0.37309945562888974	0.3677202837465052	0.3727249271082741	0.37076245448215034	0.3741741185190567	0.3734007505885669	0.3739334043443606	0.3745860960950563	0.37326983319610224	0.3742723930040271	0.3679517342880248	0.3780081725397393	0.37889077970165636	0.370188403120115	0.3763981524245345	0.37646306678063635	0.37049523774094284	0.3793501732174635	0.3767481370934084	0.37223580467827283	0.3739982664967843	0.3758652017998711	0.3738568653959877	0.37186859930982097	0.3781506998013885	0.38131972964774946	0.3739066973479442	0.385086945995798	0.3817004089947666	0.375710293754991	0.37433036042588846	0.37598914869217936	0.37924823117404777	0.38078450714353196	0.3776034530924646	0.37828278517628744	0.38120717212694333	0.381157336018132	0.3777200021245926	0.38248857180496143	0.37767446732651566	0.3714987508703411	0.37232129434565137	0.37741049663453247	0.3784287902028915	0.3830377908420174	0.3805983323462238	0.38238366685269176	0.38240323005208915	0.3862669900444035	0.38048901857904704	0.37989420161643145	0.2874575005675267	0.021881814489021368
Deuterium	3.527508353229244e-06	3.6386730857882528e-06	3.0171716834502666e-06	3.5293639800926216e-06	3.518620359547729e-06	3.1692900620209116e-06	3.3030179758129323e-06	2.7595052492940465e-06	2.8990547322283317e-06	6.085792586934256e-06	6.92266380765142e-06	7.030580277487014e-06	7.419745492518017e-06	6.907623145745369e-06	8.288026224824827e-06	9.46627062848926e-06	9.167437857973898e-06	9.262079459114077e-06	1.0578850795063596e-05	1.0717014442482625e-05	1.097439761936052e-05	1.0915638265535457e-05	1.0754241054112429e-05	1.1608544452974868e-05	1.1058476149543828e-05	1.2396704144739284e-05	1.1814185267049173e-05	1.1905512268753015e-05	1.2693497126466657e-05	1.1304847601748514e-05	1.247546241298016e-05	1.2196566018188718e-05	1.2367055808109002e-05	1.233811240609797e-05	1.2740479738298476e-05	1.3380332071475581e-05	1.2526279006642995e-05	1.3432328844778954e-05	1.2684874300341222e-05	1.427611964668332e-05	1.2982783387939405e-05	1.302580115881795e-05	1.3159696327843045e-05	1.4257463254399303e-05	1.266866318342568e-05	1.282910557195646e-05	1.3259361278360368e-05	1.2278768511952704e-05	1.2543365119099836e-05	1.3239450633654808e-05	1.2612876633241591e-05	1.350574327868277e-05	1.2798065772905197e-05	1.362819620191123e-05	1.3871650569704326e-05	1.2854376650387714e-05	1.3426197109302001e-05	1.3646355368068547e-05	1.3644556761146511e-05	1.3450226887093018e-05	1.4487797804885454e-05	1.3909008807429441e-05	1.328426219238181e-05	1.390968243063787e-05	1.3565396125819534e-05	1.3272885498930899e-05	1.2874819215230929e-05	1.418283407061098e-05	1.28527756015939e-05	1.2866774178147745e-05	1.2673354445744557e-05	1.3605350965448845e-05	1.3907759763971369e-05	1.2939474755339648e-05	1.3658436424330916e-05	1.31903124300785e-05	1.4394102315395073e-05	1.3829842604817712e-05	1.401961061156461e-05	1.4011571644199884e-05	1.40580380819792e-05	1.3326122017921836e-05	1.3320241758935558e-05	1.3306558000845655e-05	1.3813221179970225e-05	1.400233909950243e-05	1.3842518011518358e-05	1.3609204886850417e-05	1.4175092186064452e-05	1.3149561183132467e-05	1.4247414996289341e-05	1.4246284804020034e-05	1.3498294232436835e-05	1.2665105932031025e-05	1.3086329183687297e-05	1.4087429886755942e-05	1.4316911220210564e-05	1.4132208802892707e-05	1.4649883690959534e-05	1.448208833760271e-05	1.3627205494330858e-05	1.3983407243500009e-05	1.4160028192173246e-05	1.370054758610212e-05	1.5206613682717304e-05	1.3784847940873741e-05	1.3559654284677988e-05	1.3433646333721385e-05	1.295091449955081e-05	1.4176008182340948e-05	1.3565798289687117e-05	1.2471743079960637e-05	1.4441551112589015e-05	1.3759984757841638e-05	1.3333590051537445e-05	1.3895554818345876e-05	1.3938442416189527e-05	1.4108147677247907e-05	1.34580279303046e-05	1.4957008785038302e-05	1.390015795157875e-05	1.3538495751654251e-05	1.3909082066786735e-05	1.4387292829007119e-05	1.410366036797662e-05	1.2947891612971575e-05	1.5099728479605007e-05	1.3774285250172638e-05	1.3553682430625434e-05	1.4259892202747257e-05	1.3555215286177396e-05	1.4054282337752568e-05	1.444782812233948e-05	1.4303882329417552e-05	1.4265014813289551e-05	1.4068815732975093e-05	1.4479983198424824e-05	1.5235007547542234e-05	1.4704914172181571e-05	1.362110645744221e-05	1.3416307318840442e-05	1.450952109545645e-05	1.4510944846576597e-05	1.462157750656745e-05	1.2928202462797825e-05	4.290069538670695e-06
Methane	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00013270530352814248	0.00010598922700166743	0.00012408123697502202	0.00013630436896997254	0.0001536513119307224	0.00016696504232516975	0.00016009981747042918	0.00016265068009234797	0.00019249922868366806	0.00014548664733411379	0.00016748913362719448	0.00018702648998974975	0.0001597268373683321	0.00018389430704754197	0.00016920296050579323	0.00018040204904148986	0.00017525323006023708	0.0001902880070182498	0.00019942194226714178	0.00018294517142434383	0.00018552211728808517	0.00018943897403700003	0.0002018509056287726	0.00018492713579424853	0.0001938759010687614	0.000187756381516059	0.00020113024334738003	0.00021236065059198925	0.00019234732268655079	0.00020367241339110153	0.00022588783584680515	0.00019820680622828385	0.00021891508342303953	0.0002266212670331769	0.00023949472599388397	0.0002338434070613514	0.0002427241354821354	0.00024290864536572883	0.00023728603767204557	0.0002518651233588482	0.00027047889567258785	0.00023148344804235972	0.00024534768744712736	0.00025303458169289184	0.0002498826408382348	0.0002950488237781483	0.00035581121327956587	0.00033460789106699553	0.00031623444719476444	0.00032244743819897397	0.0003480545853854822	0.00028029529272675816	0.0003225200011654874	0.0002932424463688701	0.00028807631838094624	0.00031663929860773426	0.0002644034988796869	0.00027255902437367573	0.00028775912545097205	0.000268255992955004	0.000282915759992777	0.0002701016074497365	0.00032111397589423943	0.00027182650769022067	0.00027787674577594976	0.0002918490739038036	0.00026256487450211044	0.0002928741321441484	0.0003766885913050742	0.0002687982100939103	0.0003918119364901274	0.0004188342392319531	0.00030251944112359756	0.00033106264290706187	0.00027733298453399077	0.0003815947138741004	0.0002732466916958432	0.000341773719626233	0.00032719739784530655	0.0003397103162536556	0.00031203976802514805	0.0003716489905596377	0.00040523753371588754	0.0004825913698641635	0.0003330023467426718	0.0003160888870280445	0.00033624939357559177	0.0003052173671821448	0.00030162843730160575	0.00032358629989606653	0.00032858329181411646	0.0003569035722592724	0.00032885411119918696	0.0003237261720136543	0.000331820499808842	0.0002981313751933188	0.00031848835810750753	0.0004063524353031282	0.00040156762658695786	0.00032594024994082974	0.00047638768099645074	0.0003464110192903412	0.000395590236428013	0.0004672985347039223	0.0003855181889178821	0.00046696602155536446	0.0004817807466812114	0.0004633902754993257	0.00041985656490354573	0.000542225837240011	0.0004458480270525332	0.0005258576698831935	0.0006046030082118693	0.0005061779809542635	0.0006077796700866228	0.0006154524553658586	0.0005051563186598733	0.0006185566586127936	0.0006543371843369374	0.0005437581675835926	0.0005379615532295875	0.0004174417509310891	0.000492096682642346	0.0006292829121987532	0.0005049913063394925	0.0006843539300572253	0.0008480572878798593	0.0009520486321519456	0.0010405879603063632	0.0006513698477660827	0.0009489540378056448	0.000853129437234053	0.0012123386357482493	0.000780014945997447	0.001088763342770002	0.0009887282874543953	0.0015773625094041156	0.00025724826505060366
Water	0.0034413924374033116	0.0034528454171813836	0.003395360756319071	0.0033755555694724233	0.0034074782891820037	0.0032934987280047183	0.0033076074470919947	0.0032929353197025933	0.0032561445943468867	0.009132042858226596	0.008450106307801842	0.008136733313863042	0.0078169455830105	0.007698964969427232	0.007578336350046201	0.0073748868149815195	0.007234431334507808	0.007056990663232459	0.006990740982492804	0.006896754868943243	0.006789356369713344	0.006705020324412439	0.006577388736222047	0.00643797922353624	0.006348360802427113	0.006254008504604416	0.006075101554201617	0.00594114680993642	0.0058614461027769165	0.005784471890150633	0.005667070528159891	0.005604763354504276	0.005528305675353213	0.005441390976376947	0.005375551987248918	0.005253709698910173	0.00517735167817416	0.0051391246348628196	0.0050888892903055176	0.00502831659187448	0.004965106138641203	0.004912187527727818	0.004881821443086369	0.004833530575963535	0.004767803944492467	0.004754432426745632	0.004734061823948486	0.004689068057930691	0.00468432854716453	0.0046735682330692075	0.004662467089558565	0.0046018816185350786	0.004578772032078735	0.004565242683805177	0.004526542375208121	0.004513458477001933	0.004517972756483423	0.004493633640398252	0.004470834167819913	0.004460720807128787	0.004433679712746387	0.004468832830226808	0.0044044643272228194	0.004393025560023582	0.00436017578364231	0.004333976033562467	0.00437370940180284	0.004353098209083633	0.004314598591604107	0.004310347693333677	0.004281942858993608	0.0042613765569158996	0.004251210137903874	0.004237187746098494	0.004216705086749742	0.004223728802450641	0.004209926311096812	0.00424724747550536	0.00422470774923099	0.0042467296879111155	0.004232249891481007	0.004232447223569755	0.004181264915054964	0.004171943540360872	0.004141693867925439	0.004161313026488863	0.0041566511116048355	0.004163656172114053	0.004166930463048983	0.0041506854190268404	0.004196229313528234	0.004108561895533606	0.004155312631596115	0.004096199286348497	0.004116552912574312	0.0041379954656785185	0.004070633435120343	0.004103558606416039	0.004066033060983999	0.004045971460772009	0.004075189423632439	0.00408511778027265	0.004024490900159166	0.004087797922673184	0.004089546051613096	0.004075107799769065	0.00408530582842877	0.004068534864742011	0.0041377771665905205	0.0040627798891459815	0.004104736287731598	0.004125123629198891	0.004165469949520893	0.004112019393214999	0.004143576100163677	0.004183837855499522	0.00409765292725904	0.004144755885148484	0.004113901707911468	0.004153584673806808	0.004176336612055384	0.0042037706448057825	0.004235220076741241	0.004162370553474871	0.0041341318334823405	0.004083806583802118	0.0041224890448374255	0.004194743508505091	0.0041340359023035785	0.004184216719517288	0.004153596376919593	0.0042030044421035835	0.004298071024061681	0.0043732890511579536	0.004390111826475372	0.0045514413998408824	0.004611395551596886	0.0043617014023224175	0.004396780790301047	0.004478315206728111	0.00460334450970405	0.004656696859989289	0.004452472807665232	0.004562912625858441	0.006570764789667069	0.0034190163900977345
Acetylene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005662010699502326	0.004093042081094626	0.003499541813479823	0.0035981834913753493	0.003541652564310504	0.0034602866418498236	0.003973019920522905	0.004080958277580714	0.003943092435955596	0.004280705316702747	0.004574389916291352	0.005253505083305741	0.005508219423669521	0.005310084735353081	0.005652051497153825	0.0057035482424797465	0.006522013105863162	0.006680110665293753	0.006430737603351949	0.007375029726391825	0.007268685925789966	0.0073692173906275095	0.007769496503997981	0.007752405967582486	0.007720848789536719	0.008020841096014617	0.00867250410052778	0.00868295468628855	0.008869514668954328	0.009243191267029032	0.010084763981625946	0.00995572212397605	0.010376155138521678	0.010947511175218201	0.01094790314669502	0.011344828540127118	0.011227391009373554	0.01154154414159722	0.012040320630902483	0.012219895643448884	0.012297332199392639	0.012317237033808501	0.012280048909605355	0.012736358813765879	0.012633683199640366	0.012992863060185794	0.012900756406947718	0.01304031461698856	0.013053014624907518	0.013040727120830275	0.013235235794375399	0.01345161709052403	0.01350721892870575	0.013485247675468104	0.013493835011786824	0.01361128019383452	0.013623051149562297	0.01372391205358429	0.013783254821419655	0.013699982488198932	0.013776488615528147	0.013863081896385712	0.01403376628244869	0.013985298970106298	0.01388206566536328	0.013835462304768661	0.0142567860842511	0.014151657526020845	0.014312157192454244	0.014184974015615902	0.014340066423541511	0.014346583719871507	0.01431216975050752	0.01453237137688493	0.01459439296601209	0.014375882569576896	0.01459735698697083	0.01469340969474433	0.014663168911139526	0.01472512854748157	0.014709224237463122	0.01480832050757495	0.014829497091149748	0.014710492384229563	0.014959164472870386	0.014833654232468926	0.015019265443996552	0.014810933303144015	0.014813872748949396	0.014737347230723771	0.014665252733336163	0.01492047281696146	0.01492009524511878	0.014787408054320779	0.015096566451166553	0.015000302051419724	0.015116888385008666	0.01518224907055858	0.01512244464942025	0.015136334935281711	0.015251517644619352	0.015362210168828437	0.015353663940518663	0.015201289941807456	0.015347736448418688	0.015258108845137489	0.015366710010113423	0.01531564271244333	0.015467408735879897	0.015254751001180606	0.015377953968272448	0.015284068242514486	0.015484209946380398	0.015983260326617666	0.015397473398720746	0.015351975835563436	0.015495354442164483	0.01530173221625847	0.015538357614983879	0.015604777247359097	0.015498746377687575	0.015617852994587737	0.015756996632325125	0.016133502792209337	0.01584477852704439	0.015957712158271856	0.015824981777768494	0.015530937467723504	0.015876082976593164	0.015644998389038062	0.01592372717197612	0.01600358026661507	0.01550593037419171	0.015614244815950307	0.015518170415905128	0.0023798352015814484	0.0005543891516434674
Carbon monoxide	0.03208620901857249	0.03143907320735402	0.029765525690627105	0.027656381193883806	0.02637463969613599	0.029025095540388745	0.028566757592990665	0.026907746261688865	0.03221981382504682	0.05937590431614154	0.06493599006946425	0.06706348583767668	0.0661054024151366	0.06702285802592867	0.06817287897519297	0.06492980545260543	0.06464617308476857	0.06546395568639506	0.06444181538933282	0.062285357608661295	0.06165472612745408	0.060617790690411	0.061018312240459456	0.05956944305728491	0.05893925040925411	0.05673963290544081	0.05572749138559102	0.05701388193810937	0.055267766631076395	0.05448990135199333	0.05397759447863012	0.05415519172613475	0.05433957330194611	0.0537508350100823	0.05222996390838519	0.05085644235089253	0.050780030114950206	0.05084911589493277	0.04915859610453742	0.048224757568355654	0.04748714127644527	0.04629969120266946	0.04475937519830999	0.0455244021555327	0.04392697095018984	0.043198109634248166	0.04365903613367611	0.0416638012934195	0.04155745392999454	0.041466103115366464	0.04144829039601933	0.04150664586950073	0.040911322496286553	0.04055982391126001	0.04019467194715972	0.0398929823837647	0.039722377066715206	0.039719335170938855	0.038914907489745465	0.03876047575567339	0.038748888187253	0.03923969714102112	0.038800707142299946	0.03828938921842139	0.03827158853802894	0.038516362017667415	0.03818934819288065	0.038327058954131715	0.03791523330724317	0.037852489053493955	0.037747763880826166	0.038083858357114454	0.037745400052039475	0.037480508143981905	0.03738218631085188	0.037672962318653566	0.037804375939944346	0.03770805773073108	0.037294948121929856	0.037679981298480096	0.03752411814636234	0.03718681261683118	0.03738756351237194	0.03768990237305358	0.03705717096028957	0.03748712148639974	0.037410424114007364	0.03748193589141991	0.037677191481463625	0.03738582196101993	0.037460743079016194	0.036963429987218376	0.03709579238047871	0.03724819195649766	0.03764136593916529	0.037359561984575455	0.037047336426054296	0.037636772207140734	0.036875413812614846	0.03713284280102809	0.0371737606317303	0.03711664228034402	0.0370694153220694	0.03729587495856054	0.03714387607085001	0.03713793949266723	0.03728113066861294	0.0369287534718129	0.03715654429536697	0.03719103190629812	0.03719781962201218	0.03707590860941038	0.037042133609432516	0.03694173109134131	0.03722669238460808	0.03694161390910584	0.03726794614918293	0.03723767492622512	0.036844116274915045	0.037151612715785036	0.036768154481967436	0.03704826244342849	0.03732218370099781	0.03675490140899262	0.03674772498706867	0.036949687681210625	0.03669691709462158	0.0371069067556603	0.03700092484292596	0.03693878954680985	0.0367873861991276	0.03682242059134348	0.036972735111501114	0.0368881420132989	0.036969758772829334	0.03676775619295458	0.0367253624409258	0.03656664625587655	0.03670999048618078	0.036657265897990635	0.036600185749077196	0.036384658108037905	0.03658119985216494	0.036532649247528505	0.005351700782289187	0.0018232328032733434
Ethylene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006798172612839155	0.008331235822407326	0.008540706818167569	0.008787090019836562	0.008908997909385213	0.00883209571054874	0.009131977048051342	0.009072576405980609	0.009101957791552229	0.00931243333276678	0.009386551057350024	0.009388288887060156	0.009429687737617754	0.009399650917785761	0.009387976449047123	0.009461973515921717	0.009371075843420876	0.00908745750655657	0.00921039734280435	0.008999176430288088	0.009020265807571726	0.008856275465704395	0.008763119942527143	0.008847801058716033	0.008802855990000202	0.008625254185838042	0.008155232573472415	0.008267241081121538	0.008182959800729698	0.007879996543276513	0.007449506692194705	0.007277909334543887	0.006863606559243353	0.006492971733009567	0.006433228821138327	0.005978088460108687	0.005828417023186867	0.00570115391498375	0.005037097490698713	0.0047955137944786655	0.0046498999510234985	0.004667616398010637	0.004689632896603435	0.004361685222685028	0.004189412894294774	0.0039630747205583	0.0037458354726198294	0.003783780074159821	0.0036708788108829418	0.003372974353675107	0.0033051997509069603	0.0030829771469673825	0.0031105489654258958	0.0029956280755534057	0.0027549171560900198	0.0027018425328043357	0.00276657211346473	0.002615123342779755	0.0025255891691845682	0.0024675723033313946	0.002455696941036916	0.002288877035992084	0.0022480875396827965	0.0021006744177519887	0.00201103447394348	0.002124836500140357	0.0019016341241491867	0.001861071859679143	0.001890614970965948	0.0017077168739701755	0.0017052085456615517	0.0016156742754517043	0.0015623614219503201	0.001466673698782429	0.0015807409707565133	0.0014840894322430272	0.0013938669432507953	0.0013680291435627062	0.0013086463077789875	0.0013334931154654701	0.0011837195151970545	0.0011332833110381962	0.0010619976680435793	0.0011099677428513845	0.0010261248970637072	0.0010088490199409268	0.0009596391425073002	0.0009478720248190309	0.0010585073658810873	0.0009251028642644916	0.0009169630289436235	0.0008595399523555372	0.0009390800790655162	0.0008474812473386917	0.0007960042215410854	0.0007708226386063258	0.0006651868790996293	0.0006475862771641052	0.0006708933178003907	0.0005847993296926846	0.0006013967871432393	0.0005464987353027798	0.0005558813472147594	0.0005142948387417916	0.0005075952716791801	0.0005097255376941265	0.0004372992930657099	0.0004942785594147011	0.000452256982994828	0.0004302318173961026	0.00035270741563507454	0.00040037856825845614	0.0003369459301338638	0.00030261770618021205	0.00031139955810234485	0.00030622585573882873	0.00027558052468256187	0.0002681046962055984	0.0003039530570166139	0.00030040517885715	0.0002896160099648744	0.00025907019741938815	0.00023968468343933154	0.00020232389737338274	0.00022852236924925784	0.00020823555933206512	0.0002122105598982006	0.00021997902516064432	0.00020138846774378792	0.00019147027457737004	0.00015212456471247292	0.00022347939991493331	0.00017838161811422622	0.00014015467149342673	0.00012881357673693203	0.0007642495640629571	0.0
Ethane	0.0018017198355211536	0.0017393608386350283	0.0016120734055568436	0.0015104934489910786	0.0015228214171247468	0.001618307104734649	0.0016085918415038104	0.0015224291023937426	0.000592409925608595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.338084271893568e-05	0.0
Oxygen	0.006442393384300325	0.006238335552483104	0.005540897721565575	0.005454993975503233	0.005532225057923761	0.005738052728256372	0.005784309333835038	0.005309747477137577	0.0005703599904260622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.02749098979266e-05
Argon	1.0119592627909129	1.012096012705531	1.0116572454825752	1.011845211093174	1.0119696222396488	1.0121276020815393	1.0117369023739997	1.01206338135008	1.011372908575698	1.0118164455644028	1.0122047758097008	1.0122713502249803	1.01238495603742	1.0123905056708191	1.0125400316989317	1.0124109231617238	1.0125617895273078	1.0125171424907233	1.0127651784700702	1.012620888000809	1.0125603476793694	1.012647708265326	1.01272190916707	1.0126933767829442	1.0126878717850865	1.0127452685503862	1.0126175325090956	1.0126728385490968	1.0126421726739037	1.0126049593248072	1.0128049945065096	1.0128083080817596	1.012709290807248	1.0128087316104988	1.0124554595418145	1.0126933151946569	1.0126750759552008	1.0125118757194274	1.0124949607502192	1.0126999215444716	1.0125983117502764	1.012713987341211	1.012671624115992	1.0126740726445438	1.0126657368051717	1.0125808627858497	1.0126238795889537	1.0126589545468774	1.012587138818141	1.0127488114432897	1.0126197419405618	1.0126691617973347	1.0128015086789162	1.012585575719479	1.0126515439455093	1.0126748767838327	1.0127898412455998	1.0126068808861264	1.012632691244465	1.0127764690014502	1.0126795458530273	1.01281069808931	1.0123866833906265	1.0125566897209626	1.0124958636189598	1.0125753046985835	1.01254695299739	1.0125146114048234	1.012543743878	1.0124544801292028	1.0124601081977813	1.0123624498964832	1.0124376154187251	1.0124718851299181	1.0122542918840585	1.012501529457317	1.012479564862677	1.0123526315404447	1.0124954619369666	1.0124479871464158	1.012341718198047	1.0123161982599918	1.012414372940792	1.012379897993884	1.0123744014889269	1.0123073301172862	1.0123991908175474	1.0124172704078078	1.0123330307772938	1.0123366274414294	1.0124820885996402	1.0124469910488967	1.0124211525118463	1.0122465503797835	1.0124597187012487	1.0125335184417172	1.0123331011156635	1.012425874076909	1.0124603041219638	1.012370626965504	1.0124073363886779	1.01260984142355	1.0123814159411462	1.0124300129562682	1.0123341864264657	1.012440374875954	1.0124312771815402	1.0122056524147434	1.0124419714122015	1.0126300152951877	1.0122678376156644	1.0124995738186207	1.0123958355865157	1.012465696151289	1.012474964044576	1.012411257980746	1.0125945287529114	1.0126190459978521	1.012456575246258	1.0126410361949258	1.0124774544590114	1.0126963358229106	1.0126109840454645	1.0123957507387484	1.0126666198011562	1.0125656386673423	1.012594231962375	1.0125883303906875	1.0125724963015141	1.0126007949180589	1.0126802860244293	1.0126569702688724	1.01266487357214	1.0126566610158987	1.0126913554007035	1.0127558620540351	1.0127817212272974	1.0126601249290481	1.0127720668758118	1.0127796858259632	1.012720427139326	1.0128711827065573	1.0127396235734452	1.0128084170427523	1.012224290800242	1.0130019677278843
