Molecule	Cycle_1	Cycle_2	Cycle_3	Cycle_4	Cycle_5	Cycle_6	Cycle_7	Cycle_8	Cycle_9	Cycle_10	Cycle_11	Cycle_12	Cycle_13	Cycle_14	Cycle_15	Cycle_16	Cycle_17	Cycle_18	Cycle_19	Cycle_20	Cycle_21	Cycle_22	Cycle_23	Cycle_24	Cycle_25	Cycle_26	Cycle_27	Cycle_28	Cycle_29	Cycle_30	Cycle_31	Cycle_32	Cycle_33	Cycle_34	Cycle_35	Cycle_36	Cycle_37	Cycle_38	Cycle_39	Cycle_40	Cycle_41	Cycle_42	Cycle_43	Cycle_44	Cycle_45	Cycle_46	Cycle_47	Cycle_48	Cycle_49	Cycle_50	Cycle_51	Cycle_52	Cycle_53	Cycle_54	Cycle_55	Cycle_56	Cycle_57	Cycle_58	Cycle_59	Cycle_60	Cycle_61	Cycle_62	Cycle_63	Cycle_64	Cycle_65	Cycle_66	Cycle_67	Cycle_68	Cycle_69	Cycle_70	Cycle_71	Cycle_72	Cycle_73	Cycle_74	Cycle_75	Cycle_76	Cycle_77	Cycle_78	Cycle_79	Cycle_80	Cycle_81	Cycle_82	Cycle_83	Cycle_84	Cycle_85	Cycle_86	Cycle_87	Cycle_88	Cycle_89	Cycle_90	Cycle_91	Cycle_92	Cycle_93	Cycle_94	Cycle_95	Cycle_96	Cycle_97	Cycle_98	Cycle_99	Cycle_100	Cycle_101	Cycle_102	Cycle_103	Cycle_104	Cycle_105	Cycle_106	Cycle_107	Cycle_108	Cycle_109	Cycle_110	Cycle_111	Cycle_112	Cycle_113	Cycle_114	Cycle_115	Cycle_116	Cycle_117	Cycle_118	Cycle_119	Cycle_120	Cycle_121	Cycle_122	Cycle_123	Cycle_124	Cycle_125	Cycle_126	Cycle_127	Cycle_128	Cycle_129	Cycle_130	Cycle_131	Cycle_132	Cycle_133	Cycle_134	Cycle_135	Cycle_136	Cycle_137	Cycle_138	Cycle_139	Cycle_140	Cycle_141	Cycle_142	Cycle_143	Cycle_144	Cycle_145	Cycle_146
Hydrogen	0.00023801123457564653	0.0002380467924439599	0.00023348423933149316	0.00023519372830314915	0.00023597708614122426	0.0002408380697791462	0.0002437783109582698	0.00027145155960542214	0.42568275334424593	0.4442735981932187	0.4458488249722949	0.4433040036997986	0.43664240621108236	0.44193354852063915	0.44328374672479265	0.44127467960127437	0.4427760868574506	0.44688732596409386	0.44951918807344887	0.4427128022229753	0.44296441632287886	0.4372471448214723	0.43446915462800995	0.4330144357097765	0.43725448820232654	0.43692473860911046	0.43758754404069516	0.43028700091711974	0.42751853960607167	0.4336461898355601	0.4309026805745957	0.4295917265768248	0.4255914171734247	0.42797357315526385	0.4292629742490244	0.4231212335629389	0.42007276142136835	0.4181187595515464	0.4193692449190799	0.4235631975777585	0.4192736932212833	0.42172646903576316	0.41917163722964074	0.4208520692297411	0.41950377489684276	0.4215001694836797	0.41972217963957925	0.41419252381952454	0.41773614967931727	0.4190790681855263	0.41995447665202407	0.41858979037562377	0.4134845744125716	0.41717788604202993	0.4142029530242167	0.4160470072996911	0.41486089761685024	0.42274403991565523	0.42655105140675525	0.4165211917309703	0.4200423109606263	0.41924528989133036	0.41674504443406923	0.418168344672022	0.41956044349664023	0.4260905718865045	0.4258680882998908	0.42005085694630384	0.42579759428881453	0.41820965007880934	0.4224571715899685	0.4276344345000967	0.4269806588055129	0.44716582374713537	0.42058859232154794	0.4259845301376692	0.428409962883245	0.43276590865873166	0.4319231223525035	0.42988848373467997	0.4319993874562011	0.43234870780073004	0.4321611481832776	0.4320384812022621	0.42843090895751834	0.4346206154113148	0.4354508725602051	0.4340181465355571	0.44192413624095256	0.43794106454517295	0.43854267599220337	0.43603889237326293	0.43715985673334484	0.44193735986032984	0.4426758935645239	0.44153230275638117	0.43747031727521724	0.44771928334526445	0.4438305405049048	0.4447503909745578	0.44824286586175927	0.44701267090246216	0.45350489854314696	0.44582067350031307	0.44716101684176845	0.44500252289302444	0.448394805917248	0.45207137132042685	0.458936572818088	0.456164906125571	0.45511282576535295	0.45873156576075835	0.45899920152253104	0.4617429630008931	0.46208633580672864	0.46445972368695604	0.4604583793184864	0.4624499822557134	0.46550134217455974	0.4641940157214619	0.4710275292647632	0.47287455827706776	0.4684244486434677	0.4713775783776436	0.4700191429873073	0.4729616264086081	0.47775766290838345	0.4729242526268882	0.4720487636853071	0.477408057486592	0.4795423856374755	0.47887728634345716	0.48189374145104746	0.47602499834814754	0.4848163047947692	0.48437253593841595	0.4787196056773688	0.4795683594550601	0.4869530143192414	0.48782469101016496	0.492192490094741	0.4907278994772122	0.4825214222562268	0.4909528989932163	0.27106927330306874	0.02221577779521609
Deuterium	2.7001440287737746e-06	3.007949698992828e-06	2.6380226215744745e-06	2.4398172861167e-06	2.217075257977203e-06	2.1773824428057724e-06	2.032210325548226e-06	2.8630377411451518e-06	5.673139802143155e-06	5.333523270088228e-06	5.659693010181666e-06	5.265638069458122e-06	5.15912362946563e-06	5.6702223856984445e-06	6.654647929403851e-06	7.151686595417187e-06	7.291455492790062e-06	6.873001067395428e-06	6.097007696797783e-06	6.840517906689361e-06	6.6489046156891565e-06	6.233942717529712e-06	6.441477935914955e-06	5.6569280474326735e-06	6.829668295385042e-06	6.298808683920569e-06	6.8603291587966e-06	7.04184418752257e-06	7.332162613822016e-06	7.4575933666405384e-06	8.23941456934061e-06	6.979253565799057e-06	6.60007928651057e-06	6.303129367090646e-06	7.146301334974148e-06	7.301929729139194e-06	7.0896879552494085e-06	7.298534887767417e-06	7.395316260878102e-06	6.852065991821066e-06	6.86901022403175e-06	7.4531102278733085e-06	6.672971579848577e-06	6.935134160816097e-06	7.307374573575624e-06	7.048383959895837e-06	6.344491698908727e-06	6.787129127065121e-06	6.549485522536734e-06	5.959156938427574e-06	6.43985541612049e-06	6.448180354644403e-06	6.377388061723662e-06	6.303263107656251e-06	7.0626992182864145e-06	6.367126403249374e-06	7.116046766386327e-06	6.378783007870861e-06	6.768841032470433e-06	6.373716794394945e-06	5.579763791016242e-06	5.605385919160613e-06	6.273244338977381e-06	6.202497963627709e-06	6.060453782354852e-06	6.502766233954405e-06	6.5853316453378524e-06	6.453842756453613e-06	6.389202502847589e-06	6.632023816723943e-06	6.543514427159746e-06	7.118630143658521e-06	6.558431168082073e-06	6.712061886095992e-06	6.914910080605611e-06	6.626263945383535e-06	6.212626606288138e-06	6.875669105917636e-06	6.787516407629184e-06	6.473568942793489e-06	6.433614104729224e-06	7.336413454691855e-06	6.2898084955453405e-06	6.982338818339591e-06	7.314741962828218e-06	7.241328839533519e-06	6.962914122865191e-06	5.215361374817586e-06	6.419473842223021e-06	7.043375806948095e-06	6.840073475469126e-06	6.0642255289389095e-06	7.361129344192366e-06	6.855012265787942e-06	6.247690728139802e-06	7.072017650790879e-06	6.257196399209414e-06	5.9928187694507505e-06	6.6087709863107795e-06	6.155194188728829e-06	5.03275276120919e-06	6.548592190849627e-06	7.1957869073497075e-06	7.2980695859138915e-06	7.200303110076168e-06	7.132236784515198e-06	5.837843018433346e-06	6.680818814380513e-06	6.192607585951411e-06	6.04253025466542e-06	6.069504303639795e-06	6.364867055811015e-06	5.857302897027022e-06	7.011771943671329e-06	5.430999564635984e-06	5.574068908135706e-06	7.4314688237518646e-06	7.253952945338884e-06	6.110047930854145e-06	5.250951206561588e-06	6.5272164944895315e-06	6.778602079187811e-06	6.0958462617911814e-06	6.238727328612638e-06	7.0311391073182286e-06	6.072631664575333e-06	6.021481499973345e-06	5.183337020699347e-06	6.017613137559584e-06	6.2381114732903324e-06	7.031481896682668e-06	5.155362835417216e-06	6.7582708905723895e-06	6.052783221077501e-06	5.389323176740806e-06	6.589893093778714e-06	6.552314948522883e-06	5.707445516060544e-06	6.407026582381148e-06	6.654216179965457e-06	6.499616425635884e-06	5.9864999106196614e-06	6.464726013053954e-06	5.7950817273928735e-06	5.098101251938458e-06	3.1067089674743756e-06
Methane	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.713463284248827e-06	0.00033593454314630736	0.00036962711837291957	0.0004116610067360206	0.00041156576010721016	0.0004181294720169381	0.00038893122782534536	0.0003916825156929581	0.00038664635054771026	0.0003610434013676896	0.0003592574683341446	0.00035809061906665686	0.0003656378960248576	0.00035519094602466894	0.0003496379628429621	0.00034443536733180346	0.00032781779889354116	0.0003212374634714008	0.00032797951956268904	0.0002995419223830043	0.00033869068651409687	0.00032275582462711674	0.0003065238815566809	0.00033214442212879257	0.00034297697190365135	0.00031251344022270746	0.0003300065080487452	0.00031134296871377845	0.00030869976865845693	0.0003214751720909539	0.00032677815201538244	0.0003139851090038697	0.0003448500854480946	0.00031299761562404537	0.0003857068030007595	0.0003443578938163315	0.0003152752592870636	0.0003143671587780712	0.0003304798139462742	0.0003403217437929795	0.00037840100940011057	0.000359372669348565	0.0003278168618748942	0.0003393799881410013	0.00035099882443490233	0.00034124121703906683	0.00030031552274194847	0.00033265551591819733	0.0003718959581122282	0.00033161424105943135	0.0003713391238318159	0.0003818042883697192	0.00034820723826568215	0.0003370414831366303	0.00038305326140066815	0.00040220507164793654	0.00034752395697023605	0.0003347217254969402	0.00043646895007063216	0.0004035396075719041	0.0003534015889966506	0.00037612851855929564	0.0004421889709826347	0.0003617912588873491	0.0003849532092056691	0.00042430196435655997	0.0004340156050456731	0.000499262325498049	0.0004210043761275284	0.00042956580718707263	0.0004361733400002333	0.00046042874691329817	0.00042959898041130867	0.00041360918239336463	0.0003941831953722658	0.0004810943022841297	0.0004376778870451024	0.00045844520875115127	0.0003846364814109816	0.000479361393897579	0.0005147958051054108	0.0004327699725629766	0.00041963110115740955	0.00038400417727188615	0.0003882506096349723	0.0004384625168485687	0.00044733583860522306	0.0005339491639933827	0.000488969455975886	0.0005009662788733254	0.00048493836006510064	0.0004922102054984453	0.0004056190364145357	0.0004440293345310587	0.00048737365583222873	0.0004819977008538978	0.00043774989115555004	0.00041741996301778274	0.000482196622400962	0.0005370669601953099	0.0004846917768154816	0.00048133091882874717	0.00046747997642562707	0.0004748369287378173	0.0004898235028000543	0.0004522147457864761	0.0005248385945606799	0.00043752065772032536	0.0005161081609998774	0.00045814083207910066	0.0004803342589483744	0.0004881373789105908	0.00045679848259616443	0.000502389893214972	0.0005678055631443813	0.0005113159427525385	0.0005270810817459042	0.00045489383192041537	0.0005573009723191009	0.000531119611080891	0.0005030513840437124	0.0004780439698535884	0.0006011487079182598	0.0005558997184501128	0.0005107079981087987	0.0005217940730813122	0.0005233668317508973	0.0005427910630849844	0.0005277349333377554	0.0006983266752856683	0.0005549788383497406	0.0006857946266100412	0.0005750905584068967	0.0005459546687288022	0.0005199836648208229	0.0005288402678226749	0.0005500905904739402	0.0015262764334538356	0.00023912684210796692
Water	0.002760730669294903	0.0028072090390488767	0.0028213442442257615	0.0027956299785135636	0.0028624159096440733	0.0029687484354782596	0.0031195641661197013	0.004509006409393995	0.008644315381717836	0.008819156249262276	0.008781436232932089	0.008662371134028148	0.008448851804734718	0.008213125729823991	0.00799184576797323	0.007738804507384817	0.007539223488116465	0.007366234018140405	0.007191941461030808	0.0070262984935534675	0.0068601177230759825	0.006677991359050339	0.006559370618094873	0.0064149974611152705	0.006304668426613535	0.006150669790289918	0.006050119377243188	0.0059601589745466544	0.005836025947656091	0.00574473023096824	0.005685439536678639	0.005589113001603877	0.0055325356060311175	0.005455691705922417	0.005373072658179671	0.00528805284881668	0.005192706598928699	0.005147624327096979	0.005061843586697617	0.005026592641881925	0.004986732478818404	0.0049218301180026375	0.004913394233583992	0.004860598154106027	0.004815858408734992	0.004782030430402587	0.004735004871137545	0.004689715372351898	0.0046523256354881965	0.004620449854210686	0.004586294193318326	0.004605215332491599	0.004551507630224182	0.0045172852468448165	0.004480407154479048	0.004435216071664936	0.004421694842990299	0.004415729995216287	0.004408860420081714	0.004378566501401612	0.00435116165206253	0.004295450225978106	0.004274942128034079	0.004313362352921146	0.00428811312928641	0.004269233683191614	0.004253975769189535	0.00421894688952395	0.00421031433987536	0.00421331723535436	0.0041905726219332645	0.004162214852924097	0.004169307809209784	0.004251443883515764	0.0041830425259382475	0.004145078845499106	0.004154485812278747	0.004109899116069205	0.0041221565879176044	0.004107553186109712	0.004128735765809514	0.004069085069618602	0.004030741966544396	0.004078443531912976	0.004077309566379348	0.004031680125771122	0.0040091008656797595	0.00401921317628495	0.003997827973424153	0.004023181261402397	0.003982902369257494	0.003949788231375548	0.004022104249812902	0.003992509844145554	0.003965206264835078	0.003968388195577178	0.003992219694544124	0.004017571505949053	0.003984042925903788	0.003966354474297747	0.003950209372350015	0.003956060510641692	0.003983740849494752	0.003921051181640801	0.0039420834600082276	0.00392395555243953	0.003959641194858464	0.00395813221066107	0.003951342444627922	0.003916640455436295	0.003919947374807636	0.003951411339639102	0.00391098843222095	0.0039386999831735004	0.0039450389545136934	0.003914225655977849	0.003918161940008086	0.0039272796198672405	0.003910354245331773	0.003917552049075093	0.003864091375181304	0.0038977763510430344	0.003919643456164455	0.0039417273882616805	0.003909206562768385	0.0038854951655689887	0.003932899257901494	0.003917392051090267	0.003903035548054349	0.0038878609636595575	0.0039251173949881165	0.003891970546982814	0.003841960460607248	0.0038455718910779626	0.0039057046872806706	0.0039279011081206116	0.003904337474842761	0.0039030708412986104	0.0038871912792338087	0.00386310728170415	0.0038917168940759425	0.003860922039208156	0.003912442716019959	0.0039038728858483977	0.005678916125803376	0.003166273404686143
Acetylene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008071135985752502	0.009004689564616364	0.008177668733379802	0.008066848277039068	0.008076712645880746	0.008014374141645061	0.008113304758541405	0.008158364776065304	0.008322979202081984	0.008530673958326431	0.0081260426791298	0.008863990791611882	0.008895958711658243	0.00912558745820688	0.008844298039133443	0.009021663221424931	0.009023379577003443	0.009208681868141269	0.009662815299467912	0.009748802760678547	0.010027213065338294	0.009983089078748663	0.009967216821801001	0.010185992271469798	0.01017483097144506	0.010542934658288114	0.010792456240805465	0.010795312068019692	0.011203553807024874	0.01066458007579462	0.010641293577981891	0.011245910156301027	0.011440238867170056	0.011482689490016318	0.01166329720190641	0.011343632446456637	0.01185827074568623	0.011917614756229657	0.0121467007352519	0.012441734393327934	0.0125794726732185	0.01258453584470863	0.012750470780564625	0.012557659261642882	0.01291597740621734	0.012686127753819037	0.012738401511978543	0.013019383692572125	0.013018142988405087	0.013063029693720637	0.013028891092826376	0.013429046966116385	0.013414211634980895	0.013340436487133962	0.013532311346446821	0.013626551903257558	0.013674657821686568	0.013808139056619598	0.014061353208024428	0.013846298759639544	0.014063935766498711	0.01388962044516283	0.013793324510212856	0.01401107534368966	0.014194476347024193	0.014097734418287305	0.01430408062123872	0.014205785617433167	0.01459414906337514	0.014292717932137598	0.014518725675769294	0.014418150776876838	0.014350557038868325	0.01435132474097062	0.014231473230510888	0.014600493253482604	0.014423798662488314	0.014579009691952442	0.014556537806514681	0.014614258631667126	0.01491769607975356	0.014885015452233074	0.014885437439205798	0.014973078038202503	0.014783428115871062	0.014727833775396547	0.015039364322883397	0.014829511477605146	0.014838454514080312	0.014977449183622807	0.014958380440403386	0.015013869474674705	0.015166111601314697	0.015197632274973302	0.015027074609900213	0.015126843056621611	0.014938654860871047	0.015114102198685449	0.015193723921382145	0.015299617236294196	0.015565579167818762	0.015391107756223632	0.015090035534304337	0.01502172217069691	0.015377888308932112	0.015565549578250484	0.015287409741518388	0.015394195560099404	0.015361077724155073	0.01561944077806699	0.015574770830858276	0.015397514506915332	0.015586859957328088	0.01546575826434655	0.01569865360184271	0.015538414724862953	0.015397229586930319	0.015421698147785448	0.015860316959921593	0.015804252242911203	0.015527272569251585	0.015593146116077225	0.015596454259495424	0.01574692710541825	0.015746981211556245	0.015661202022062788	0.015829465035477625	0.015786778977667556	0.01593710637451646	0.015827656532553643	0.015599690955552982	0.015709870859303837	0.015943075728802037	0.015982449906182885	0.015625285542686617	0.015987963254916172	0.015785347365984373	0.0019281780260406085	0.00035583683133305925
Carbon monoxide	0.020794883279512386	0.019307792731470277	0.01688006858094639	0.01492576229263494	0.014109576798116674	0.013478837732322346	0.012257467209808777	0.038735593990912316	0.04961035363978967	0.05189227708424465	0.052935253035183205	0.05271766114214585	0.05201768671570587	0.05280572450706467	0.05201651485282395	0.052163079568377464	0.05203904012329241	0.052805854912092366	0.051108499129605196	0.050581423188105754	0.05018331747722788	0.05001750933023017	0.04929592990021341	0.04966414817148633	0.05026963696526189	0.04916690123228433	0.049504913056638795	0.04729772160334923	0.04767396249872858	0.048041488859765606	0.048136307174423416	0.04750768958616661	0.0468435449002951	0.046497121912292445	0.04588054680692471	0.04530802731635695	0.04595346451039413	0.045294595945814725	0.04456011291324366	0.04432075525493348	0.04439030885714508	0.044352041270175516	0.04422170962448607	0.04381956056633783	0.04253069633608561	0.042596913714827676	0.042097502631573525	0.04243190557823251	0.041641229239425946	0.04105376673044257	0.041439832560163994	0.04057093694485601	0.04089604396323239	0.04068076141809552	0.03999672744483133	0.04016605283485037	0.040168808204732176	0.04054780472255661	0.03926277498904649	0.03998722038475907	0.04001112670704194	0.03951507274732564	0.03915358885864446	0.038677873528422245	0.03937532669661073	0.039280997136631385	0.03944335719218743	0.03884118636653717	0.03926590634915933	0.03854388957530703	0.0381467096817059	0.03848046429347374	0.038322622805700195	0.03841481436702523	0.03827420141714976	0.038789574628072726	0.037831231820159114	0.038809118018552344	0.03822287435035782	0.038048136911109615	0.038147473137112725	0.03791582706951131	0.038136869644663535	0.03786188798979552	0.03791979195986691	0.037781022093460924	0.037815626558512894	0.03821888381822068	0.037782177674175736	0.03788932823302925	0.03812126691939063	0.037624537460267206	0.0376032004622419	0.037638641413756384	0.037617127345220734	0.03734689420989725	0.037729269864760995	0.03761255393612569	0.03744929336881416	0.037702845636401756	0.03763986962052417	0.03730043851815833	0.03767620890927339	0.03737343604529893	0.037246846660109474	0.03718813832679597	0.037578403007481206	0.037800584283810786	0.03781548634012564	0.03723286129954265	0.036953937329433584	0.037399315407210997	0.03784480170975602	0.03782772439330128	0.037761393069881306	0.03736341644439016	0.03756597219554688	0.03742399799519623	0.03725930295094594	0.03751669195689549	0.037217433786782286	0.03766123351671376	0.0371788097864967	0.03726772044649424	0.03716958438747077	0.037704636528316515	0.03758610752046531	0.037053676016288783	0.037267779484940165	0.03714994177742444	0.03730421098151057	0.037342976515611984	0.03737804060530757	0.037247595024438	0.03735295605531689	0.03743118419999225	0.037243807574395875	0.03682137555345481	0.037100427616191936	0.03744618555685431	0.03732526138806468	0.036713440375961866	0.03746452574286634	0.03697882877616913	0.004496487268176697	0.0012514645639968576
Ethylene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020864870028263647	0.006431502112873671	0.007863567829256292	0.008229791032122775	0.008338145978173422	0.008282607939814678	0.008399446711653944	0.008391480329415708	0.008441098715731146	0.008297552059001156	0.008400372300971133	0.008244485589761841	0.008216214211398983	0.008185093372136363	0.008173713213722095	0.007951066402434101	0.008018718968677774	0.008007507139370927	0.007771112627333764	0.00780883600764055	0.0075011770723466585	0.007451975359287164	0.007531050047907414	0.007505311928657554	0.007261929966278954	0.007078522034949461	0.006980073355311898	0.006847480591537352	0.006639185935830516	0.006883184511022386	0.006715264307877569	0.006475970944986599	0.0061023075662208085	0.006208343358682947	0.0059654631622368245	0.006103813584269269	0.005855388158175756	0.005449817797931466	0.0054430555423277335	0.0053047558308537066	0.004956576422402914	0.005028421216705828	0.004810283501890545	0.004781652957566147	0.004486845624082258	0.004546510208081269	0.004404469167383802	0.004259893232376137	0.004213219198658332	0.004078006078747987	0.0040929057216274696	0.0038013546622352756	0.0038713905144399092	0.003853448409813492	0.0036425232953450236	0.003534034714326692	0.0033936520768078913	0.003386511858039723	0.0032957612560730242	0.003353131287998242	0.0032968944785191283	0.003311316260059447	0.0032010871380002493	0.0029099695707335673	0.0028830357785156794	0.0029319917459826464	0.002724696112176503	0.0027737920258034507	0.002669412041480665	0.0026333868550839816	0.0026627538561152827	0.0025614311171298946	0.0025457047992643277	0.0026146671503202434	0.0025772354610789122	0.002368686577407566	0.002321496002370325	0.0023226908831116243	0.002291999250347544	0.0022013538869045377	0.0021621799944441847	0.002045167421980868	0.0020820394503682856	0.0020603298851006235	0.001988192319899732	0.0020138402119871893	0.0018316125667129932	0.0019349254329619676	0.0018737551632942563	0.0018570822921832304	0.001796385633976683	0.0017402952801942838	0.0016879282579833235	0.0016894389028839628	0.0015771994378190534	0.0016496531381105025	0.0016047430227252577	0.0015048527451342396	0.0015334112509442816	0.0014540229238964386	0.0013901044178828608	0.0014270934939090004	0.0014395249950084484	0.001393752231130155	0.0013640033430089079	0.001381926477332713	0.0014600627355267903	0.001443818454885406	0.0013301788251247084	0.0012062155107673092	0.001165565832503405	0.0012297462794846213	0.0011471743430551463	0.001125862428464017	0.0011070386201753536	0.0010918663296695618	0.001056211568945319	0.0010631186901520885	0.001015255154377053	0.0009894283888471668	0.0010020245194341452	0.001028287631231728	0.0009424203550921185	0.0009528773569330581	0.0009558979913546695	0.0009398115925169508	0.0008666176389831299	0.0008722242223817728	0.0008388051382901524	0.0008726020433726572	0.0008570594995927477	0.0007984520919873583	0.0007981468256568985	0.0007537135242971006	0.0007464706261630155	0.0007940471559418435	0.0007366318452215603	0.0010058567509618674	0.0
Ethane	0.0010169572084285025	0.0008375815320764972	0.0006605194811807635	0.000484021423121535	0.00041567012964751455	0.0003655763445379286	0.0002725640433280435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0077649357082397e-06	0.0
Oxygen	0.004001188776848144	0.003570271601041392	0.003091315833072785	0.0028326622611279245	0.002620061092390545	0.0025803932426019483	0.0024446765319322762	6.950080715069696e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4603098936372652e-05
Argon	1.0116684094774995	1.0117019410945731	1.011571862352076	1.0115929823233802	1.011533470958669	1.0117020318715328	1.011619232289247	1.014851210078705	1.011746127114166	1.01204357100232	1.0122187245762595	1.012190935445675	1.012291479110677	1.0123893938036164	1.0123383308623484	1.0124090275739595	1.0124293591417655	1.0125495060728626	1.0124852465922538	1.0124804767903832	1.0125832532219048	1.0124378489060084	1.0126125825799668	1.0125191194559475	1.0125859695079988	1.0127084139986613	1.0126228910876058	1.0125105990552223	1.0126649955906755	1.0125773681367487	1.0126409619537995	1.0126365621796358	1.012604940556034	1.012556293693747	1.0125774519799493	1.012522464519588	1.0126165571273567	1.0125504378604957	1.012591931334514	1.0125883357375989	1.012529445984251	1.0126125637898677	1.0125835158315013	1.012621743505378	1.0126091211011308	1.012596329128874	1.0125409353093076	1.0125766879716025	1.0125721859904617	1.0125801196117497	1.0125833515247862	1.012513270491801	1.0125907818875766	1.0126112517818568	1.0125666035570065	1.012607509371032	1.012602934609577	1.0126273905212686	1.0125471216617343	1.0125891168106111	1.0126374754376468	1.01264939470233	1.0126424918732961	1.0125539642916168	1.0126959736827317	1.0127063426140042	1.0127194424199706	1.0126753545837672	1.0128126361236143	1.0127218165407037	1.0127829875614591	1.0127558646086572	1.01284691526899	1.0127851015037066	1.012831824105187	1.012865659073197	1.0128714944361221	1.0129489117084407	1.0129424316952202	1.01295615533909	1.0129528034003499	1.012895591621646	1.0129294743142285	1.0130757596889262	1.0130135208661561	1.0130814641046388	1.0130766876143666	1.0131162584241238	1.0131959072532095	1.0131598122071357	1.0131440684370316	1.0131709067556025	1.013186515855778	1.0131787906100527	1.0131838498007557	1.0133076102401644	1.0132490305239825	1.0133275527424308	1.0133557259998958	1.013359465994955	1.0134317995106947	1.0134392373481522	1.0135392578848366	1.0135124873955346	1.0135033616538889	1.0135176423043606	1.0136414651999999	1.0135340711700804	1.0136397570397473	1.01367522698751	1.0136754863359896	1.0136988829047633	1.013687885866005	1.013779094582304	1.01387650072576	1.013901750345314	1.0138606884893493	1.013935308450612	1.0138852331095594	1.0140448757996523	1.0138576443449074	1.0139899989846388	1.0140059507855892	1.0141006152196284	1.0141084106078782	1.014196382374572	1.0141241476064347	1.0141667342520253	1.0141662533393139	1.014317378897214	1.0142783733212741	1.0141517463446097	1.014247855603388	1.0143053260159793	1.0143009684421003	1.0143452174953325	1.014249424482022	1.014331901653824	1.014467717103994	1.014377158985505	1.014553304922124	1.014509419945011	1.0145078415945161	1.0145551146292826	1.0141948568754613	1.0147281036183655
