Molecule	Cycle_1	Cycle_2	Cycle_3	Cycle_4	Cycle_5	Cycle_6	Cycle_7	Cycle_8	Cycle_9	Cycle_10	Cycle_11	Cycle_12	Cycle_13	Cycle_14	Cycle_15	Cycle_16	Cycle_17	Cycle_18	Cycle_19	Cycle_20	Cycle_21	Cycle_22	Cycle_23	Cycle_24	Cycle_25	Cycle_26	Cycle_27	Cycle_28	Cycle_29	Cycle_30	Cycle_31	Cycle_32	Cycle_33	Cycle_34	Cycle_35	Cycle_36	Cycle_37	Cycle_38	Cycle_39	Cycle_40	Cycle_41	Cycle_42	Cycle_43	Cycle_44	Cycle_45	Cycle_46	Cycle_47	Cycle_48	Cycle_49	Cycle_50	Cycle_51	Cycle_52	Cycle_53	Cycle_54	Cycle_55	Cycle_56	Cycle_57	Cycle_58	Cycle_59	Cycle_60	Cycle_61	Cycle_62	Cycle_63	Cycle_64	Cycle_65	Cycle_66	Cycle_67	Cycle_68	Cycle_69	Cycle_70	Cycle_71	Cycle_72	Cycle_73	Cycle_74	Cycle_75	Cycle_76	Cycle_77	Cycle_78	Cycle_79	Cycle_80	Cycle_81	Cycle_82	Cycle_83	Cycle_84	Cycle_85	Cycle_86	Cycle_87	Cycle_88	Cycle_89	Cycle_90	Cycle_91	Cycle_92	Cycle_93	Cycle_94	Cycle_95	Cycle_96	Cycle_97	Cycle_98	Cycle_99	Cycle_100	Cycle_101	Cycle_102	Cycle_103	Cycle_104	Cycle_105	Cycle_106	Cycle_107	Cycle_108	Cycle_109	Cycle_110	Cycle_111	Cycle_112	Cycle_113	Cycle_114	Cycle_115	Cycle_116	Cycle_117	Cycle_118	Cycle_119	Cycle_120	Cycle_121	Cycle_122	Cycle_123	Cycle_124	Cycle_125	Cycle_126	Cycle_127	Cycle_128	Cycle_129	Cycle_130	Cycle_131	Cycle_132	Cycle_133	Cycle_134	Cycle_135	Cycle_136	Cycle_137	Cycle_138	Cycle_139	Cycle_140	Cycle_141	Cycle_142	Cycle_143	Cycle_144	Cycle_145
Hydrogen	0.00029765362710569175	0.0002792661310207498	0.00027323555431416936	0.0002646703525691301	0.00026600428575731687	0.00027878632455107715	0.24737943537043855	0.2700197862685748	0.27484755644358444	0.2785681996032575	0.27380538132060855	0.2769883901843199	0.276814249986644	0.27753929547891176	0.2782291348586098	0.27865235587518006	0.2782204505478957	0.2798001931950146	0.28083934291403423	0.2783628955308344	0.2816131941452761	0.2751339896090006	0.2774708933112434	0.27432530408850125	0.28016624100489623	0.2774480117571585	0.27359097164280594	0.2735183664762121	0.27624242618467043	0.27280080212381425	0.2721869449371475	0.26980296640998924	0.2694323696201288	0.27082563166587625	0.2698684678670049	0.2692611969497565	0.2679215676618834	0.268515620464353	0.2693204962598662	0.268552486346508	0.2679060160040783	0.2685039091604502	0.26460899353454514	0.26324895669978204	0.26600872426530636	0.2648583658921957	0.265740781076309	0.26751955587524623	0.2691730445863836	0.2656281085571641	0.26658853522060155	0.2637712805967953	0.26452898131565944	0.2622135128908675	0.2634524117095046	0.2647604294492269	0.26490714404148125	0.2656027715822192	0.26688521184314484	0.2625982609592215	0.26168848373837394	0.2656598011043799	0.26493890415567356	0.26661830110883905	0.2618085226196431	0.264592635286754	0.2649596962644331	0.2641908841886842	0.26265793844001045	0.2647517535762912	0.26711260729814096	0.2661749465752212	0.2647707481508403	0.2652336034243436	0.26651075101690275	0.2658970741698541	0.26598233094578677	0.26340347818464255	0.26910036003324006	0.2672993089553567	0.26074230543176335	0.26574203990538986	0.2680467395768886	0.27043793075744926	0.26756821886740856	0.2655753843672385	0.271325217756192	0.26629949743630565	0.26684342012400547	0.26879477746343705	0.26922221177175787	0.2683557342970153	0.27230304762766916	0.2659574103769002	0.26669826547842307	0.2700816405928226	0.27409038641886296	0.26834921799253414	0.2647829543324336	0.2672724685007814	0.27507465041745	0.2713874495252214	0.2687621513020462	0.2721621317800048	0.2734128914243793	0.2678614600304412	0.27389187159980005	0.2764048873737098	0.27381415935221837	0.27382626379417846	0.2750674103233961	0.2727231987554598	0.27123203658798717	0.2725825267522235	0.27377308739331724	0.2782959642021018	0.2721543303492817	0.27097505051752946	0.27341313770565684	0.2771863833612407	0.27568256991941875	0.27593025265739946	0.274523381180785	0.2729629895495991	0.27950125916104485	0.2782360960849281	0.27824175110918736	0.2740653399894687	0.28012988000696676	0.27439361372421733	0.2759373432069194	0.28102499759651983	0.28324521100799327	0.2688317839706264	0.2444132851571221	0.2211173949062375	0.1946520051323174	0.1723869522495568	0.1483512730378115	0.12604977933297629	0.1058646556014532	0.11138450743860177	0.10258684244806264	0.0814891535946009	0.07708114683497642
Deuterium	2.4066596714874362e-06	2.0380275610088067e-06	2.215942272834891e-06	2.0779415451756817e-06	2.012452558062626e-06	2.1784063843975296e-06	3.1328973568108035e-06	2.732712871729394e-06	3.275860396010364e-06	3.4429141664842505e-06	3.7183116992969014e-06	3.825065223513926e-06	4.4087716834959834e-06	4.787702773734085e-06	4.730760585421458e-06	4.6415445907025026e-06	4.674452046249151e-06	4.705704290403372e-06	5.390630678880405e-06	5.503861869277137e-06	5.822284123750298e-06	5.937536496021458e-06	5.626709653069385e-06	6.44122446700606e-06	6.2000939121421026e-06	6.634729685522282e-06	6.2387108767234705e-06	6.18010830926905e-06	6.856585436110089e-06	7.072644032320098e-06	7.451860189539342e-06	8.075789245245892e-06	7.026894101296076e-06	7.401313979100185e-06	7.904288732854666e-06	8.037758796189691e-06	7.950315381865917e-06	7.457811120143375e-06	7.835848382586278e-06	7.628246824130825e-06	8.938494019695975e-06	8.198387432702733e-06	8.970204393883346e-06	8.14645294927005e-06	8.735545706939493e-06	8.876378037856445e-06	9.37267190734319e-06	9.160944272807326e-06	9.346619863457738e-06	8.87868728429277e-06	8.765463602204086e-06	9.720917319428867e-06	9.55098449409794e-06	9.664139115924341e-06	9.460909731827773e-06	9.363318250333339e-06	8.873369396819944e-06	1.0141916149231263e-05	9.944498562072931e-06	9.476877943052637e-06	1.0732023927827173e-05	9.611904107446976e-06	9.491169246609438e-06	9.394728776037102e-06	1.0423958849451733e-05	9.897344989961705e-06	1.0117073143272551e-05	1.0193184305680393e-05	9.629983645299096e-06	9.726998898308573e-06	1.0452006581648137e-05	1.0265319967050384e-05	1.0248145157676868e-05	9.44819142027867e-06	9.484717055348508e-06	1.0022765354979581e-05	9.60480662218796e-06	1.0239399283952576e-05	9.499514992870938e-06	1.0277272335231132e-05	1.0237764902610181e-05	1.0023246993715637e-05	1.0288893857550213e-05	9.769620480249016e-06	9.883578943054765e-06	9.731592797794107e-06	1.0211473005706801e-05	9.908102249799218e-06	1.0632915022411088e-05	9.816631200922424e-06	1.0908636959968993e-05	1.0093979890805893e-05	1.0613120285108346e-05	1.043832577579234e-05	1.0573914925951836e-05	1.0758081351404762e-05	1.0191867845909608e-05	1.0190193194947925e-05	1.0551311869813912e-05	1.0547370662834809e-05	1.0586961066406238e-05	1.0749955066868583e-05	9.32062901162561e-06	1.0219976722806482e-05	1.0909259038646194e-05	1.0840957840516402e-05	9.652361993916583e-06	1.0696125689700329e-05	1.0706084716393003e-05	1.0258519477864666e-05	1.0781014773096014e-05	9.950223407127107e-06	1.0010583840868415e-05	1.0672024895666458e-05	1.1037153201168099e-05	1.0895941399942902e-05	1.0092610324556694e-05	1.0197214001504708e-05	1.0051026749658821e-05	1.0630672067804592e-05	1.125925919926471e-05	9.920632207353161e-06	1.015289062030956e-05	1.000609274715307e-05	1.0779479293174774e-05	1.1451358293234773e-05	1.0660945784385987e-05	9.984799473891107e-06	1.0237813860048438e-05	1.0809125626023933e-05	1.0247147700556443e-05	1.084692727982748e-05	1.1770623388202367e-05	1.2106522717674426e-05	1.4004473024768415e-05	1.3461417527563075e-05	1.4716554357074015e-05	1.5255436942150024e-05	1.5442292787297735e-05	1.5595482190939384e-05	1.5753651459960446e-05	2.1270877406045257e-05	1.9576186198013344e-05	1.8921786402499937e-05	1.873087959548794e-05
Methane	0.0	0.0	0.0	0.0	0.0	2.64617458150344e-05	0.000312629661816887	0.00019692166831593395	0.00017360759350577325	0.00020511397340964468	0.0001989822317762968	0.0001917347665600231	0.00023820482173538202	0.0001983463499270556	0.00021416577840827219	0.0002356052840683509	0.0002573000266780825	0.00022093465277476653	0.0002212293678892793	0.0002438718477223331	0.00022352276264888163	0.0002062822973616318	0.00028225965490752056	0.0002340248552056453	0.0002448599913939764	0.00026165164263625395	0.0002784665060930978	0.00032669954626508553	0.00036147154366610295	0.0002967997347494992	0.0002439109761014171	0.0003567942898027546	0.0003871674052805711	0.0003097757808329768	0.0002972559269034405	0.0003730919581857659	0.0003851422731302121	0.0004705633842441849	0.00037350239919308614	0.0003763190974939026	0.00036732155649254886	0.0004419216972950555	0.00027100627671315083	0.0004316660502188768	0.0004221632862342977	0.00039774660570203555	0.0004202104768228794	0.00044856101515868934	0.0004185907063557804	0.000398103281652861	0.00047402190524915996	0.0003665547205724989	0.00044273435263102916	0.000468977932295835	0.00047647417380563965	0.0003069371891731962	0.00038546573601964826	0.0005501651059602689	0.0005049709908304088	0.00048367499048764136	0.0004511641677351662	0.0004938629213008946	0.00047776317580304717	0.0004707936991035585	0.0004870709697381776	0.0005085119180859156	0.00038456073394111317	0.000475713284349939	0.00041494498494248363	0.0004423678390954704	0.0004956636476962433	0.0005379501391209327	0.0004225364839030174	0.0005133106446159006	0.00046424253790129297	0.0005120062076532175	0.0004946007835670098	0.00045774513827263365	0.0004956892143520459	0.0004691044905336007	0.00046432227158884	0.0004734934729450674	0.00048018964328137273	0.00043707103125827784	0.00029926446312987406	0.0004624426502412723	0.0004931064948194006	0.000527226462637855	0.00044526746149934027	0.0005481220623265953	0.0003907411765039965	0.00032057740494619485	0.0004121554346551398	0.00045796445729477637	0.0003766809953751612	0.0005193179558552318	0.0004761779779359141	0.0004747596141320527	0.0004799596224527936	0.0004488453241050931	0.00031021052687916806	0.0004643727058701404	0.00032269420391284066	0.0002470650090143546	0.00035419669483913017	0.0004372342609292585	0.00041046550948501754	0.0004345356566268659	0.00040953590914941655	0.00047753155369588315	0.00043532237615412773	0.00035606998297185624	0.0004220239174945877	0.0004133180153507669	0.0004578957507432527	0.00040821098807927107	0.00040215009253253767	0.0004097551448363967	0.000413336221808067	0.00036556445785258275	0.0004962019151180062	0.0005297223058391035	0.00047246986341568735	0.00042585903442344245	0.00047516497544163635	0.0005032605048966194	0.0004990217739698156	0.00044035410011693927	0.0003941628475326375	0.00043516419135460456	0.0001954213058361944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0911277905951496e-05	0.0	0.0	0.0	0.0
Water	0.0029697407871183525	0.0029678419284459604	0.002951272673602051	0.002954796476829202	0.003011954666560279	0.0032289987915937075	0.006663499854785971	0.0071120674173765506	0.007179054987914501	0.0071747227884335595	0.00711754689693794	0.0070976291583752125	0.007006385166362165	0.006946147547041975	0.006836087505285448	0.006782210897418826	0.006693708684699353	0.006613448895415589	0.006514116914099914	0.006408994937994158	0.00631105683170835	0.0061977370784396125	0.00611244448972369	0.005992970666073524	0.00586472750354597	0.005847356176584199	0.005734836580636767	0.005668325679405008	0.005604637374967299	0.005527907218606246	0.005528407951686921	0.005415816464801252	0.005333814441071342	0.005402465100580072	0.005251802856684481	0.005215280389066889	0.005169162160947033	0.005112196641284349	0.005056927356071853	0.005019862852521614	0.005008953874832684	0.004948877508755219	0.004920293240415636	0.0048564062036175045	0.00483692197654147	0.0048080683141953585	0.004773049538211089	0.004718703662214531	0.004718460064640823	0.004673000378113121	0.004645569737042076	0.004641152998590559	0.004623137560556887	0.004578802180794648	0.004550067820030741	0.004519625898154635	0.004491026871407116	0.004466867524069167	0.004459932348400816	0.004466991663350528	0.004417020098882816	0.004405559686381295	0.004412410090496619	0.004384632396213407	0.0043584267354417755	0.0043623038224579	0.004275790537244892	0.004293202760407	0.004275476054075545	0.00427873695831355	0.004261535133724722	0.004269636121836011	0.004238095089171283	0.004181344385056175	0.00419441612443945	0.004205207101661446	0.0041852209512786885	0.004162483710617087	0.004141390524126059	0.004158337263008961	0.004123901251961862	0.004059537065487825	0.004120473297655048	0.004056314152424884	0.004094088998420702	0.0040632736913073855	0.004054875243100371	0.00406218910126645	0.004066380404197543	0.004038246754496356	0.004026095263649661	0.004037715299751006	0.003999232498313696	0.003952857025093261	0.003975578557080139	0.003977632866468551	0.003962279433805043	0.0039462418043700025	0.003993397490066931	0.003945080339975475	0.003933860797574911	0.003939518610314047	0.003847000253041248	0.003922434624156108	0.00394046770344604	0.003858294165922695	0.003930876549049241	0.003929226127013032	0.0038925564965803724	0.003855776045906731	0.003907765208901985	0.00383925894664389	0.003853094654528289	0.0038131152875373695	0.003786341150338624	0.00384096959947784	0.0038619664578633463	0.0038370230950845467	0.0038780607639705	0.003847046811531115	0.003867419420202454	0.0038839124701824006	0.003862061577920077	0.003834365350402798	0.0038442304984811076	0.003829792481852279	0.003865091964542316	0.003833236694822452	0.0038260791201200884	0.0037966900833075463	0.0038298896255042967	0.0046587073427136975	0.0054773929957215705	0.007979426468879012	0.01190703482213409	0.016267424838469484	0.02048692568380836	0.025390580227321227	0.029439017227623192	0.033506912930925024	0.037504524117138935	0.02341146887263667	0.023681515484758723	0.027596007537280694	0.030416682861089932
Acetylene	0.0	0.0	0.0	0.0	0.0	0.0	0.008276012256813792	0.006114282918496998	0.006193320922332493	0.005921946111931486	0.006674028384938685	0.006231565537325653	0.007110692625101675	0.007044692271989457	0.0072825040513693476	0.007331525743888698	0.0070154299428081554	0.007222896680529611	0.0075132659660081865	0.007598476682550554	0.0076102909783715015	0.007748299658468508	0.008416154392137548	0.00795136251281973	0.008307772914025301	0.008321117429231693	0.008589890393125611	0.008416591713188723	0.008832696018956076	0.008968125975461852	0.00887315525913837	0.009365844393612007	0.009258796724372496	0.00954330011067092	0.009454363355038353	0.009681677710262541	0.009841595470383232	0.00996558547060887	0.009964567489673715	0.010045815268998937	0.010123027258964794	0.010353403733432324	0.010073058848058395	0.01046976251535835	0.010223837936404993	0.010567193520746667	0.010642923220706655	0.010723254920714768	0.01061323691247217	0.010899224888636868	0.010840889823340909	0.010916212641103628	0.010777359331474314	0.010761611731971828	0.010987036010928675	0.010981391823234612	0.011198916002884815	0.011081688283507463	0.010941785216615681	0.011279917256733189	0.010973476367409649	0.011172433194026568	0.01126625983069916	0.011103931076293603	0.011078281130808127	0.011253780059824211	0.011171071933725102	0.011142892250566118	0.011491911359467625	0.011162291957573685	0.01150078086259435	0.011385784829797156	0.011264099719658721	0.011203520134511522	0.011542665594209793	0.011337278361119306	0.011393641596185554	0.011512986254173466	0.011357920104699618	0.011510278568781276	0.01180991298040956	0.01151049569252126	0.011535691939776662	0.011498186020629431	0.011378371606524322	0.01169996525837753	0.011691416283340186	0.011659664358728518	0.011685881467678249	0.011662046920964996	0.011726210411824943	0.01164006641822566	0.011452208829017207	0.011517263717926194	0.011628567865701309	0.011665437303501756	0.011551295061037725	0.01170244805589425	0.011831944677439837	0.011906254478912895	0.011795713058147101	0.01160491263535361	0.011807037759708991	0.011929479709392576	0.011952770391212762	0.011954199643503262	0.011912976920902525	0.011846094889220024	0.011764548761060105	0.011841721395298202	0.011813239188045497	0.011940650291978114	0.011646915599858155	0.01187294511060238	0.011598594232020813	0.011684972875591388	0.011683715578442834	0.01204353888578716	0.011728140588091907	0.012017156625440362	0.011864714417116937	0.011713214495462051	0.011747102699427754	0.011732504614079133	0.011786037128723486	0.0119163200560851	0.011967672161522514	0.012011372031215118	0.011650498521423174	0.01161044324754488	0.00789954419910201	0.003453551335275108	0.0021222361402763366	0.0012105683872016412	0.0005867181321088512	0.0002103253771216736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Carbon monoxide	0.013847386146143364	0.012640424273572605	0.011635692437692456	0.011612736149814824	0.012210375567269362	0.017465259173823584	0.0351096065919758	0.040123683784098106	0.03985211204254836	0.04061034832963559	0.03871419985794073	0.04016616711334879	0.037560096812868975	0.03800217105532097	0.03782141700811473	0.03745486521214275	0.03836844468993686	0.03834409958627988	0.03671177171813288	0.03791147430230915	0.03743199529123739	0.03707695935590527	0.03540632912219046	0.036703271427370385	0.035352564177344586	0.035509657096651506	0.03420423693305578	0.03505029938084758	0.03460030034668326	0.03422023923140446	0.03285444260791788	0.03238370862255968	0.032630436560170596	0.03258791083783255	0.032363719370399	0.03144414035680737	0.031046964335924007	0.030721178447849773	0.030548675671405238	0.030679452936133576	0.030227412154311756	0.029353425981084143	0.02984962186929527	0.029002249227682485	0.02992569958249689	0.02893367763679492	0.028752886075366153	0.029047970350771543	0.028483087929915694	0.028589968031207467	0.028855477160712965	0.028637202026647927	0.02867295492728556	0.028150107042541794	0.028307037924760553	0.027656033389239415	0.027958015482290686	0.028077565522393155	0.027912062232023183	0.028316685673286903	0.027695524815789647	0.027870540746973028	0.028015896612589554	0.02801258172514514	0.027844502723945872	0.02794950605077398	0.028021941228974365	0.02730196452674886	0.02758143028982275	0.027521483832327137	0.027967247492220543	0.027762475622300338	0.027523571950790974	0.02751520224534512	0.027724223779271005	0.027281642461060525	0.0274243590451084	0.027664666362167578	0.02727626623233881	0.02750286229232191	0.027425964418187947	0.027176138792736365	0.027617521712641042	0.02710640242556232	0.027115848617568147	0.027319039456928422	0.027324617759656524	0.027189559205199686	0.027095327999898146	0.027159747392160986	0.02701913159183686	0.027369744216755313	0.02727731424357098	0.027037326864872646	0.02705961599207313	0.02721657674776352	0.0268771878028279	0.027223129441410105	0.027474022937422207	0.027688432316992927	0.02714719103855093	0.02716713040944156	0.027204576619851154	0.027664639852935886	0.02746700577446131	0.027343106700767086	0.02742288442169261	0.027254686765033776	0.02725157841967496	0.027341492518566032	0.02713637405244524	0.027381197300032824	0.02698231565596405	0.02738480510443466	0.027166858287554833	0.026796257566239854	0.02698604913519323	0.027531855825980556	0.02695509185712126	0.0272911713185825	0.027174059351195122	0.027109966631809347	0.026855643601207173	0.02700163870762452	0.026993449124583586	0.026928567733804813	0.02714606462208533	0.0275494054491737	0.026875954337073432	0.02694991353980726	0.029230337985690608	0.051118679386062967	0.09508929996192782	0.1284304159826065	0.15213459895003784	0.15862250551513687	0.17061019527032045	0.19748547895793633	0.21645433650144802	0.21321575584819122	0.23074952249741576	0.3981561356003331	0.4282165750313485	0.37919089068812684	0.36676662664239196
Ethylene	0.0	0.0	0.0	0.0	0.0	0.0	0.003801046030236534	0.005585946763003273	0.005807367576291244	0.006064050443402353	0.005925908858485654	0.006040990493797781	0.005767449946343874	0.005785035363658614	0.005700104107738264	0.005762443896053946	0.005809116085054955	0.005905567435495343	0.005654392632838187	0.005499572569296203	0.005576985927175279	0.005444263624679459	0.005099402386059933	0.005377135455900059	0.005032036999000591	0.005100995795905893	0.004888046269587435	0.004982418790450656	0.004603023958299396	0.0045358189145335735	0.004393498274551255	0.0041354067090622	0.0040934057372194205	0.0037950599044490494	0.003926044964800451	0.0035615805971310767	0.0035383632490517372	0.0033606254040570564	0.0032032669513480647	0.003173757023349338	0.003047458435595126	0.002645368145546717	0.002857494494871759	0.0025530466109292705	0.002625069422272806	0.0023579524361794398	0.0022773521733032236	0.0021934795973930603	0.0021293058309016953	0.0020534780743080815	0.0020733364118836585	0.0019980734460296502	0.0019521082487773634	0.0018382311822727996	0.0017412478210630635	0.0015619172944161743	0.0014904873910523905	0.0015924649912176544	0.0014755578694513863	0.0014254479063194225	0.0013977818019358372	0.0013485262030944179	0.0012997100645619768	0.0012969503709141944	0.001230148970556925	0.0011956354917633488	0.0011530611531000718	0.0010462699990678261	0.0009595030146806983	0.0010457409482937257	0.0008970329793265159	0.0008855365932824094	0.0009307092971503005	0.0008798904974986815	0.0008496593685743646	0.0008217958577874283	0.00075092539314793	0.0006912941926304591	0.000691664516875751	0.0006452591482399929	0.0006063176916148403	0.0005133880786281382	0.0005699979094663494	0.0005593169191447307	0.0004903004159534551	0.00046399929884704237	0.00044045485673090346	0.00045041011058992	0.0004351315315014287	0.0003923541530001573	0.00032616636439298326	0.00038569706960270023	0.0003530198526434346	0.0003100877654632922	0.0002646313620123336	0.00024021037884802506	0.0002468732894865089	0.0003148465931368533	0.0002577712762980554	0.00018639399998384877	0.00020596436765388745	0.000222106043172499	0.0001605332458553778	0.00013572375919573132	0.00018446320685334557	0.00012979667459905658	0.00013763662192453112	6.812092355360267e-05	0.00011468992298707009	9.571502483910748e-05	9.482733995182763e-05	3.74849435366294e-05	7.424953935447088e-05	6.763577037382125e-05	4.325622448844539e-05	0.0	3.1382961417901436e-06	1.874657011430272e-05	1.9973735636695697e-05	2.4343052777963427e-05	2.76616045439693e-05	5.345550638252686e-06	0.0	1.3557010413766714e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00030519904316891455	0.002138539962635788	0.0015073999895734793	0.0012848925895603428	0.0010756594998899928	0.0008710200988699185	0.0005142578717371876	0.00020940618321430544	0.0	0.0	0.0	7.520282559196909e-05	0.0	0.0	0.0
Ethane	0.0003439054919297721	0.00023085738648741247	0.00013034410314891173	0.00010459896629216986	0.00019584191542870193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004972169282527883	0.0012947429681178255	0.002023767347513863	0.002349840524364068	0.0029767370637423423	0.003301472082354494	0.0037507769097313644	0.003938509654045418	0.004219550554585442	0.0072247950924353675	0.00776165043557074	0.006838401056277427	0.006576425831988521
Oxygen	0.002526012820431012	0.0023886179665394964	0.0021775165931477644	0.002171047496732612	0.002412208547160695	0.00016668996283649478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.696758718484075e-06	0.0009389216107346192	0.0023918198038372844	0.002005011915151434	0.0018913117323665174	0.0025713223966346865	0.0049062688608310255	0.0075680384718282085	0.005066305117369527	0.004351689255284008	0.005336046231532091	0.0424547440681514	0.04725764390856953	0.03758728900498703	0.03515195302907912
Argon	1.0105388617569198	1.0105289561624031	1.010505941424443	1.0105463103329673	1.010690014830637	1.0118207943115685	1.0107262476942633	1.01094927228756	1.0111371286469357	1.0112457426014112	1.0111584460793213	1.011172471630326	1.0112832552672786	1.0113235158557674	1.0112858313540567	1.011270284571936	1.011289739046661	1.0112752236558524	1.0112842245264098	1.011303717708413	1.0113031623895339	1.0112699891414834	1.0112919383577574	1.01129685031806	1.0112355014150813	1.0112664689246293	1.0112324291416135	1.011299362488275	1.0112953521765564	1.0112352239420281	1.0112108868843186	1.011179556504301	1.0112028791727072	1.011211140193935	1.0111264387746848	1.0111312045242355	1.0111560743471928	1.0109931999501156	1.0111045038600361	1.0111158300804952	1.0111267443762586	1.011115984061141	1.0110950848851785	1.0111110576406888	1.0110510585787826	1.0110654301737656	1.0110645862275986	1.0110186657825995	1.0110790370915754	1.0109847876812343	1.010933282620277	1.0110411231058427	1.0110879750445043	1.0110462918851846	1.011003729360716	1.011014209185965	1.01090125719688	1.0110829509026773	1.0110231797681084	1.0109674317110933	1.0110201036112276	1.0109375464485633	1.0110478933248157	1.0109982743938197	1.010986251269297	1.011050206319958	1.01090094566176	1.0109675326569854	1.0109756795970732	1.0109572422463862	1.0109454681599477	1.0110543610555356	1.0109541425023267	1.0110535176199351	1.0109430634315513	1.0110455929913473	1.0109707055123571	1.0110146840934064	1.0109040371175526	1.010987573972248	1.010988195359411	1.0110537793322207	1.0111044043472555	1.0110365484054797	1.0110450535537687	1.0109131051590226	1.0109894514357223	1.0109272030091452	1.0109990381893905	1.011022769503851	1.0109726855002787	1.011020565054629	1.0112593359675988	1.0111089803646378	1.0110291646249336	1.0111033690219666	1.010999968013684	1.0111203649773164	1.0111906537004607	1.0110980014793596	1.0111642201973778	1.0112987533264253	1.0111642955210438	1.0113015725618193	1.0112483040447378	1.0112421786805885	1.0110846017410116	1.011162863363644	1.0112993884765331	1.0111834327607268	1.011289468369217	1.011324813870211	1.0113633565277942	1.0112777683794212	1.0113557002966709	1.0113306905995756	1.0114168313633283	1.0114541807363064	1.0114477831833109	1.0114412370482633	1.011501665327929	1.0115327992166065	1.0115471887583036	1.011510951538436	1.0114266110748455	1.0114912695190057	1.0116709100447339	1.0114934181587902	1.0116743826418062	1.0117190761042418	1.0117157932796612	1.0118286985305363	1.0118313077646013	1.011414267868184	1.0114412491562819	1.011646425685053	1.0114266507294256	1.01140650248578	1.0113280031014344	1.0112618859006735	1.0114137208414602	1.014291806008521	1.0112516599060257	1.0105845519363255	1.010755539029733
