Molecule	Cycle_1	Cycle_2	Cycle_3	Cycle_4	Cycle_5	Cycle_6	Cycle_7	Cycle_8	Cycle_9	Cycle_10	Cycle_11	Cycle_12	Cycle_13	Cycle_14	Cycle_15	Cycle_16	Cycle_17	Cycle_18	Cycle_19	Cycle_20	Cycle_21	Cycle_22	Cycle_23	Cycle_24	Cycle_25	Cycle_26	Cycle_27	Cycle_28	Cycle_29	Cycle_30	Cycle_31	Cycle_32	Cycle_33	Cycle_34	Cycle_35	Cycle_36	Cycle_37	Cycle_38	Cycle_39	Cycle_40	Cycle_41	Cycle_42	Cycle_43	Cycle_44	Cycle_45	Cycle_46	Cycle_47	Cycle_48	Cycle_49	Cycle_50	Cycle_51	Cycle_52	Cycle_53	Cycle_54	Cycle_55	Cycle_56	Cycle_57	Cycle_58	Cycle_59	Cycle_60	Cycle_61	Cycle_62	Cycle_63	Cycle_64
Hydrogen	0.0003015556937398913	0.000304642015894554	0.00030518096239091257	0.00031224694774841915	0.00033061888719010575	0.00033908452567667837	0.0003562438827394795	0.00037984938354930454	0.0004016348957739619	0.0003957730717091065	0.00037316260884066643	0.00036497331653608927	0.00036098203319166874	0.00036446884646553244	0.00035088009084454974	0.00035512993699943527	0.00035926179402604873	0.00036061350793926733	0.00039574919753557094	0.30897362848364307	0.3242538650282697	0.32616572949382555	0.3293933464713641	0.3294634985585892	0.3281197072585486	0.3259989614307608	0.324192456877528	0.3243078598524865	0.32244737367568416	0.3200961405434201	0.3192434290244507	0.32001506530824175	0.3186125634078887	0.31385854253118567	0.3103233218222662	0.3134720353785285	0.31060015562615645	0.3109499803697571	0.30617436100449197	0.305397933875869	0.3061457079879672	0.30181078315219834	0.3006135796621072	0.30609411874943115	0.3066482737800478	0.303119649237411	0.30000347361864477	0.3034096385252995	0.2989567373239808	0.3004827538447848	0.30089264912846786	0.302925631268549	0.3034487295705797	0.2985465600784402	0.29972964627471077	0.2926662552980991	0.2973892584202647	0.2872039237119733	0.01147667925086009	0.006617013814682456	0.0061419090358917905	0.006089853207580102	0.006616200430989514	0.007478385423394705
Deuterium	2.8640778136468046e-06	2.3328579184035885e-06	2.6586579151295926e-06	2.8438674300533934e-06	2.230819144917394e-06	2.4256863566473707e-06	2.9445010267917755e-06	3.0817170343999463e-06	3.430469580888549e-06	2.224452990906312e-06	3.3056011102313503e-06	1.9375967238195323e-06	2.2363388638163578e-06	3.023375515414338e-06	2.531704552353965e-06	2.3574462737268806e-06	2.3964857783889725e-06	1.9454110059599476e-06	2.6272752129227095e-06	4.682476876608942e-06	4.055253070121162e-06	4.145303365055403e-06	4.055699080011424e-06	4.643245260033667e-06	4.280508778577164e-06	3.973555941432319e-06	4.841921375124855e-06	4.512711612070188e-06	4.272936529765024e-06	4.624630281390287e-06	3.6744251108578175e-06	4.784514712553694e-06	4.071096646549294e-06	4.143611438920618e-06	4.729849715927749e-06	3.4925711847030648e-06	4.24273035650656e-06	4.049017961147382e-06	4.8561958082623145e-06	3.242998678380045e-06	3.7730541658050265e-06	4.612893796308101e-06	3.844366686427613e-06	4.223661926206531e-06	4.661718712027163e-06	4.399480400211402e-06	4.461329748147282e-06	3.917573769893397e-06	4.406725831087438e-06	3.948991124881911e-06	3.682697262046952e-06	4.3047567758594855e-06	4.059437285974517e-06	4.759954915211858e-06	4.80656567627242e-06	3.8733812829179395e-06	4.578665107627701e-06	5.317398921954352e-06	3.5604355998371785e-06	3.5732842372200647e-06	2.929065219432866e-06	3.1119719740422985e-06	3.4403937972201544e-06	3.601341601813833e-06
Methane	0.0	0.0	0.0	0.0	5.5963575169693604e-05	9.182828439482639e-05	0.00015308754891719037	0.0002880986951952587	0.00040743431093703526	0.00030173871566800095	0.00016908682472610825	0.00010146227992611867	0.00010649002622160412	0.0001052281893398455	8.8689365229632e-05	8.558082617700278e-05	9.072024395605604e-05	7.33608019766644e-05	2.099079903396929e-05	0.0008618277148018929	0.0006842714121002599	0.0005853098245022176	0.00057467762621934	0.0006626178961213188	0.0006170413040513041	0.0006835376874616012	0.0006196941606433355	0.0005881168084161771	0.0006746474895399285	0.0006867865662187813	0.0006155960951877835	0.0005988873829616807	0.0006893373586849273	0.0007064413660179044	0.0006300922987849825	0.0006863103440611079	0.0007541290109215897	0.0006345621721053511	0.0005929807922525468	0.0007293852793113602	0.0007008019456320802	0.0007253764747438259	0.0007284462690165086	0.000721307886027402	0.0007212429827417188	0.0007573510412938976	0.0007767635211691805	0.0007232121028621429	0.0005396256257023852	0.0007746981580925495	0.0007694384396090722	0.0008710504144868128	0.0007942221314506703	0.000841799219143637	0.0007527016553470479	0.0008075268526372221	0.0007886953243356769	0.00027637743707495415	0.001495341635076006	0.0015963678800810376	0.001624156904025349	0.0016085731938475772	0.001642150995158019	0.0016581880518781926
Water	0.0034793666396865817	0.003687885721708709	0.004064489469147311	0.00431832941143292	0.004647883132558908	0.004993907956226748	0.0053108021777942245	0.005927210889873004	0.006269079968982661	0.005881705672347358	0.005296898001261753	0.005123174694408005	0.005021895863344538	0.004999805100757443	0.004918405623656571	0.004843664873032069	0.004773121538746239	0.004703726997455935	0.005157274129910535	0.007382379730259687	0.007220274495847657	0.006959870060628286	0.006723642114808032	0.006511036491585073	0.006337626993616637	0.0061226287476000806	0.005957438246837258	0.005826346056032846	0.005689967421285254	0.005542263116452685	0.005436423040158079	0.005366703312559027	0.005258502095400714	0.0051539822538807945	0.005097377879066165	0.004993156022557787	0.004940957746904742	0.0048877483223039656	0.004847360801574634	0.0048176050913722995	0.004724007273919551	0.0046671223264028545	0.0046187817702531215	0.004624154400411684	0.0046059082004301895	0.00453836764516376	0.0045498712931937154	0.004552620961729107	0.004464282514537728	0.004486163563735256	0.004433145392234328	0.004461031635944858	0.00440825956797112	0.004448449923262326	0.004338349204305658	0.004376672977660231	0.004355848692227743	0.007168409746949751	0.005284285663301035	0.004901593386160043	0.004761515968864477	0.0047183113553909365	0.004748223689536143	0.004752716142285535
Acetylene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.130665480694102e-07	0.0	0.0	0.0	0.0	0.0	0.007024124237358573	0.010209593508186265	0.00880037245915812	0.007954645339940527	0.007426938502679779	0.008002214328652628	0.0074700578931839465	0.008605388017262128	0.00863363695454927	0.008423905711611205	0.008554236751554506	0.008028245014588162	0.0087641929593079	0.008833930277645782	0.008336722009993058	0.009404950065997302	0.00872231637572618	0.009212093031592355	0.009548535459677213	0.009151515082254515	0.009699251848323674	0.009518325498976686	0.009710018630139176	0.009895817418584904	0.00996701924167644	0.010451397394132407	0.010174487049491112	0.01054946040925708	0.010670669221765013	0.010386711145237447	0.010528968948945578	0.010533154741229483	0.01079619487546287	0.010940702522827528	0.010935086429067384	0.0109137898651399	0.010931328941072703	0.011247051858257305	0.011112473508488338	0.0018636271782666552	0.0	0.0	0.0	0.0	0.0	0.0
Carbon monoxide	0.019004085196877803	0.020162319437742226	0.0184202880202141	0.018200610970216635	0.015848446950152792	0.01612385162559776	0.014810350227934425	0.013276751718121328	0.012100714299339966	0.01220248275635344	0.01029737557147515	0.0106297509073965	0.009972986056744371	0.009498526969273507	0.009791436124026753	0.00863610059241477	0.008766156249272744	0.008626188977696972	0.024404353761199073	0.0330602416323613	0.03819477008930145	0.03926020361267057	0.04014556089945911	0.03968385287107859	0.039488811021384504	0.03685947755546845	0.037231493068065946	0.03828678309437076	0.037343930986188344	0.0375524890356417	0.037079063694218095	0.035718700112836274	0.03756191548420854	0.03454893676665715	0.03613253081737294	0.0353862486587529	0.03444807346837633	0.0352687967735809	0.03345219347542212	0.03390418048052531	0.033523296412682875	0.033702128932844626	0.03327868185705428	0.03174342988824071	0.03163327021220218	0.031198338954936598	0.03124295328936635	0.031012896762276927	0.03084687228602429	0.03136747295487708	0.030421619285709512	0.02958992946556854	0.029156372863466878	0.029547205418530523	0.02898711963175614	0.02918283977846687	0.028026269315838657	0.007272768464859639	0.001880384654971725	0.0020489732533882526	0.0023907566772236374	0.0030185496231738412	0.0035795885959419385	0.0033001389143524854
Ethylene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006529923854149144	0.002679749001336539	0.004234075968057332	0.0048840409293372765	0.005159889272588642	0.005071106679088482	0.005232019861919709	0.0048880149321469625	0.0048785219535409	0.005014324528319925	0.0048830192017954984	0.0049727643510938755	0.00491039437903106	0.004780013877888161	0.004819683124247591	0.004465026088067474	0.0045869357015295735	0.0044571136908028485	0.004307309237481756	0.004474699620809078	0.004140596913327929	0.004106367062961651	0.003980840046350225	0.0038500196117148863	0.0038468404913357675	0.003521148560194006	0.003585647241080902	0.003239727459146059	0.0032776513237398135	0.0031917302566901347	0.00304025306262292	0.0029938607021770093	0.002803502142264247	0.0026262430964480235	0.002513697148928373	0.0024862710588145496	0.0022704702713525144	0.0023072357490476272	0.0021535593574582208	0.001238075024995846	0.0009969387206166106	0.0009397559165875845	0.0008960373415294599	0.0009289739763741857	0.0010028356783885572	0.0009918748392788283
Ethane	0.0009093657704702112	0.0010300660892591954	0.0008584208970457891	0.0008175229226916036	0.0006327996813931367	0.0007529880444723724	0.000631815684175087	0.0005420064638040884	0.0006142104316119675	0.00047150833427956197	0.00014892273217487068	0.0001358636561366526	3.1772926809174525e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Oxygen	0.003539606166310083	0.0037971103862949854	0.0033228686457242775	0.00325703650588777	0.0028431493356431666	0.0028419218508301224	0.0025394424111170257	0.002181560158164254	0.0019099195759842485	0.0018398655881202864	0.0015151347118489019	0.00160486880024694	0.001250276203932364	0.0012661685737704591	0.0012097902704836332	0.001092829499152224	0.0011230368499493607	0.0010172453598429596	1.6409846622019162e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000396788781453321	0.00010962404522899348	0.00010042298676922094	0.00011293352652622743	0.00016792548115321932	0.00020440554079930484	0.00018044746083741744
Argon	1.0129708210618453	1.0129224586491778	1.0128365910914494	1.0127994764758028	1.012969249891816	1.0128338857084433	1.0126773817705974	1.0130491460410025	1.0130717035793797	1.0131578165728485	1.0130122852242966	1.012891841824105	1.0128946739174733	1.012935103999758	1.0128021873422173	1.0129730635396028	1.0128589374656203	1.0128414006862996	1.0163786580048186	1.012857217897278	1.0131139223880727	1.0131920778768295	1.0132406120680877	1.0134035333735698	1.0133224582006062	1.0134546732418834	1.0133846901802528	1.013409304871193	1.0134914556625723	1.0134298315295083	1.0134335052329515	1.0135084215873889	1.013412516648048	1.0135667274215379	1.013596885185226	1.0135540520982436	1.0133197012529414	1.0135575778911656	1.0135207565912534	1.013489878939261	1.0135332663995091	1.0136610966707584	1.0136744619877767	1.0135890330750716	1.01366635567642	1.013720921990167	1.0137126030175219	1.0137722807554685	1.0137017200297704	1.0137600756709055	1.0137922104320036	1.0137704432236678	1.0137595132937143	1.0139057955310349	1.0137888401744373	1.0137150967378816	1.0139175102260076	1.013458012942959	1.0141215767756544	1.0141690627077713	1.0142287807182013	1.0143056131916244	1.0143566734113902	1.0143467842449512
