Molecule	Cycle_1	Cycle_2	Cycle_3	Cycle_4	Cycle_5	Cycle_6	Cycle_7	Cycle_8	Cycle_9	Cycle_10	Cycle_11	Cycle_12	Cycle_13	Cycle_14	Cycle_15	Cycle_16	Cycle_17	Cycle_18	Cycle_19	Cycle_20	Cycle_21	Cycle_22	Cycle_23	Cycle_24	Cycle_25	Cycle_26	Cycle_27	Cycle_28	Cycle_29	Cycle_30	Cycle_31	Cycle_32	Cycle_33	Cycle_34	Cycle_35	Cycle_36	Cycle_37	Cycle_38	Cycle_39	Cycle_40	Cycle_41	Cycle_42	Cycle_43	Cycle_44	Cycle_45	Cycle_46	Cycle_47	Cycle_48	Cycle_49	Cycle_50	Cycle_51	Cycle_52	Cycle_53	Cycle_54	Cycle_55	Cycle_56	Cycle_57	Cycle_58	Cycle_59	Cycle_60	Cycle_61	Cycle_62	Cycle_63	Cycle_64	Cycle_65	Cycle_66	Cycle_67	Cycle_68	Cycle_69	Cycle_70	Cycle_71	Cycle_72	Cycle_73	Cycle_74	Cycle_75	Cycle_76	Cycle_77	Cycle_78	Cycle_79	Cycle_80	Cycle_81	Cycle_82	Cycle_83	Cycle_84	Cycle_85	Cycle_86	Cycle_87	Cycle_88	Cycle_89	Cycle_90	Cycle_91	Cycle_92	Cycle_93	Cycle_94
Hydrogen	0.30439693829192194	0.32038954714942447	0.31380616253394283	0.32211769173668414	0.3263601500216456	0.3210011112958759	0.3214956285663399	0.3196142974540117	0.32080740686355064	0.32459616310653755	0.3228466557598007	0.31932219594627725	0.32254073909937475	0.31945253345275615	0.31863425789066335	0.3207018431142123	0.31992053927358705	0.3210475877226613	0.31497952502784315	0.3188697629030149	0.32403070177361976	0.3234958895536383	0.3261955738524367	0.3206256467643088	0.31944178041541366	0.32084843886602477	0.3218739245158161	0.32280035578512956	0.32419569884383703	0.3251462658747986	0.3214282791310059	0.32470401373320484	0.3228196563653657	0.3256895628893959	0.32435107059771295	0.32671431819161517	0.32650207907130346	0.33032173925744046	0.327740749987072	0.32987066289731365	0.32676183315263546	0.3281437765654675	0.3283269541537906	0.32758526601059584	0.3309269809343744	0.33465274741988654	0.3252773324339408	0.33497648664350205	0.3313530345384047	0.33702882669995216	0.33227772208320766	0.3327040209463118	0.33521638728022723	0.33155269169227464	0.3305820382758439	0.3369477620663082	0.33809718056627247	0.33132174844994366	0.3341326412585263	0.336064939060945	0.3380372495074788	0.3368076947130791	0.33795992100747724	0.3378737607491847	0.34269987039423805	0.34472052483960525	0.34515108953806806	0.34484635991556606	0.34830285358133656	0.3435844446605816	0.34562701924981604	0.3421206429981506	0.34538682260078096	0.34469471592358186	0.34874949422506724	0.34663101228562676	0.345886084144848	0.3448093249074896	0.34824127429163076	0.3514788500407695	0.3467973187651554	0.35605999176678876	0.3526769078906228	0.3564378916292598	0.35180130594722003	0.35280510353137295	0.3507889223216227	0.3545453187800478	0.3546707550628011	0.3563094334154821	0.3585326569681485	0.35874095710344256	0.3568540953464737	0.3324150397734828
Deuterium	4.186106982632921e-06	4.678174110464801e-06	4.480067307831304e-06	4.096439055694779e-06	4.845726380945152e-06	3.4753062989422274e-06	4.5782884405208e-06	4.987626850536348e-06	4.2823902912916736e-06	4.5362914490882505e-06	4.4940606955022415e-06	3.7424185552435165e-06	4.44673017837774e-06	4.006065293799368e-06	4.180398704719309e-06	4.207822799036853e-06	4.896357310614095e-06	3.772675354699875e-06	4.061164944026672e-06	4.828585486978359e-06	3.5997785598297963e-06	4.752886015094962e-06	4.364208844016327e-06	3.6696298176593783e-06	4.108746488638653e-06	4.9192364835464884e-06	4.3972299614954895e-06	3.940998306271545e-06	4.5977258349061325e-06	3.957039059622903e-06	4.848571789934199e-06	4.5336420791410276e-06	4.338035021750309e-06	4.759608304957038e-06	5.0591002140365255e-06	5.434320943494507e-06	3.952599110185174e-06	4.032531398432369e-06	4.71536233849452e-06	4.622038246059989e-06	4.499989180764465e-06	4.782983833035218e-06	4.697218072484616e-06	4.5322883035308595e-06	4.546426034993491e-06	4.525172158021361e-06	4.392154814184511e-06	4.747534499550184e-06	4.541208443055672e-06	4.030723984695572e-06	5.065527794114789e-06	4.621243980107719e-06	4.1588490371306775e-06	5.465615444280028e-06	4.6205430791431724e-06	4.659648978879924e-06	4.7024588371855146e-06	4.7949478234481134e-06	4.090888179186444e-06	4.47017375187819e-06	4.728584932876562e-06	4.260600963833347e-06	4.947488680934144e-06	4.482013225947832e-06	5.140704728575079e-06	4.7837117009969215e-06	4.704715265439882e-06	3.836838760086893e-06	4.315381909044389e-06	3.964112932169819e-06	5.022537082015343e-06	4.808669637599791e-06	5.099369272860933e-06	4.281574835659672e-06	4.247705500402918e-06	4.153767145473081e-06	4.408262010172418e-06	3.942874223810419e-06	4.7026681525721525e-06	4.482061375486279e-06	5.349134724751624e-06	5.252260451851245e-06	4.551761855748184e-06	5.058227111382548e-06	5.095183692088983e-06	3.911493434188037e-06	3.7596090623132137e-06	4.354026508328064e-06	4.866309752496348e-06	4.119377088227687e-06	4.393636095100309e-06	4.463859574224151e-06	4.2362845053368426e-06	3.596919064732221e-06
Methane	0.0011533783246960017	0.0010639933663323278	0.001055689016794	0.001057279170680805	0.0008606447390231846	0.0009043083887512376	0.0009218349053693558	0.0009424070164887801	0.0009499197977509108	0.0009811171900903331	0.0009348173926383379	0.0009201444121785338	0.0008488511674464102	0.001104199232400926	0.000810227098523443	0.0009387935074124605	0.0009323296846521614	0.0009756661208034806	0.0006532106623591593	0.0009611678341390648	0.0008779737992810274	0.0009595308230901915	0.0009131028724686168	0.0009999928877137763	0.0009188223976768777	0.0009661021582263986	0.0008848380905424865	0.0009874400455557662	0.0010074156070771483	0.0010198400974849452	0.0009465903986233288	0.0010107307473207277	0.000980450998340108	0.0009387543813065891	0.0009700865916756047	0.001043476184024715	0.0009370943355364128	0.0008690305178295664	0.0010686555900874916	0.0010359336555873047	0.0010691207219928128	0.0010458346708113826	0.0007663825166270499	0.00105333701701781	0.000990188986686276	0.0009154833318192034	0.0008174368407238302	0.000854365226275887	0.0010463151932104712	0.0009305082395185757	0.000917811827609344	0.0009643685986982737	0.0010556940599988982	0.0008125236369676123	0.0009987596889534797	0.0010942606018193263	0.0010995943592376652	0.001015608769720061	0.0008886354195720466	0.0009111905741662446	0.0009421543159907938	0.0009686353777027146	0.0006917813247286846	0.0009823741032986277	0.001044875011285426	0.001102996379391445	0.0010003021976035277	0.0009694798858334933	0.0009521786423597482	0.0007485324310651092	0.0010209919772435445	0.0011665963956142265	0.00082437767722476	0.0010703672785463269	0.001076689955427335	0.0010908686617363463	0.001059782727843875	0.0009687551394910464	0.001109814580161718	0.0012310433932834915	0.0009484601269339447	0.000888001442516931	0.0010326542295978564	0.00112966446509024	0.001044733873906207	0.0010785422682037529	0.0009459379201806257	0.0009476363804751198	0.001062455232995191	0.001100936597424525	0.0011169709587352408	0.001006327017210737	0.0011719366144048683	0.0006555845647309909
Water	0.0036242895878565917	0.003862476807876348	0.0039396074891815056	0.0040126070207188	0.004096920809449493	0.004136551260089394	0.004089017855987719	0.00414097517427515	0.0041053160881838425	0.004164593025972614	0.004167575952781328	0.004181335176723325	0.004056559405134039	0.0041471398644027605	0.004128688035695752	0.004115924951395489	0.004191449233868536	0.004146326298500827	0.0041008065097811	0.004139574880171319	0.004135770856569704	0.004158694460909669	0.00416088986647675	0.004145758082224547	0.004143977194814306	0.0041308361290262425	0.004121627503768483	0.004106886305793972	0.004102477418198387	0.004129988267674712	0.004101586942836035	0.004111954088687714	0.004092220856046159	0.00412454229327673	0.004128009618042392	0.004141130097487417	0.00410987327435115	0.0041181593007960015	0.00413001818201842	0.004105852539617355	0.004086317747842986	0.004114117348769456	0.00405301987594542	0.004059022847892666	0.004112530851187814	0.004035442392939111	0.0040056500398090835	0.0040774946514274425	0.004077445401923572	0.003997443240210461	0.004035552478327279	0.003984052027964848	0.004010297353724391	0.004046111535436615	0.004017247909607709	0.003985119272668493	0.004009898486846266	0.004052687818551276	0.004035316588670425	0.00398144981610861	0.004001535323962201	0.004011484341298642	0.004005695126483795	0.003973663619450518	0.004064331426306862	0.004019062679388594	0.004048484800125748	0.0040493127545820655	0.004044378297715484	0.004003305794778064	0.004006270113105451	0.004039639081240289	0.003973358005771121	0.004025210453626395	0.003979063236335524	0.003991769625321421	0.0039854416397456325	0.003971717659619803	0.004001275753079069	0.003981075263646085	0.003983377279542054	0.003943131845828222	0.00394795524179128	0.004011236825803937	0.0039678384253322265	0.003924767367515099	0.00393747958685604	0.004006032870817457	0.0039944842327827215	0.003932436623498176	0.003980001694366275	0.003922836889348904	0.003969480897184159	0.0065512709705367175
Acetylene	0.012703329943289996	0.012213021670178872	0.011848829239817489	0.01185347803613364	0.011914624189743045	0.011886069769582189	0.011652051543723391	0.011679233444155362	0.011716776330042327	0.012046808338424655	0.011855939714552729	0.011904499665942729	0.011796523565034779	0.011602147912977331	0.011807157517763369	0.011814371401775872	0.01192655099412948	0.01172004910097418	0.011848129723111629	0.0118500899071135	0.011953116226265596	0.012136806230986669	0.012184742791830475	0.011839946623424087	0.011880775061375198	0.011872594832153825	0.011938563196304996	0.012045252940410374	0.011962239098729491	0.012238115133241564	0.01202335114723151	0.012090650177023005	0.012318539862092784	0.011903717185324608	0.011958834083841848	0.012258005999469962	0.012907142695249613	0.012087813377632185	0.012088447948017	0.01210043910434052	0.0122438679079171	0.012157231929792662	0.01202793051870001	0.012449333766914	0.012139691978678353	0.01209401902264492	0.012261797647055305	0.012191179274402964	0.012205402941289903	0.0120682175643387	0.012346793630128836	0.012345799839990224	0.012428730964154243	0.012280134355334048	0.012338845439091186	0.012239534281289138	0.012369618739850766	0.012150869394812336	0.011858640121179646	0.012243236239976571	0.012338953490645146	0.012056467061277014	0.012370594264398252	0.012181119925814183	0.012387141698666908	0.012308876757727984	0.012550689284058083	0.012212240474762985	0.012277827265351244	0.012249267602639237	0.012438383557196704	0.012461723052342088	0.012287549966769513	0.012689894714241983	0.012358020227717544	0.012297540488323107	0.012434756072356088	0.012490471297945139	0.01244454078067091	0.012548573086399114	0.012330185560687263	0.012810508929759221	0.012640059436727611	0.012747331282048444	0.01263668839002812	0.012421076652483482	0.012589560959024552	0.012692417225943975	0.012578933873239854	0.012675012317616733	0.01225632676933272	0.012453057927497235	0.012782441007150501	0.0016062243213441785
Carbon monoxide	0.028444065210178726	0.028512507589774378	0.028207816273479958	0.027799207246940533	0.028004285632464765	0.028136442406679646	0.02768948514513939	0.02791096710412373	0.02761130361036748	0.027978614765924177	0.02785884165068827	0.0278283841445882	0.02751398440220266	0.027437208538001308	0.02785129394421414	0.02737678925197779	0.02781265263349451	0.02711249616931487	0.027335734601193675	0.027496667452736056	0.027367905195760604	0.027457251526344432	0.027523419895996347	0.027116925099848317	0.027123715571327606	0.027273482466234223	0.02712603975063714	0.027191733797677222	0.02684249506755069	0.027046536835417752	0.027020716865476517	0.02700929308400707	0.027124222764436694	0.027010481043446076	0.027007404885238423	0.027454029834890443	0.028281775508587313	0.02687209319758801	0.027252100603805146	0.026839104101217703	0.027077644294373	0.02673056487592362	0.026711406863279975	0.027100106939346315	0.026902200343892884	0.02700732009751966	0.026958043102367504	0.026799370761474674	0.02669745624835791	0.026789237988738616	0.026789154131750658	0.02681214413364815	0.02698920483003009	0.02690789446047714	0.026740290854389566	0.026833776281987454	0.026764391989775146	0.026870411338436172	0.02637148134873141	0.02678311541305121	0.026957079754579377	0.02659950542597667	0.026921934076347524	0.02669748186515998	0.02717002935677642	0.026968564836733065	0.027021925715453476	0.026893084909306593	0.026816702821220312	0.02673004079805375	0.027015420092361	0.027153612670472196	0.026893077955479825	0.027294304282606166	0.027273926532220563	0.027196560640196883	0.026921582667499867	0.027294716627285016	0.026985194106797873	0.027220638641590363	0.02690933222101004	0.027297848795812263	0.027135186797859315	0.027260603100376708	0.02722207212682603	0.027045381224017583	0.027394764677016403	0.027431805646444898	0.027244998975704527	0.026998413217470114	0.026969205344697506	0.02705056409673642	0.02725527107821761	0.003727966755513439
Ethylene	0.0009152231212370758	0.0013886301834826577	0.0016972000752068952	0.001556450528751966	0.0015554480850895527	0.0015203316949588756	0.0015789102655526766	0.0015799320051550169	0.0015421960450719043	0.0014556984921825235	0.0014718774948654111	0.0013868204860006121	0.0013023223325099509	0.0013080119127726027	0.0012740109924046857	0.001222051320756795	0.0011616393784584056	0.0012080876960129335	0.0011723648712259806	0.0011015229310121343	0.0011623908516770647	0.0010638399346632494	0.0009586413889081765	0.0010685863846344945	0.00098899522325925	0.001000907962876432	0.0010433430030313668	0.0009224091988944238	0.0009243490005029312	0.0008684694788700746	0.0009145112360297285	0.0008438848166887282	0.0008529876602833192	0.0008633228816725323	0.0007911985607747028	0.0007244464716429173	0.0007818383504064139	0.0007149711092680024	0.0007257652028984163	0.0006183293557568077	0.0006481527035895712	0.0006344992982751247	0.0005552457627005838	0.0005298689559978268	0.0005786235097440969	0.0005386491771813721	0.0005838798290929302	0.0005380179105929445	0.0004862926419945454	0.000512062643718008	0.00044519505438930476	0.00046982009340036234	0.000436701756229506	0.00045142138641717124	0.00042733045778075933	0.0004439792813229682	0.00038585600021158765	0.0004278201864497497	0.0004601437985990582	0.0003985330774232963	0.00037941652435449747	0.0004095540834995712	0.000323727831601085	0.00037993260804300585	0.000321798717188968	0.0003453808641247551	0.0002783186354051873	0.00035271914007347407	0.000316506623108129	0.00031098575188412615	0.00028083572389522626	0.0002826851476706097	0.00025145869837331136	0.00020989534032470606	0.0002672187112495053	0.00024733498568091177	0.00017920096770185552	0.00021950922258672369	0.00021127627191741162	0.00018325618923420523	0.0001695838838519453	0.00011225020742671456	0.0001756964413482721	0.0001526454848417066	0.00018675219141052425	0.0001528692689721777	0.00016178547853001245	0.00015353985435626936	0.0001379419926513315	0.00012013901111375057	0.00020896877853461153	0.0001035875493655835	6.206972338339921e-05	0.0009935111510616346
Ethane	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Oxygen	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001961337815633915
Argon	1.01441474173588	1.0142912523005276	1.014316860404067	1.0143276780752861	1.0143146693138878	1.0143261668817203	1.014210858762038	1.01429223014142	1.014330883582397	1.014362671703047	1.0143488688050728	1.0144666704686731	1.0144106963725579	1.014428342453025	1.014471401548181	1.0144436855377117	1.0145082841223396	1.0144459244440807	1.01455323423243	1.0145548823616346	1.0146127602675625	1.0146336021544287	1.0145900989307686	1.0145605863459652	1.0146622379342012	1.0146830227753172	1.0146332020958322	1.0147049041268934	1.0146477795881321	1.0147224953658724	1.0147425962866736	1.0148028960605964	1.014837038074853	1.0148169029400684	1.0148201272105173	1.0148512634446867	1.0149020852904684	1.014847824089576	1.014917222731705	1.014988804120917	1.0148259100328765	1.0148682261700517	1.0149210359494045	1.0149480041454484	1.014919220220027	1.014985205144729	1.0149932856685868	1.0150967478176125	1.0150060883245091	1.0149558845506208	1.0150985221965043	1.0150234448793336	1.0151268068345558	1.015086877588158	1.0151009826518786	1.0151481752321194	1.015130430583579	1.0150826388508165	1.015154640318	1.0152345246258352	1.0151406734334532	1.015257277971754	1.01520733888001	1.0151812975551697	1.0152230130769344	1.0152250473638489	1.0152509685843178	1.0153555087885269	1.0153170029920686	1.0153919717494002	1.0153273838505068	1.0153208144494652	1.0153046787324782	1.0153378416732624	1.0153653142057981	1.0153831269755347	1.0153812927970796	1.015348998846831	1.0153606690240689	1.0154674056354844	1.0154192569802338	1.0155181843676888	1.0155171785211656	1.015449054259256	1.0155061999181725	1.015571795831889	1.015505179819265	1.015549841440705	1.0156058973890911	1.015577181642014	1.0155577648747947	1.015621256132246	1.015617988525653	1.0149298984974962
