Molecule	Cycle_1	Cycle_2	Cycle_3	Cycle_4	Cycle_5	Cycle_6	Cycle_7	Cycle_8	Cycle_9	Cycle_10	Cycle_11	Cycle_12	Cycle_13	Cycle_14	Cycle_15	Cycle_16	Cycle_17	Cycle_18	Cycle_19	Cycle_20	Cycle_21	Cycle_22	Cycle_23	Cycle_24	Cycle_25	Cycle_26	Cycle_27	Cycle_28	Cycle_29	Cycle_30	Cycle_31	Cycle_32	Cycle_33	Cycle_34	Cycle_35	Cycle_36	Cycle_37	Cycle_38	Cycle_39	Cycle_40	Cycle_41	Cycle_42	Cycle_43	Cycle_44	Cycle_45	Cycle_46	Cycle_47	Cycle_48	Cycle_49	Cycle_50	Cycle_51	Cycle_52	Cycle_53	Cycle_54	Cycle_55	Cycle_56	Cycle_57	Cycle_58
Hydrogen	0.00045979366969993066	0.00046716140266130546	0.00047528883028687515	0.0004895477076949334	0.00052239984407715	0.0005655344007036732	0.19999729348204648	0.20912710675894094	0.21358984178835172	0.21249206675071225	0.21771623005007149	0.21506255384661693	0.21627358921638223	0.21432732862048584	0.2173942941722425	0.21657276022527405	0.2188020309880171	0.21709757213255446	0.21985180560840087	0.21598865967935577	0.21480270628190956	0.21686637321711996	0.21669699955213728	0.21896837204807165	0.21921942110393375	0.2168451342110475	0.22030422231779573	0.2191391741571659	0.21854825374738612	0.21482687479535986	0.21709312319849336	0.2162712331643041	0.21444241699275268	0.21867915264811805	0.21475426984495105	0.21587187340840552	0.21423704340513205	0.2179952232153583	0.21690302807995054	0.21476070455003493	0.2157459829114247	0.2196303743233382	0.21764654899522493	0.21517974653368882	0.22047768716984706	0.21792993428955382	0.21336414815477936	0.09670997326763957	0.004335991030025215	0.0037276064716547123	0.0033155529522758674	0.003511634494496453	0.0032793100896279163	0.0034189852796820256	0.004108503091650673	0.0033950981523638256	0.0032399544983845764	0.0034910350121314633
Deuterium	3.028736753672704e-06	2.608757617374475e-06	3.058073520413293e-06	2.5059519226549366e-06	2.553634328650263e-06	3.0534536955539307e-06	6.735117504947188e-06	6.212788044078683e-06	6.23734245041739e-06	6.176908925905884e-06	6.851468866219389e-06	6.839070574481935e-06	7.1498781310171434e-06	7.860424621463693e-06	7.5596266000060134e-06	8.216821082089544e-06	7.624411839633597e-06	8.03330138839228e-06	8.53644455311867e-06	8.793942677280957e-06	8.501538873250118e-06	8.119375076183013e-06	9.1787855765464e-06	8.606015113018022e-06	7.963906461464205e-06	8.700094627475934e-06	8.701378355005973e-06	8.91474056436114e-06	8.43868269080931e-06	8.572268159931257e-06	9.242783701566876e-06	9.004758238287164e-06	8.539095430586402e-06	9.245386241292215e-06	8.850414385338733e-06	9.012930176805836e-06	8.668079243952092e-06	9.152539793466068e-06	8.886706009321478e-06	8.506060516764212e-06	8.680385063246918e-06	9.241557941718654e-06	8.782175146279465e-06	8.637250867430486e-06	9.36649323583311e-06	9.200049971130324e-06	8.583081300270548e-06	8.990310996960855e-06	8.267881386452435e-06	7.98804251746316e-06	7.864204977772863e-06	8.579172328760052e-06	8.708457401299356e-06	8.088874141936224e-06	8.572401100598087e-06	8.614197758319182e-06	8.368288626951683e-06	8.92188769803718e-06
Methane	0.00029266976384318224	0.0003826954544485871	0.0003362802495572847	0.00042439658252451886	0.0004765127430114961	0.0007098309358621841	0.0012461190471430746	0.0013125449959461224	0.001394207097736105	0.0010567599917586036	0.0009516031152161906	0.0008227135071681546	0.0007872303741783038	0.0006158013136495818	0.0007120846121859535	0.0006710768212875044	0.0007314176366719707	0.0005949774386516547	0.0005939941560578454	0.000628711576874137	0.0006732706120770164	0.0005895190276745581	0.0005730761869540468	0.000616471640782964	0.0005623424254639987	0.0006179167610961499	0.0006251668945719724	0.0007058275950549741	0.0006531494820674848	0.0005968832887312044	0.0005726805654833873	0.000624416820535985	0.0006062134904253253	0.0005993304750763463	0.0006649531217275474	0.0005688720195997746	0.0006090408655921147	0.0006768665697137003	0.0005486666811630309	0.000614022160761004	0.0006295153740968547	0.0006266701177741167	0.0007178609876808543	0.0005935035032997078	0.0005814863416211812	0.000545015565644494	0.0006477194656154683	0.0008824637930446321	0.0011313133444011865	0.0011711874783080806	0.0011850240557842715	0.001190114491625818	0.0012215868457559511	0.0012182240706956379	0.001219416869914054	0.0012719034819993484	0.0012569047380864542	0.0012444442701335281
Water	0.005848987537990304	0.006221369959875631	0.006040470543983196	0.006382468042574154	0.006813413298022281	0.0076056235729941935	0.009510530186038096	0.010433164451519086	0.010414763969186685	0.008416407837092731	0.007433064847812017	0.006577922021057847	0.006047344553058628	0.005636846895450606	0.0053515797450268306	0.005192456116180201	0.005021512842315577	0.004895794456086676	0.004852876002630966	0.004735604112671439	0.004670047917823658	0.004595067719204694	0.004523716781914114	0.004505483694581725	0.004428302928565304	0.004419849740870894	0.0044107297931440526	0.004376723077850567	0.0043593764125527045	0.004299325190661296	0.004322662881511415	0.004275041210760496	0.0042268913924479205	0.0042176566499090955	0.00418791085225666	0.004175047849020524	0.0041327017729046655	0.004161088137142564	0.004167551187288125	0.004162560410194617	0.004130810843670297	0.004097769174415453	0.0040629749243029116	0.004068356510739942	0.004114791015016912	0.0040879818943637975	0.004074934881872468	0.005582302107188578	0.0045768331537728284	0.004362728384722931	0.004338842321188613	0.004331558710164936	0.004356430659138671	0.004362067836704448	0.004445319089286942	0.004488729958309682	0.004466592386608056	0.004501176541808138
Acetylene	0.0	0.0	0.0	0.0	0.0	0.0	0.0077190930717534875	0.006859191827898766	0.0069025624413544635	0.007354974453786549	0.007634386936962708	0.007872801114898857	0.007912392186227997	0.008072048901535983	0.0081093872432151	0.008209662776559634	0.008455997026403879	0.008659805548153356	0.008673692816702834	0.008549940228895705	0.008903517217499591	0.008660344391899971	0.0084706948556891	0.008973630422871174	0.008733382879532766	0.0087662215886541	0.008909774801623919	0.00892732915037424	0.008774697493511497	0.009002966735051488	0.009363817377890757	0.009201308812831419	0.009283821916793352	0.00948491716352122	0.009782973683547573	0.009434469680936464	0.009721667759096818	0.009576727105486179	0.009663572767215882	0.009689061665322896	0.009832636256076034	0.009849244086702963	0.009758802867558381	0.010033532430354193	0.009356633562107116	0.009630125465474398	0.009895148076526297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Carbon monoxide	0.015397061416991908	0.014723418727030724	0.014456389651343573	0.013511085669664873	0.013624969286709315	0.01868457797876819	0.027174712259030016	0.02971339772109824	0.029965745991971156	0.029707488210844544	0.029217495180276554	0.029543914053315776	0.02885790398568349	0.02950605895257186	0.028156577945859976	0.028509257316862456	0.028394421267664706	0.02786569126899061	0.028263063515219993	0.028011040466167612	0.027981296783545117	0.027672109657172747	0.02842207629655587	0.028276332541198233	0.027752157875338777	0.027092426615673067	0.027382868167815506	0.027589403657596916	0.026613810112580145	0.027298794875554953	0.026377431396951857	0.026457230522939475	0.02590862410267512	0.025711276532289305	0.026242820452878794	0.025832595462102106	0.02604384261243122	0.02521195807757054	0.025415285224529925	0.02544220537583681	0.02536427484229769	0.025300907696656987	0.024745140306203676	0.025474424825390557	0.02422328582345532	0.024600910836686283	0.024826933331105323	0.0042621742818407604	0.003866933105460442	0.004100786078597619	0.004630479485954163	0.0051438416670277895	0.005237339706034839	0.005805674631157233	0.006663034961074972	0.0069458619041780825	0.007002073294138154	0.00742049932763696
Ethylene	0.0	0.0	0.0	0.0	0.0	0.0	0.0028147385024920872	0.0038892350674566674	0.004117875080025322	0.003602434887816261	0.003477298145956621	0.003330873571434265	0.0030703594819580893	0.0030555631892999527	0.002821815971623646	0.0027890250489900647	0.0026683744620682607	0.0025431530868359658	0.0025217028580926614	0.0024584799165484226	0.002416857638265746	0.002403895741509138	0.0024894609459688894	0.0023783145406276254	0.0024944484253022	0.002295134614297194	0.002214754296986742	0.0022020885710930657	0.00212442972206251	0.0021167010642255102	0.0018697990323404661	0.0019023812015244654	0.0016912993664290553	0.0016614024084393379	0.0016382951024361359	0.0015898333621551196	0.0015362462512016242	0.0014396053055994787	0.0014213650952430252	0.001392163882499566	0.0013008425364675318	0.0012670191062898583	0.001254116951272961	0.001215248943785154	0.001097818749292404	0.001150550185829036	0.0010603766357043336	0.0006432011596502062	0.00032141099602169833	0.0002757420588936523	0.0003214321706440719	0.00032708531760388093	0.00028695611527962135	0.00031855019971741927	0.0004173290341108491	0.000319206031519707	0.00027756258436767884	0.0004004984708799103
Ethane	6.391508850939979e-05	8.293648824473684e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Oxygen	0.0022143371249722043	0.002129878712101312	0.0021531909087337433	0.002043167260961807	0.0020600656726720424	0.0004940158967018	0.0004079498347065192	0.00034831451094304684	0.0003399658791077023	0.0003585035312792934	0.0003668665159874918	0.00037178877935391995	0.00035130641308958946	0.00035407528610352165	0.00036226131344641233	0.00034934635420176666	0.00035193287928793484	0.000351884666199191	0.0003353749107345488	0.0003622771478456303	0.000339036798075952	0.0003394677443035508	0.00034333095030719565	0.00034639019783290476	0.00033142482016068	0.0003420975737949617	0.00032675753608116725	0.0003331468643006738	0.000332521567200214	0.00032509893948845335	0.00032316432601939	0.0003285850465967968	0.00032665158529956545	0.0003195336317799225	0.0003155279899329487	0.0003181851598675319	0.0003233115499639683	0.00030472979740015996	0.00031443377709103	0.0003221615303270822	0.0003288330560091762	0.00032465641849865434	0.0003172466194433863	0.00029727712569836245	0.00030323941669367356	0.00030177077452680736	0.0002996028169681323	0.00048239936333496856	0.00042318899713456704	0.00044182818531308526	0.0005121821843332183	0.0005776192515607655	0.0005930422814361392	0.0006806583017115419	0.0007932049285457627	0.0008258200678710421	0.0008223121696453099	0.0009109069957501719
Argon	1.0122876793941975	1.01202721055621	1.0120934524389487	1.0121649445572714	1.012251018605305	1.0140270221238628	1.0118606673453405	1.0121075902374976	1.0122858823709877	1.0124956377972385	1.0126247681950014	1.0126846510246643	1.012689252765741	1.0127046600180931	1.012641054440967	1.0126737538139488	1.0126662839834544	1.012644536113067	1.0126763677796125	1.0125943062044322	1.0126475457027055	1.0126556671720155	1.012630258835348	1.0125967038114612	1.0126351894289902	1.0125758909870581	1.0126102096270506	1.0126005016821178	1.0126173462600447	1.0125718164663713	1.0125233660798754	1.0125403315655506	1.0125799307227483	1.0126014178152545	1.0126272050620095	1.0126445361450074	1.0124775344073826	1.0125159305655607	1.01259641112456	1.0125520622977022	1.0125745945157252	1.012572281513164	1.012517635720825	1.012489332838845	1.0126115064251258	1.0125574812198102	1.0125840007071614	1.0126057407989162	1.0127429056163042	1.0127758067808614	1.012813603170897	1.0128627561265229	1.0129124898945383	1.012904651575816	1.0129262682589906	1.0129427103738116	1.0129490853272112	1.0129607684242354
