Molecule	Cycle_1	Cycle_2	Cycle_3	Cycle_4	Cycle_5	Cycle_6	Cycle_7	Cycle_8	Cycle_9	Cycle_10	Cycle_11	Cycle_12	Cycle_13	Cycle_14	Cycle_15	Cycle_16	Cycle_17	Cycle_18	Cycle_19	Cycle_20	Cycle_21	Cycle_22	Cycle_23	Cycle_24	Cycle_25	Cycle_26	Cycle_27	Cycle_28	Cycle_29	Cycle_30	Cycle_31	Cycle_32	Cycle_33	Cycle_34	Cycle_35	Cycle_36	Cycle_37	Cycle_38	Cycle_39	Cycle_40	Cycle_41	Cycle_42	Cycle_43	Cycle_44	Cycle_45	Cycle_46	Cycle_47	Cycle_48	Cycle_49	Cycle_50	Cycle_51	Cycle_52	Cycle_53	Cycle_54	Cycle_55	Cycle_56	Cycle_57	Cycle_58	Cycle_59	Cycle_60	Cycle_61	Cycle_62	Cycle_63	Cycle_64	Cycle_65	Cycle_66	Cycle_67	Cycle_68	Cycle_69	Cycle_70	Cycle_71	Cycle_72	Cycle_73	Cycle_74	Cycle_75	Cycle_76	Cycle_77	Cycle_78	Cycle_79	Cycle_80	Cycle_81	Cycle_82	Cycle_83	Cycle_84	Cycle_85
Hydrogen	0.2228947048152462	0.22104075136420523	0.20939858909677483	0.2312096540096682	0.22913289122734817	0.22585026172636152	0.22559409512876247	0.2217495167956557	0.21284365440386221	0.21765727050671682	0.21968061780619808	0.22127628008226288	0.22232143251455444	0.2232748868325629	0.2178360083354809	0.21708080976740476	0.22663161745369612	0.22122550602445665	0.22581770447258667	0.22805429124051774	0.22417894104078087	0.21952738873575475	0.22182004193484786	0.21748307850142817	0.21545729934960825	0.22193887317714178	0.2185057647553901	0.22076932874887428	0.22336387910014113	0.22409907250484914	0.2206326992759197	0.2236691551818433	0.22645142497078707	0.21961770528796581	0.22438744062143523	0.2251678328462978	0.22542431045667347	0.2226122700777514	0.223901890600421	0.22054631571546005	0.22272130075675992	0.22377464054504848	0.22184871455809516	0.2190491689946503	0.22298743891090722	0.2268865405155491	0.22258474503945241	0.2238299233835974	0.22461942030366847	0.225305883355299	0.22701738967507584	0.2226504614593792	0.22067407515078533	0.22514614061984353	0.2271760814205574	0.2257343953856589	0.22426940416084443	0.2245995576494608	0.2237131643272397	0.22382874021905522	0.2215824169911074	0.22519079137960749	0.23000233307187426	0.22409568906927171	0.2272075102356521	0.22803702952760005	0.2109139944239125	0.22843699834177844	0.2140086783396019	0.22883196343705203	0.23880152814796116	0.23408211044098615	0.22885427060284927	0.2274187160583657	0.2233893598292221	0.22518137298059515	0.22341656461727516	0.228076454187539	0.22546978949036275	0.22936362194962173	0.2240663496557304	0.22716399495217146	0.22556751793429392	0.22519640141378222	0.2283487939672837
Deuterium	1.0173912487216686e-05	9.683684795703347e-06	9.514099913221865e-06	9.771411618473572e-06	9.788707989541283e-06	9.450611848126025e-06	9.456439810559202e-06	9.269045136478279e-06	9.101837536725975e-06	9.82197336919571e-06	9.370507158798708e-06	9.835516859617636e-06	9.792419437393026e-06	9.566679631127766e-06	9.166583933885308e-06	9.18034633159867e-06	9.996430752270623e-06	9.577461757484715e-06	9.050322754678105e-06	9.74136692475275e-06	9.113081613445813e-06	8.877316074565086e-06	8.986108239551652e-06	9.033195342024816e-06	9.117211739511344e-06	8.655172551989562e-06	9.838195929787664e-06	9.682023125023768e-06	8.492345313160743e-06	9.175594033470411e-06	9.114567817611299e-06	9.521736942773861e-06	8.864342675167515e-06	9.206544114238088e-06	9.61675907095442e-06	9.47612718591454e-06	9.60598027844727e-06	9.299850513126448e-06	9.07866050776381e-06	9.799999536198281e-06	9.08732290188781e-06	9.694579462367391e-06	9.019602279731597e-06	9.032236898196175e-06	9.59017496567912e-06	9.804751016137222e-06	1.0092827537593854e-05	8.935568395617042e-06	9.399630073158357e-06	1.0282753015001666e-05	9.280625090069352e-06	1.0285120136184708e-05	9.831218476691241e-06	9.180314157705184e-06	9.678511864602297e-06	9.080592238778975e-06	9.161023742060229e-06	9.217904771516338e-06	9.683892747675829e-06	9.321005207199487e-06	9.913557879512075e-06	9.383067945376066e-06	9.060189809713816e-06	1.0181207798993458e-05	9.777969923052017e-06	9.508828694463505e-06	9.64980942076086e-06	9.086253194543674e-06	8.990962840866397e-06	1.0162355695893614e-05	1.0105867240476913e-05	1.0671052161887135e-05	9.256709995659833e-06	1.0553928112807149e-05	9.574270964000674e-06	9.122497252013421e-06	9.561688838925733e-06	9.693542366108056e-06	9.897365474525025e-06	1.0246524835194616e-05	9.446463570303205e-06	9.997652971542528e-06	9.071625816396789e-06	9.111321581721013e-06	9.922295551132224e-06
Methane	0.0008829766343890989	0.0007154411777264011	0.0005895732971901026	0.0007366919184354145	0.0006693857641177822	0.000591120789635707	0.0006097698741990203	0.0005961912047222611	0.0006207387828444723	0.0005957030575939704	0.0005737384811097114	0.0006343769267062275	0.0005454097978231934	0.0006412274661439782	0.0005895391711759494	0.0006669894165454527	0.0005579163497263978	0.0006340145862175757	0.0007649873868478628	0.0005889756414640804	0.0006068599003962172	0.0006183139231634884	0.0006268855744875348	0.000629368510709394	0.0005478574160783868	0.0007597906232927158	0.0006009805773567276	0.0005743180664955371	0.0007211840457696768	0.0006774986493737156	0.0005635158352039022	0.0006174471685764612	0.0006644988582403645	0.0006858773418374592	0.0006937200315790286	0.0006747096120115838	0.000614717406516046	0.0005583559991045995	0.0006085912152890432	0.0006137260334648082	0.000593827427982144	0.0006818813501493313	0.0006920137491324337	0.0005696755920690637	0.0007045205217826657	0.0006474618201477863	0.0006832306251395882	0.0007910163672684706	0.0005614242516880925	0.0007261679638023379	0.0007179467135297349	0.0005983384890921664	0.0006391334866454554	0.0006064072954119264	0.0007095226328028962	0.0006583851940800486	0.0006413889415491929	0.000695995730363028	0.0006665538647960309	0.0007642931051164204	0.0008016870668004718	0.0006385251301364839	0.0006820247722300405	0.0006965210249704855	0.000618112434858028	0.000681446366017729	0.0006786146826702287	0.000644070428024392	0.0006380017566944611	0.0007464104978252701	0.0007077304155651607	0.0006704695989741951	0.0006375781648991171	0.0007771022268250972	0.0005684770001903165	0.0006442440016929802	0.0005765928365891882	0.0006276335067679622	0.0006201643342472204	0.0006264630864060747	0.0006190555507142511	0.0007304816316479205	0.0007389831183072761	0.0007135016101373594	0.0006543247297889661
Water	0.0041987519711328206	0.004114586167168976	0.004065831351879194	0.004157661308794491	0.004109776719232614	0.004077751152406645	0.004103580659673345	0.004079431269225867	0.00405420565345096	0.004022522132616045	0.004045077606297875	0.00407637710017622	0.004096262586740892	0.004060896941773184	0.004071976708714958	0.004049788913625644	0.004094686015169377	0.004132955267731358	0.0041012875536966895	0.004072447818424186	0.004054625604899724	0.004046626697639225	0.004050690000679447	0.004071944157398258	0.004031898591208202	0.004052372554759504	0.004044237428947378	0.00407137571825808	0.004014065420948232	0.004043267447618711	0.004032063087181812	0.00403872516393615	0.004049823305561444	0.0040350881330666385	0.004020158105797393	0.003983131661144036	0.003997169805055385	0.004001516206740191	0.004017933923427113	0.003993786272263664	0.004040901210382491	0.004027759711977641	0.004019762575002695	0.0040207154674850535	0.004010190457018759	0.003990010749428288	0.004052506250943185	0.003992705366990265	0.004004719451202026	0.004019072126147887	0.004017385378867107	0.003966258819801864	0.004006539761909368	0.004054651182383909	0.004043465881842181	0.003985850707956066	0.0039756183143761685	0.0039767676485198515	0.003980541591668653	0.003961221761881195	0.0040018697199725485	0.004006504758370076	0.003976795878222495	0.003951163472897123	0.003951997737605501	0.004009417313390501	0.003940332371288701	0.004000144452057036	0.003908844723935433	0.0039774668374249495	0.004044502917816267	0.004031853707118786	0.003960941165598766	0.003970440818415762	0.003974797339944787	0.003937047790793197	0.003957197527455437	0.003931304727996773	0.0039348006799504185	0.0038788130491136602	0.003875529821412332	0.0039037645783385096	0.003919222163520605	0.003970434791281884	0.003968899280598353
Acetylene	0.010761932335225379	0.010212134482777685	0.010879333234721743	0.010635959035921709	0.010693813450313706	0.010122716280320574	0.00989599639753725	0.010154696929588493	0.009922964335051862	0.010590058443204852	0.010120846834291833	0.010688515817844682	0.010012564976084807	0.010088368656634393	0.010934896673628286	0.010265203458348061	0.010233308640573539	0.010690385057738921	0.010310375310043658	0.010437926574778924	0.010373319508937495	0.01041777568102346	0.010330240447232169	0.01067368297602401	0.010555045076066609	0.01002935394706446	0.010196238484345591	0.011030474944447446	0.010144850080986348	0.010347454645789796	0.010457083425917535	0.010351033378267593	0.010478687166839928	0.010394716224230827	0.010577535405271692	0.010397533996451097	0.0105123121435851	0.010323647064939732	0.010462390979277295	0.010386090930007492	0.010634499693644358	0.01042441428518135	0.010580944276083278	0.01038539811800613	0.010521259069052618	0.010657950823788622	0.010432623590868925	0.010331465327000846	0.010562882096509471	0.010688310979504826	0.010748971729449155	0.01040576418594881	0.01050325116674927	0.010303058164233273	0.010220347549093779	0.010441234009019262	0.010488198098130602	0.01053890146452258	0.010496147224142058	0.010543522814314301	0.010423581210733113	0.010689795128814105	0.010533622647471205	0.01050397473102864	0.010614894428676105	0.010784272091296917	0.010172308182536621	0.010307104129435267	0.010955606279470773	0.011073143497962137	0.010695829117175155	0.009967997646154036	0.010355956519709334	0.010416695394476573	0.0101577165797286	0.010238965183606022	0.010595127143349823	0.010549898858719462	0.010625186371760274	0.0105318396876182	0.010492887429010321	0.010371432545957486	0.010418289454124804	0.01046801566569495	0.010435084361321742
Carbon monoxide	0.03363041139727255	0.030580216420845133	0.030450164172154185	0.028762312440826165	0.028188558028395164	0.027006774047515045	0.02631990443170401	0.025616777581723493	0.025278048114815134	0.026216168746900914	0.02492396855353964	0.026168222435516916	0.024855714500318534	0.02482410699081774	0.025915918240608734	0.025015632192194128	0.024929843899857522	0.025668906792543925	0.024967990715146795	0.025167168805946747	0.024729586486704466	0.02498878398326153	0.02484641955611617	0.02511122761211104	0.024780340070057597	0.02413140257442229	0.02418021616402838	0.025220040547066194	0.024399894423981584	0.024707516530432908	0.02475284068031372	0.02448174068619942	0.024775711374441296	0.02442133866655892	0.02462158581774842	0.024223780655009304	0.024685792622920612	0.024121633189229986	0.02450565862830381	0.024436424632285212	0.02431670621533804	0.024157287374569274	0.02468055892181847	0.02422973890653077	0.02435087651452779	0.024555210310854954	0.0242797401701005	0.024225301617973278	0.02447148950066296	0.02456916686199157	0.02454704680519231	0.024119425801466008	0.024511901849982327	0.02419306073250783	0.02405579112565275	0.024366717424772227	0.02442841141219904	0.024304565682444875	0.024331353650123143	0.024299709295495672	0.02411740372161345	0.024392658919647207	0.024260808006282164	0.024118196304075135	0.024276223163626987	0.02471449890590508	0.023937266409215743	0.023820127632863862	0.02504671743715899	0.025289348457048336	0.024347118719218026	0.02349644788824246	0.02403317544983214	0.024004085192954803	0.023670973984508344	0.024029452396519664	0.024376379211385323	0.023947779165213467	0.024163217395363	0.02385514990082547	0.023852549201353625	0.023773058210702993	0.02398035403704006	0.0241051737619978	0.024112023346047912
Ethylene	0.00031264637160879986	0.0004156046703863181	0.00048675509408669634	0.00043648433647552876	0.0005158926548656703	0.0004852549301868752	0.0005449061586109815	0.00046537803991455334	0.00044222601915511916	0.0005010960998687797	0.00043110998044109094	0.0004683444723615209	0.00039261513534093314	0.0003836015329734868	0.000455111494351989	0.0003513459388995191	0.000401188584203169	0.00037383393213699027	0.0003812319453661764	0.0003295621572049385	0.00029820620318430637	0.00031763032310524206	0.00030186795913248853	0.0003131489584206213	0.0003179369425104267	0.0003075539412444516	0.00027016345617747055	0.00023389952434233242	0.00023681942884071295	0.00022605483202541157	0.00023857171841402044	0.0002052840000753016	0.0002001626572996134	0.00022173823329097703	0.00020828916758242307	0.00014482891111660087	0.00018723203546956003	0.00016883345437661518	0.00015757698628054252	0.0001370214756322401	0.00013096024833400858	0.0001134745977593099	9.514455853327175e-05	0.0001348870676800178	8.919888000997197e-05	5.138869242472782e-05	9.22738335018834e-05	0.00011632126384094868	7.466023539879921e-05	7.676566432453031e-05	6.332146041410296e-05	8.383358601852222e-05	0.00010191132333726688	5.732389731512985e-05	4.5880716812974274e-05	3.848798248612541e-05	5.3390870474666925e-05	6.17222678045321e-05	4.0454588952572024e-05	3.668274553917917e-05	2.2102913953828285e-05	0.0	3.104649776866402e-05	1.9692566418243194e-05	2.4767245011813354e-05	2.5787953589913537e-05	0.0	0.0	1.2461759703641658e-05	1.6091106210525183e-05	0.0	6.125309771373616e-06	0.0	6.35420133960926e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ethane	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Oxygen	0.0018065959154037643	0.0013999493222339903	0.001139619695937285	0.0009704776106563672	0.0008120791782242644	0.0007226266703993761	0.0006510758991282805	0.0005870441250616453	0.0005596698943178763	0.0005331811548124222	0.0005120288589245468	0.00048056018308711133	0.0004728859521543847	0.00046867547484492417	0.00044697755571794604	0.0004468287537075636	0.00042781427530545903	0.0004226723726244559	0.00041751994447827346	0.00039475144699405824	0.0003924297597178311	0.00038286645709731653	0.0003581422544929581	0.0003491728649464164	0.0003628185102629993	0.00034386457445549856	0.00034715097400478645	0.00035698930447651837	0.00036691178097376334	0.000349755709692002	0.0003396299974728402	0.00033868643481135754	0.0003360680458952903	0.00032815681061053363	0.0003299392446165842	0.0003174244714805968	0.00030785150881232354	0.00033295839874257136	0.0002983532360311519	0.000333853551272223	0.00032620516612248267	0.0003173336753414653	0.00031437438553339603	0.0003142923965773749	0.00031385585581093995	0.0003114750024203843	0.00030384107133282453	0.00031192600133778483	0.00031712054074501387	0.00029646589365599896	0.0003006220688952691	0.00028945065438100697	0.00030371163360609963	0.00028953695180245463	0.0002871148352582808	0.00029011183767193286	0.00029566788625102824	0.0003005985485574483	0.0002872335970935751	0.00029310090113642836	0.00028413001680838563	0.0002859895197381136	0.0002892024418957887	0.0002748761675476172	0.0002843093955661595	0.0002722948334506756	0.00026492334631579155	0.0002668544790656816	0.00027390333001574404	0.0002684790752294564	0.00025917451175468413	0.00026804285838014135	0.0002576404847607084	0.0002593520163339246	0.00026082295075215053	0.00026536824598853145	0.00026906072091942653	0.00026752272027025345	0.00026363877759220835	0.0002583982319288916	0.0002639389359239012	0.0002585874865622301	0.00027085839205901	0.0002570488833899297	0.0002492690965334247
Argon	1.0124746441240748	1.0126295797088976	1.0127880057891907	1.0127184056494625	1.012613382736245	1.0128204422099845	1.012829168474125	1.0127572501685642	1.0126909552954186	1.0127823160173737	1.012748943607925	1.0127536666928083	1.0128015121559721	1.0127802031545303	1.0128178700562147	1.0127701833817493	1.0128182116622435	1.0127314280429913	1.012849582735702	1.0128274986538257	1.0128044958833	1.0128354119283096	1.012692517880716	1.0127786949454003	1.012799553373102	1.0127501997108808	1.012805454724176	1.0128119368086077	1.0127604907347154	1.0127200662600244	1.0128106545518751	1.012841219101255	1.0127537384170653	1.0127614014843636	1.0127759006698847	1.0127181623010142	1.012816947720351	1.0128702193958172	1.0128293497182805	1.0126957307880995	1.0128662005691815	1.0127962242192807	1.0127981783633833	1.0128566944835797	1.0129223073239468	1.0128409117412787	1.0128895117215173	1.012926553395706	1.0128900499388456	1.0128281621423982	1.0128360945141288	1.0128354391695515	1.0128543591416452	1.0128743524117663	1.0129336800829412	1.0129305337483263	1.0128990374290896	1.0128897133527774	1.0128985004813829	1.01294685194226	1.0128661446552243	1.012924835017601	1.0129570597062214	1.0129374406791585	1.0129485480693836	1.0128729710907105	1.0129189032135237	1.013013992034298	1.0130257606317918	1.0129679698992005	1.0131544051691228	1.0130902039976346	1.0129834259538095	1.0130219519187336	1.0130423375418445	1.0129331751317872	1.0130333900246475	1.0129807061380809	1.0130499569592675	1.0130191752194977	1.013011821158232	1.0130587424508473	1.0130255821198562	1.0131129673197319	1.013111575979792
