Molecule	Cycle_1	Cycle_2	Cycle_3	Cycle_4	Cycle_5	Cycle_6	Cycle_7	Cycle_8	Cycle_9	Cycle_10	Cycle_11	Cycle_12	Cycle_13	Cycle_14	Cycle_15	Cycle_16	Cycle_17	Cycle_18
Hydrogen	0.00013437549870005177	0.0001303253156555563	0.0001325262527171046	0.00013563209721253092	0.00012984444593861045	0.00013228972626849408	0.000131445753767477	0.00013005454148809777	0.23038392345862654	0.23069237868904044	0.23503806335737343	0.2342894445757626	0.2323624437601757	0.22564772582886553	0.04347073875806243	0.017928981851325666	0.009851650930102752	0.00635784968565601
Deuterium	3.8365053300122185e-06	4.481827266854021e-06	4.279380352102505e-06	3.80845678689092e-06	4.024752312544821e-06	3.4875608207355423e-06	3.7604889334948775e-06	3.7956061883330505e-06	5.196465201587386e-06	5.359478192605767e-06	5.407596680671152e-06	5.594391138230354e-06	6.885440795538891e-06	6.010430707300857e-06	5.542038995023068e-06	9.58404338149026e-06	9.351937385618407e-06	1.1434147970838759e-05
Methane	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000445813371059901	0.0005917245012526836	0.0005855440494634093	0.0005780191340446711	0.0005346255769768737	0.0005957520115523274	0.0004920997137430446	0.002981328670170527	0.0	0.0	0.0
Water	0.0022017537595777387	0.002338978257034417	0.0024620471983368628	0.0026345299842483604	0.002760007583595225	0.0028870881168942754	0.0030138011175874567	0.005731388035279305	0.006005488957244849	0.006281729989333112	0.006443825223140726	0.006483435882644108	0.0065442672808339935	0.006331741455423568	0.013020471341915233	0.01075110607924315	0.010833047314293045	0.010295424278517406
Acetylene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036807872300756894	0.004026964889483488	0.0036324996588503427	0.0033254564595939138	0.0033172015979515443	0.0036643320429432264	0.0036316350237767248	0.0007597636739844262	0.0	0.0	0.0
Carbon monoxide	0.019042504525808863	0.021350947393948543	0.020571052872224122	0.01991536903913004	0.020111736172050344	0.01922850699660195	0.019564582834158527	0.0376772384030052	0.03889046184401985	0.039233336056869565	0.04156389004135486	0.04101162275537536	0.039140848822441614	0.03978718646691874	0.024912359006515103	0.15638301509848798	0.2086767671279611	0.2501642734166449
Ethylene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013252252403062972	0.0029144359509662506	0.003192281829600883	0.0033282769927902587	0.00335049389133653	0.003534938873473312	0.003352182800330161	0.0	0.0	0.0	0.0
Ethane	0.0009274447334710979	0.0010104081467646956	0.0009095039007647087	0.0009669405353815142	0.0009548046038285323	0.0008616802407083448	0.0009043181714263493	0.0003898828293686684	0.0	0.0	0.0	0.0	0.0	0.0	0.0014859682643404918	0.004624053380703129	0.005597908713302979	0.005404570405023196
Oxygen	0.0046260578662784425	0.0045430365326436595	0.0039199385809356255	0.0045193548847691205	0.0041241140165183595	0.003765889207776554	0.0038950675299726663	2.8316888245789405e-05	1.5584485869376157e-05	6.8205829935985796e-06	7.215094982894037e-06	4.1601132411187365e-06	0.0	0.0	0.00418207116549169	0.033670752884899006	0.04217990628111855	0.04737144729575088
Argon	1.004368205842811	1.004748137110107	1.004789943482815	1.0047133005794144	1.0046651280924574	1.0045874683989615	1.004814715629829	1.004343269434018	1.0075221988675125	1.0080491668370513	1.008267768956889	1.0083302379208432	1.0083232910019249	1.0076593842769968	1.0078952514477963	1.0094634312736503	1.007039061314385	1.0062667092224822
Cyclopropene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Allene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Propyne	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Propene	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017983415819108079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Carbon dioxide	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007125951307938288	0.0	0.0	0.0	0.0
Propane	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017455080591998603	0.00035831235583818016	0.0003747938027223665	0.00036692118190060274	0.00036479642982203665	0.0003803710639795492	0.0003681072190660072	0.003937175466352458	0.0013266185040938703	0.00014063281038763665	0.0
Ethanol	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002631884597869216	0.004755388412531761	0.0020690525992106156	0.0010511470019029447	0.0003628632708342651
1,3-Butadiyne	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5420348716291105e-05	0.0	0.0	0.0
1-Buten-3-yne	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
