Molecule	Cycle_1	Cycle_2	Cycle_3	Cycle_4	Cycle_5	Cycle_6	Cycle_7	Cycle_8	Cycle_9	Cycle_10	Cycle_11	Cycle_12	Cycle_13	Cycle_14	Cycle_15	Cycle_16	Cycle_17	Cycle_18	Cycle_19	Cycle_20	Cycle_21	Cycle_22	Cycle_23	Cycle_24	Cycle_25	Cycle_26	Cycle_27	Cycle_28	Cycle_29	Cycle_30	Cycle_31	Cycle_32	Cycle_33	Cycle_34	Cycle_35	Cycle_36	Cycle_37	Cycle_38	Cycle_39	Cycle_40	Cycle_41	Cycle_42	Cycle_43	Cycle_44	Cycle_45	Cycle_46	Cycle_47	Cycle_48	Cycle_49	Cycle_50	Cycle_51	Cycle_52	Cycle_53	Cycle_54	Cycle_55	Cycle_56	Cycle_57	Cycle_58	Cycle_59	Cycle_60	Cycle_61	Cycle_62	Cycle_63	Cycle_64	Cycle_65	Cycle_66	Cycle_67	Cycle_68	Cycle_69	Cycle_70	Cycle_71	Cycle_72	Cycle_73	Cycle_74	Cycle_75	Cycle_76	Cycle_77	Cycle_78	Cycle_79	Cycle_80	Cycle_81	Cycle_82	Cycle_83	Cycle_84	Cycle_85	Cycle_86	Cycle_87	Cycle_88	Cycle_89	Cycle_90	Cycle_91	Cycle_92	Cycle_93	Cycle_94	Cycle_95	Cycle_96	Cycle_97	Cycle_98	Cycle_99	Cycle_100	Cycle_101	Cycle_102	Cycle_103	Cycle_104	Cycle_105	Cycle_106	Cycle_107	Cycle_108	Cycle_109	Cycle_110	Cycle_111	Cycle_112	Cycle_113	Cycle_114	Cycle_115	Cycle_116	Cycle_117	Cycle_118	Cycle_119	Cycle_120	Cycle_121	Cycle_122	Cycle_123	Cycle_124	Cycle_125	Cycle_126	Cycle_127	Cycle_128	Cycle_129	Cycle_130	Cycle_131	Cycle_132	Cycle_133	Cycle_134	Cycle_135	Cycle_136	Cycle_137	Cycle_138	Cycle_139	Cycle_140	Cycle_141	Cycle_142	Cycle_143	Cycle_144	Cycle_145
Hydrogen	0.0003964179956275499	0.00039569177335874335	0.0003823910984420664	0.00039243523063894463	0.17679247917050997	0.18053794891668815	0.1831864650339966	0.18271578523386126	0.18181930925371925	0.18407635556130061	0.1813537361025709	0.18373095718591995	0.1806518142711756	0.18146336234623872	0.1817866390202856	0.1829169538963928	0.17975577693796774	0.18264547635774736	0.17810923836671766	0.184549946791192	0.1785911253818444	0.17803661634535287	0.17445859905191344	0.18116657681781867	0.17695984138740337	0.1800202782064668	0.1780809939738263	0.17736049010817545	0.17897679858543214	0.17458038542183155	0.17913050511432554	0.17888887499587663	0.17762507512464207	0.18004557569233487	0.17783348175095226	0.17292559212958455	0.176201293283637	0.17534585063996885	0.17499831191609957	0.176816263598387	0.1782718852577752	0.1793905179111921	0.17471942166904952	0.1786752290679706	0.17898698764742682	0.17726747059440862	0.17781483572522597	0.17848242693073768	0.17653462456584526	0.17685777648152137	0.17654843383396865	0.1778942890317158	0.18043469844234813	0.1773018292247571	0.17624498275801712	0.17839587993195613	0.17670595263489106	0.17898947620134906	0.17766695139440677	0.1790880801887005	0.17416877488037436	0.17468042342900986	0.17820732944345458	0.17702857206424727	0.18359859825742217	0.17942435445569296	0.1773453658374908	0.18254458175802277	0.16737482654248403	0.1566217842152559	0.1872099994333515	0.17892618863056078	0.17935135925231568	0.1793289126358211	0.17534717719387427	0.17995886187122706	0.17787930917997263	0.17884814070631536	0.18087439246915243	0.1864317459302794	0.1894728583031359	0.17962319845088415	0.18254698591156504	0.18132286028371145	0.18399119580609463	0.1764043108656556	0.1795840709316879	0.16777329142911984	0.17623669207484963	0.18141479137938452	0.182884617192038	0.18667913102819547	0.18307859816175454	0.1820332622660164	0.1828416814201911	0.18254595949908797	0.18455644074033456	0.182808252921238	0.18400921458877623	0.18082937998364143	0.19099383232919326	0.18441074792510545	0.1848316890679785	0.18444358118741078	0.18392980970172007	0.18204638307865856	0.18299989582749449	0.18436344008976718	0.18510932928614204	0.18658311040546985	0.18659745804684771	0.18773217707981976	0.18720342581248917	0.1818082723597276	0.18296320874376043	0.18568686348048838	0.18279684516100445	0.18578571491054746	0.18366177255988408	0.1882994953074481	0.18446807752073227	0.18841990239754422	0.18682264061897413	0.18470246669346904	0.189098157646337	0.18205606556341808	0.18401498079364834	0.18264802342651595	0.18493496871055007	0.19172856228094495	0.18370169298419037	0.19077640326490175	0.18281720850184646	0.185797529980362	0.18859416313945385	0.191657295711674	0.19296589906996145	0.190462147049271	0.18699155884635263	0.1905043423418789	0.19224603523031183	0.1881935185345276	0.18839590342511112	0.1466066685678633	0.003738174924243915
Deuterium	2.5666443041338565e-06	2.805460835720857e-06	2.8392858786713527e-06	2.9013552644760713e-06	4.931480742234336e-06	4.636201958231743e-06	5.038137624514827e-06	5.344243338281825e-06	5.117121983205938e-06	6.080972953555501e-06	5.961486572491736e-06	6.139989738573979e-06	6.433194367958927e-06	6.323426544795551e-06	6.927666127871392e-06	7.554892580660048e-06	7.091073916010279e-06	6.505928982119386e-06	7.569480361102208e-06	7.963300051778337e-06	7.159479598233486e-06	7.561299722553638e-06	7.853172179212342e-06	7.63682245290097e-06	6.8681734919575515e-06	7.712372078663612e-06	8.301103825648112e-06	8.082314514006711e-06	7.6047138064700725e-06	7.902837514530716e-06	7.595207579425001e-06	7.309745642102689e-06	7.15953754267803e-06	7.838154496701973e-06	8.547627896842077e-06	7.913708864279304e-06	7.897628554286835e-06	7.852265170318002e-06	7.993254328557864e-06	8.320066379418755e-06	7.95422968617271e-06	7.86840929075316e-06	8.420491039847515e-06	7.951126097583729e-06	8.00294297343337e-06	7.684773951447464e-06	8.218726812596134e-06	7.836961540001101e-06	7.920617669757674e-06	8.124285503315141e-06	8.425439296395325e-06	7.836546523685329e-06	8.252550603376006e-06	7.94351070717943e-06	7.790091886593556e-06	8.523861111212393e-06	8.415594415139297e-06	7.480060804841092e-06	9.016671548336726e-06	8.68983862299021e-06	8.307288177212821e-06	8.172656123952157e-06	8.163217651453282e-06	7.5073258729200336e-06	8.960543022447562e-06	8.862123069427044e-06	8.49911519972197e-06	7.810423963784134e-06	7.989564577093215e-06	8.283825706912448e-06	9.376626115883384e-06	8.0424812214871e-06	8.262357958729266e-06	7.752443026504077e-06	8.10812052373563e-06	8.277019639927424e-06	8.876723860351111e-06	8.39040767023436e-06	8.649345892636154e-06	9.13296182163895e-06	8.3481266192087e-06	8.579510863743007e-06	7.780937512893528e-06	8.365832082286625e-06	8.225099492922236e-06	8.07395914415168e-06	8.735562289582251e-06	8.20856627008624e-06	8.877069370701115e-06	8.253215336747835e-06	8.229101637182793e-06	8.72169521489752e-06	8.38062008065084e-06	8.050744847358116e-06	8.283568087441273e-06	8.378821902761951e-06	8.594172686840016e-06	8.785507909217214e-06	8.370677036845103e-06	8.103170685298715e-06	8.334374565787983e-06	8.174740622449506e-06	8.450721612759085e-06	8.724540984365137e-06	9.08329251182373e-06	8.47323058885337e-06	8.05150315652303e-06	9.023705767398986e-06	9.222746363330452e-06	8.137425271463268e-06	8.697965830006616e-06	8.693728219688333e-06	8.162614227425502e-06	7.971772729418727e-06	9.06256898774993e-06	8.90758730136227e-06	7.951108976974294e-06	8.767827313513645e-06	8.415754866369384e-06	8.750367596826303e-06	9.197001620498564e-06	8.771443998639967e-06	8.22901712731564e-06	7.759653994994014e-06	8.940642315096638e-06	8.703835150386643e-06	8.417802998781632e-06	9.345104241605964e-06	8.906400439922487e-06	8.362583428992063e-06	8.131949503620554e-06	9.206305861911097e-06	8.710378016500858e-06	8.10417648899586e-06	8.459771465074064e-06	8.711608742732183e-06	8.686481376200775e-06	8.2331723472786e-06	8.535238140620813e-06	9.389368010094149e-06	8.459678051143995e-06	9.369479986311574e-06	9.084689666151253e-06	7.631087672812609e-06	7.018926032607929e-06
Methane	0.0	0.0	0.0	0.0	0.0007136399571147347	0.0007067757761731681	0.0006924466295202362	0.0006454191351524185	0.000673721840851776	0.000693571742408883	0.0006123058281487775	0.0006476558721956706	0.0006119991427765244	0.0006337064979465712	0.0006122037082126924	0.0007017501337749083	0.0006838034828528297	0.000675452672941381	0.0006755894663349642	0.0006333067433831669	0.0006151659768260859	0.0006406388049691625	0.0006722087374077005	0.0006464514292530601	0.0006883910625467461	0.0006563257574636268	0.0005963403044480801	0.0007019678491421232	0.000635706227757227	0.0006515658737813461	0.0006118664030425611	0.0006524041855559444	0.0006271380653864654	0.000622568065813287	0.0006444102812995888	0.0007164823582824796	0.0006286696792162353	0.0006993904565556891	0.0007059619759213118	0.0006185179290382662	0.0006887144298723908	0.0006754407045933573	0.0007154673313064436	0.0007318768930801059	0.0007628981446274367	0.000688326547680296	0.0007227262239098208	0.0007963500509600568	0.0006808387013289482	0.0006706607624451507	0.0006632588951292519	0.0007110470991595194	0.0007466986104585621	0.0007070713282600542	0.0007086105232367024	0.0007239835052075804	0.0007265463417071908	0.0006551064333777628	0.0006892069368964793	0.0006531010477512708	0.0006614373892585534	0.0007069193067807161	0.000650811206110587	0.0007028769169069724	0.0006991522905886601	0.0006214137730783271	0.0007139446087325558	0.000660462014112441	0.0007788649351720841	0.000631898551100882	0.000768599296981693	0.0007193293020766779	0.0007438403495538972	0.0007140051148186706	0.0007118159899878138	0.0006887114865250975	0.0007129306377385843	0.0007296372599017689	0.0006899310281050614	0.0006962022823408268	0.0008291670315896966	0.000662301686515396	0.0006888622731195523	0.0007250269834580517	0.0007360289024660186	0.0007753441731215998	0.0007541133515150001	0.000695329960694904	0.0006989531936998061	0.0006907333989025714	0.0006195634009926637	0.0007936740727919828	0.0006849531765957304	0.0006956266601243862	0.0007283855902094365	0.0006756269759346014	0.0007680262264743809	0.0007262514823039404	0.0007913467783457584	0.0007715000327598608	0.0007394014388621418	0.0007855045761052115	0.0007230250214188736	0.000715383088027025	0.0006634843964105235	0.0006942085372970385	0.000706048647303886	0.0007137315187477288	0.0006777310983553616	0.0006804410007449322	0.0007318798312080398	0.0006890969446831462	0.0007720106910459773	0.0007423868463543623	0.0007308768259237239	0.0007320129169423712	0.0007450689111747765	0.0007129329816703395	0.0006976556463807579	0.000731427076184018	0.0007829529734439838	0.0007340625846595031	0.0006718497242344636	0.0007734662074034788	0.0007462321549119463	0.0007152083634090441	0.0007559511339638572	0.000573222716098831	0.0007748181638521749	0.0007346693650600829	0.0007187765871472018	0.0006741819462462613	0.0006348645365205043	0.0007352514686026119	0.0008158416522552465	0.0007115647023013626	0.0007137089430122322	0.0007805697432554576	0.0007481521781175247	0.0006563641573267537	0.0006901079417556171	0.0006590748822400174	0.0006634153413480268	0.0007370115086249478	0.0011631443239504642
Water	0.0024562144981681512	0.002385401732173884	0.0023771720530882394	0.002532759943023538	0.004860988906914292	0.005151881578384851	0.005150874678825467	0.004992810417169473	0.00491077071762018	0.004865097295079017	0.0047962100199495684	0.004717638618911574	0.004666218679604886	0.004582494339645589	0.004515906627235796	0.004453541267341058	0.004387619775905596	0.004312493733168989	0.004293205178604234	0.004240245991118361	0.004196451860174893	0.004163545981131018	0.0041028930111044895	0.0040758616539105725	0.004029094702783395	0.004007618189328067	0.003981179038139358	0.0039424735179036125	0.0039100130236337655	0.003897331070583238	0.003843827533805381	0.0038433823932428586	0.003833310407962282	0.003829472854533511	0.0038172183216373537	0.0037841067444704646	0.003745456343558178	0.0037377355741759102	0.003752642476685183	0.0037206688928507247	0.003718293431046785	0.003732592813316617	0.00370306469058668	0.0036621979471534918	0.0036830925235812983	0.0036414117652109833	0.0036387243827303685	0.0036460454958197916	0.0036342878365414346	0.003606942420812741	0.0036091782186804594	0.0036147310452057007	0.0036080207416120972	0.0035738461482904453	0.0035819894497322578	0.0035903710153184424	0.003597164061219717	0.0035550327198554726	0.0035482140244840273	0.0035259549221892173	0.0035353908450097065	0.00353933543562542	0.003568842499674843	0.003536394125626629	0.003550719395302371	0.00355653156923949	0.003563714069192012	0.003562848653438976	0.0034916574575071155	0.0034629218408574265	0.00357281843452702	0.003556593277480709	0.003536164220667005	0.0035541337155074113	0.0035571408811141637	0.003532070518710713	0.003520771070272284	0.0035097849316196757	0.0035639504965055803	0.0035598563846568195	0.003556573273769001	0.0035306410126127357	0.0035139906396912135	0.003536692115144415	0.003536106715000255	0.003503738796126206	0.0034991771401661903	0.003468526684541063	0.003463831767706287	0.0035147347638079408	0.003500148431402514	0.0034914369658254267	0.003490844339552579	0.003458637799595929	0.0034798071702257247	0.0034546539024269563	0.0034704139567148773	0.003500413016601581	0.0034903237149936962	0.003469116408350175	0.0034625229183595286	0.0034817888829655847	0.003473224093763876	0.003498170054005254	0.003451804855361135	0.003448543823541062	0.0034183169370382055	0.003450433389223989	0.0034530552945841145	0.0034705145826672916	0.0034411823067259364	0.0034597718182609143	0.003479092655124796	0.0034710409134460773	0.003453481733364971	0.0034294132287390915	0.0034597759868360777	0.00346819275917934	0.0034409530423170588	0.003463250933890732	0.003464580823526908	0.003426991715292862	0.0034199062646114264	0.003444160316100413	0.003450820731662879	0.0034606733535390514	0.003449265314082712	0.0034518394176679037	0.0034059642542704016	0.0034429626074909884	0.003418229059723648	0.00344606908365467	0.0034147017864065215	0.0034156913400742025	0.0034401515890396792	0.003453831857737868	0.0034477807869139703	0.0034244499950874144	0.0034164256961179687	0.0034103207113797777	0.0034132203360917905	0.0034042615073423045	0.003425319322554734	0.0049579860013854405	0.003933522741233443
Acetylene	0.0	0.0	0.0	0.006009063689620206	0.008428132697249985	0.00843170270058193	0.008593337940803258	0.00846799177681993	0.008424809006715717	0.008291099173042733	0.0081437605710752	0.008083226946265624	0.00815493397558088	0.008067981098601268	0.007920878252699392	0.008195125780014755	0.008191055917095558	0.008149772235156599	0.008282437474196153	0.008537492233101381	0.008309467481063707	0.008457568189402364	0.008163962685601062	0.008428461293670872	0.008630599277750674	0.008598113126856037	0.008441007216220233	0.008215164412050285	0.008568358886242421	0.008324998367590816	0.00811293279740403	0.008200109916450015	0.008387392112850887	0.008868748473830007	0.00858772004909819	0.00829281767081259	0.008617067873660138	0.008971470676572993	0.008842003818319224	0.008861372724668116	0.008899738217963865	0.008792141060290913	0.009004165575325176	0.009074016251262348	0.00900954015709955	0.00890161750407623	0.008902197442635663	0.008849443893470841	0.009160112815620425	0.009311067040416099	0.009158815531028472	0.009011794477920174	0.00909424852411594	0.009120045684519495	0.008984741243612395	0.009275633896156026	0.00928499711409035	0.00933164658959632	0.009418142676156368	0.009282859382097717	0.00913941659543081	0.009464253222392575	0.00908707843017538	0.009335943688195337	0.009355008203924611	0.00907787732962773	0.009362740289589989	0.008712768454208576	0.008817842224983788	0.008947575812766511	0.010214310289721288	0.009285534714052102	0.009500915739260724	0.009474761020364394	0.00923885507461993	0.009480560525441217	0.009185180507124333	0.009410889644797632	0.009942488508732847	0.009286637674336457	0.009400469742864091	0.009731764358112023	0.009390453338880249	0.009354720528607263	0.00939734388181164	0.009100605376702858	0.009169740145539668	0.009158196473082938	0.009743310685381002	0.009497022955937932	0.009293629289977167	0.009538966656292497	0.009364692107257601	0.00926640762713662	0.009581696401930972	0.009463214138323581	0.009405402507709257	0.009258943660802772	0.009473931661869954	0.00955293400415817	0.009655563715729837	0.009468981118669857	0.009427045417859837	0.009414641597686242	0.00935065533143865	0.009346499692929083	0.009397032543031054	0.00951404765696369	0.009452934973206567	0.009472861665967027	0.00956874375104889	0.00937453797462711	0.009311571801686602	0.00982108940486978	0.009364666992686036	0.009509299358316594	0.009246201717219613	0.009579179180408513	0.009359219838400289	0.009577868523900305	0.009543793682479842	0.009561906212075848	0.0096199380792719	0.00933236909120388	0.009526429562797029	0.009294159611518991	0.009578380370032478	0.009034302005110052	0.009299055732615108	0.009543366295098513	0.009850218770949966	0.009476626446285151	0.009150676480538661	0.009373100271048755	0.009463881689255672	0.009458074818214608	0.009571467985297332	0.009323902580752464	0.009472807280270263	0.009519362810975138	0.00927586823517376	0.009048896651769089	0.009837061186241745	0.00019242639466118515	0.0
Carbon monoxide	0.00683955460218075	0.0073291505456709385	0.006917894777327067	0.017944914964386553	0.02001910749437359	0.01995162128330722	0.019854533692972513	0.02014311210218575	0.01979272762481381	0.01966821601694688	0.020467199989050236	0.021132140938273654	0.02043039793597635	0.01989331921381074	0.020296887600880418	0.01973475588171866	0.020025428660596332	0.019868158816956832	0.019884533010532095	0.020067256580081887	0.019539057453644332	0.019644582163020462	0.01908486751507555	0.01900333544541146	0.019800996949803706	0.01967488378864615	0.01936415691366114	0.01926672243778803	0.01902133345614094	0.018997865810560937	0.018293146144848657	0.01844678120978248	0.018984833571020817	0.018957037762385356	0.018769845891376907	0.017798888527987312	0.018662121146160764	0.018607549310697444	0.018472544769793698	0.018166666171605724	0.018669818559884817	0.018260941342328734	0.01825814746352865	0.018223403681306462	0.0182920885036685	0.018174470329650406	0.018027163414641518	0.018028062223304556	0.018240339014616344	0.0182712164069021	0.018296006295493532	0.01782041279970915	0.018425287407410684	0.017930660882563416	0.017927463286064396	0.018128785900114606	0.018125298149830462	0.01796159794289359	0.017993400276101724	0.01812100548014007	0.017859223898051533	0.018283529133328015	0.017959527732499966	0.01790602607122863	0.017781390772658556	0.017957930717104487	0.01754820676902648	0.016611263702157538	0.016795127587305815	0.017790375337385783	0.019216562499905294	0.01775794703005886	0.018135769478783537	0.01777037751296506	0.017762394250123815	0.01786015009276376	0.017631722053356908	0.01789358065015335	0.018837930968911204	0.017696833893278238	0.01789836539991399	0.01820926774910821	0.01784547332227257	0.017705386641566963	0.017759965594515672	0.017671387366886344	0.01766881317335561	0.017339439881756066	0.018261933232617655	0.018104830822179573	0.017628985743114646	0.0178920434323528	0.017868739332696542	0.017571187117921643	0.01793478040035036	0.018054027810324492	0.01778015692795836	0.017766538920444674	0.017794454608855755	0.017808943782247157	0.017984069859070518	0.01789857995727789	0.01766660990259216	0.017741956315235192	0.017803238707817647	0.017837688283445653	0.017800358801367915	0.017739720960960884	0.0178463802276317	0.017876722774145544	0.01787918460319286	0.01788645041078731	0.017706783913112853	0.01830860937619629	0.017674617486478233	0.017760818154805513	0.0175009989181322	0.01791438923507078	0.01791746995943183	0.017972819337107468	0.01803132369481882	0.01811137377429086	0.01791570524160453	0.017901615955758662	0.017983980310968883	0.017708810445638837	0.01778439381848464	0.017174283671488245	0.017413011635215327	0.018083356456184967	0.01860571194525822	0.017552007580658526	0.01692970169872745	0.01779691695678725	0.017916032047223102	0.01784413236032318	0.017816682353293967	0.01744491508092162	0.017778651942687046	0.017745716169192453	0.01741001784843594	0.01699679569476923	0.01821832149234017	0.0011139089626518296	0.0
Ethylene	0.0	0.0	0.0	0.00022574657036902827	0.0008152349830286053	0.001047585058979643	0.0011395601907756069	0.0012748142209883474	0.0013735835084374667	0.001414116332375113	0.0016046168758533483	0.001568984275613522	0.0015807194130119668	0.0015698931576407778	0.0015839004115477348	0.0015102160080905634	0.0015405399726278848	0.0013937123174197995	0.0014727427090080439	0.001337157704290523	0.0014235454770196447	0.0012718449177811018	0.001314096125774153	0.0012412460584161065	0.001200160003526122	0.001224030642581034	0.0012315785874904561	0.0013523393390364616	0.001167263401487321	0.0011934824014386263	0.0011089109310554223	0.001013637804465495	0.0010321928173007348	0.0009843021506701702	0.0009957992236566153	0.0009048698200494563	0.0008426491829365013	0.0008466542677864539	0.0008167672628922766	0.0007457248191327885	0.0007698811157782897	0.0007727625406441719	0.0006457194251963341	0.0006255317458899975	0.0006209530938049181	0.0005660535715058024	0.0005532554313118115	0.0005470578166851239	0.00048780947351353276	0.00046797377029078884	0.00045947970015652965	0.0003857511666208724	0.00041762974694562784	0.00035651772900235765	0.0003833930271988973	0.00031842478360674653	0.0003227749440306884	0.00020383384253454116	0.00020489432727788218	0.00019796286424492623	0.00021521289405102435	0.0001888562424997056	0.00020307533480298846	0.00014675509839724783	0.00014526259898628788	0.00012919759226272175	8.065755366490902e-05	5.339622067959301e-05	6.204292595491111e-05	9.654691572909767e-05	4.5190307000291893e-05	1.1235008159863359e-05	3.242434171111745e-05	5.662534986413163e-06	0.0	0.0	7.773864187866512e-06	0.0	1.3285970570490648e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010051165741030428	0.0007130818556973718
Ethane	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Oxygen	0.0011574517714833367	0.0012416794815340985	0.0013848402641764407	8.041712726318983e-05	5.5210134968623864e-05	3.2070045033476876e-05	2.5053705312748102e-06	0.0	4.264039326170517e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.314852070549279e-05	0.0
Argon	1.011529096700196	1.0114633190166582	1.0115761169899675	1.013797860700311	1.0115797521785521	1.0118416017457061	1.0120946789216434	1.012109042308292	1.0121727720335905	1.0121473644721344	1.0122506433380247	1.0122701258861861	1.012297137246829	1.0122475841053775	1.0122667181570388	1.0122366969067356	1.0122293594885658	1.0122353611386075	1.0123080026767535	1.0123011977723768	1.0121848485460638	1.0122538983436369	1.012238278533073	1.0121920399958468	1.0121541845544646	1.012206974492479	1.0121800871071478	1.0121972669543797	1.0122409881302685	1.0122391273358282	1.0121645072483079	1.012211858528195	1.0121859111488118	1.0122440763496063	1.012209114854746	1.0121917184075542	1.0121685026129643	1.0121749689578239	1.0121693821730247	1.0121743529495266	1.0121293632471757	1.0121984425162647	1.0121617087037702	1.0120891917301316	1.0121970308936348	1.0121838354816486	1.0122095033880314	1.0122211912901034	1.012185255606862	1.0122115282967927	1.012250846876585	1.0122074257064246	1.0122543554562329	1.0122355837541055	1.01225622585813	1.0122945996698929	1.01227335450266	1.012194125090282	1.0122677226297565	1.012334298044331	1.0122133161951417	1.012316415975146	1.0123554110581767	1.0122608258742238	1.012371249999137	1.0123878524109984	1.0122662482890943	1.0123027181182978	1.012233979732799	1.012550713803673	1.0123174123138305	1.012304996878841	1.0123445490310097	1.0124936565052212	1.012403168684522	1.0123432789550018	1.0123545605445785	1.0124344833374743	1.012620806482165	1.0124575943564087	1.0124249795420848	1.0124986744761824	1.0124995538590509	1.0124847100592274	1.0124996895081841	1.0125150077331386	1.0125153606209771	1.0124698927611628	1.0125510628916963	1.012604350942065	1.0126069349312439	1.0126149140516356	1.012641873836309	1.012617248389574	1.012502307760986	1.012659946555605	1.012662895033583	1.0126185181541076	1.012644774627469	1.0126606609108104	1.0126261679201483	1.0127542566367047	1.0127419859073703	1.0127277305276188	1.012696811339426	1.0127956942863043	1.0127866544023174	1.0127650149366725	1.0127920856517858	1.0128436011102036	1.0128007413222873	1.012742740026892	1.012789869573074	1.0128364754268373	1.012818003977538	1.012888650004983	1.0128579606620387	1.0129349447915068	1.0129490521269002	1.0129297859422672	1.0128991147820534	1.0129515205609245	1.0129282643320778	1.0129290631169898	1.0130460963116177	1.013068612082927	1.0129887606311925	1.0131393774177684	1.0129837666715844	1.0130101322976148	1.0130419491346552	1.0130413469292823	1.0130619554670022	1.0130766394716724	1.0130959669204047	1.0131803238542387	1.0132259930968077	1.0131443837672194	1.01320836489113	1.013145116721555	1.0131850033759218	1.0132963533655992	1.0133270411231636	1.0132375276431556	1.0130789183818938
