Molecule	Cycle_1	Cycle_2	Cycle_3	Cycle_4	Cycle_5	Cycle_6	Cycle_7	Cycle_8	Cycle_9	Cycle_10	Cycle_11	Cycle_12	Cycle_13	Cycle_14	Cycle_15	Cycle_16	Cycle_17	Cycle_18	Cycle_19	Cycle_20	Cycle_21	Cycle_22	Cycle_23	Cycle_24	Cycle_25	Cycle_26	Cycle_27	Cycle_28	Cycle_29	Cycle_30	Cycle_31	Cycle_32	Cycle_33	Cycle_34	Cycle_35	Cycle_36	Cycle_37	Cycle_38	Cycle_39	Cycle_40	Cycle_41	Cycle_42	Cycle_43	Cycle_44	Cycle_45	Cycle_46	Cycle_47	Cycle_48	Cycle_49	Cycle_50	Cycle_51	Cycle_52	Cycle_53	Cycle_54	Cycle_55	Cycle_56	Cycle_57	Cycle_58	Cycle_59	Cycle_60	Cycle_61	Cycle_62	Cycle_63	Cycle_64	Cycle_65	Cycle_66	Cycle_67	Cycle_68	Cycle_69	Cycle_70	Cycle_71	Cycle_72	Cycle_73	Cycle_74	Cycle_75	Cycle_76	Cycle_77	Cycle_78	Cycle_79	Cycle_80	Cycle_81	Cycle_82	Cycle_83	Cycle_84	Cycle_85	Cycle_86	Cycle_87	Cycle_88	Cycle_89	Cycle_90	Cycle_91	Cycle_92	Cycle_93	Cycle_94	Cycle_95	Cycle_96	Cycle_97	Cycle_98	Cycle_99	Cycle_100	Cycle_101	Cycle_102	Cycle_103	Cycle_104	Cycle_105	Cycle_106	Cycle_107	Cycle_108	Cycle_109	Cycle_110	Cycle_111	Cycle_112	Cycle_113	Cycle_114	Cycle_115	Cycle_116	Cycle_117	Cycle_118	Cycle_119	Cycle_120	Cycle_121	Cycle_122	Cycle_123	Cycle_124	Cycle_125	Cycle_126	Cycle_127	Cycle_128	Cycle_129	Cycle_130	Cycle_131	Cycle_132	Cycle_133	Cycle_134	Cycle_135	Cycle_136	Cycle_137	Cycle_138	Cycle_139	Cycle_140
Hydrogen	0.000265566353887784	0.0002307848051173705	0.00026415883250690756	0.16914986162029755	0.18134132479712625	0.18309747812883723	0.1814684250136679	0.18113947033011363	0.18074413180038815	0.17855003404081882	0.1806127381336844	0.18138619550934926	0.17995954827266977	0.17896659873411103	0.17606449190762685	0.17913840336664516	0.17789647564203845	0.17637472512338856	0.17758498766100475	0.17817928033711053	0.17851565137559272	0.18098809230522622	0.17868865084969696	0.1786076539713838	0.17715874646562832	0.1788652773614983	0.1782477472710798	0.1784651359431312	0.17711986330717439	0.17992041403049283	0.17778113065439313	0.178151357383384	0.1781628862049231	0.1780377571206628	0.1772355240907108	0.17821990023446202	0.17796533929001046	0.1791727155709222	0.17956252929512198	0.17906018611439545	0.17787956381751654	0.17750027605453156	0.17825997750670727	0.17618655238519565	0.1767604726310245	0.1783169955895395	0.17906265960156556	0.17749277866416655	0.17917321223105726	0.17762160536761545	0.17765049921101217	0.17952107776303464	0.1772780936145703	0.1771871375335088	0.1792942740658683	0.17974904685693538	0.18086621994837127	0.1805201504116017	0.1815216149135081	0.18139310276479406	0.18188028215237914	0.1825738800461626	0.18137799033267474	0.18212820108687397	0.18009337155262606	0.18271922968489301	0.1819677918674841	0.18346607863087105	0.18486409034500728	0.18317845380076128	0.18250064178388803	0.1844274878156603	0.1827684128325936	0.18504464020820832	0.1846467133431257	0.1850217940410345	0.18469625150763327	0.18319995342889137	0.18268910573914446	0.18343483802724983	0.18309934709280667	0.18414704826915687	0.1827521395245022	0.18252325521939108	0.18363089945483554	0.1848498056715062	0.18357142816599853	0.18424754335391497	0.18498873865101897	0.18406250803727137	0.18443654865002002	0.18369187606220305	0.18442318894121687	0.18404733442120533	0.18390411540669663	0.18388123351053598	0.184507085189066	0.18637154941994785	0.1836554791799858	0.18648609664795066	0.1866749048198502	0.18172135443374526	0.18452561018715416	0.18437564047711383	0.18632270690985858	0.18465546893093757	0.18629237474474927	0.18718976196490683	0.18552122896795448	0.1878734192456387	0.1866473145400879	0.18654487622073018	0.18787158706147	0.18830790711926623	0.18982939486571146	0.18451444349130927	0.1859841154091016	0.1872027680927701	0.18667211273165404	0.18741237611587197	0.1852048110940788	0.18675669803765899	0.18783149628675339	0.18779840909119216	0.1892730194502547	0.1900963470792747	0.18885783166381118	0.18972608322026288	0.18706691501070674	0.18656907574447681	0.18485270182529576	0.1864882447754132	0.18729927166769525	0.18937264745659893	0.18787807250724753	0.18902512999009294	0.18602003941175763	0.18703205915505663	0.18515161322738588	0.1538611186443926
Deuterium	3.589628522035979e-06	3.0840304157623393e-06	2.306123168938469e-06	4.97487496669202e-06	4.262461650055147e-06	5.180475031372286e-06	5.341890688839648e-06	5.168918239514809e-06	5.387505968237992e-06	6.5155684619112395e-06	5.371340932751324e-06	6.095497524073063e-06	6.443771109130887e-06	6.248811422211255e-06	7.029317644350687e-06	6.340909358862541e-06	6.429149033276405e-06	6.941558337424039e-06	6.696110485920101e-06	7.388101727357974e-06	7.560706194740912e-06	6.730279743231386e-06	7.455576728517824e-06	7.142052847783463e-06	6.484117958294189e-06	7.757878907867386e-06	7.496487246893831e-06	7.018599002423692e-06	7.556752727756788e-06	7.121370647141847e-06	7.301388804691111e-06	7.4309210352931205e-06	7.797273804651296e-06	7.2660000904007996e-06	7.296513429070696e-06	8.021299718664585e-06	7.529773335821259e-06	7.900804115118815e-06	7.135418004105578e-06	7.538337452057693e-06	7.54952297866491e-06	7.397018371968089e-06	8.176943849332119e-06	7.596994984527563e-06	8.193938534379644e-06	8.153903394321972e-06	7.300253799462636e-06	8.080647615389313e-06	7.720537316239207e-06	8.600135680282704e-06	8.819154854314565e-06	7.978280011102154e-06	8.13251201494189e-06	7.915622954447571e-06	7.491178345263241e-06	8.439685875390994e-06	7.488731787734407e-06	8.12005945305611e-06	7.75444995873326e-06	8.304653573729474e-06	8.15444587515588e-06	7.959588410548026e-06	7.300373015350882e-06	7.781593386405876e-06	7.5011458944015765e-06	8.050701433618065e-06	7.780866848572291e-06	8.768243452103457e-06	7.983304699723497e-06	7.7240056941811e-06	8.110319948032888e-06	8.38206640021679e-06	7.851540959847248e-06	8.357285535442204e-06	8.148043942164285e-06	8.152135830975578e-06	8.278643443084695e-06	8.735617277366054e-06	7.959556497680333e-06	7.452675282104292e-06	7.815639815477557e-06	7.850380005357154e-06	8.361116757253956e-06	8.566428031734514e-06	6.991643291183643e-06	7.849636852377678e-06	7.372524534211595e-06	7.976663682665663e-06	7.946521532290332e-06	8.114820443174538e-06	7.74147652468513e-06	7.938807240803315e-06	8.297120119399772e-06	8.496317614316557e-06	7.920470452783738e-06	8.559783276024877e-06	7.464701776286709e-06	8.137492979311692e-06	8.157701149081677e-06	9.099157834771556e-06	7.48385259963046e-06	8.016459358657951e-06	8.654530295672368e-06	8.18448396220018e-06	8.152720361607375e-06	8.089933107454719e-06	8.325017395527077e-06	9.720558993916703e-06	8.030782835440966e-06	7.564237654384072e-06	7.983812054888105e-06	7.87300784630611e-06	7.421018355624444e-06	8.272300895644805e-06	8.12891024577913e-06	8.02995734040926e-06	7.3578686387876266e-06	6.990180449892563e-06	8.25782035436003e-06	7.987199642256928e-06	7.3373927141667425e-06	8.138504993755995e-06	8.217670258685555e-06	8.176629953602775e-06	8.907034570973472e-06	8.2983185044837e-06	7.852853036635068e-06	8.17773353335526e-06	8.170693289325198e-06	8.361327168944846e-06	8.153798988097581e-06	8.371936308082519e-06	7.828546524302792e-06	8.83951648283888e-06	8.691626175605577e-06	7.211134613063015e-06	8.477222488641396e-06	7.432233639846544e-06	8.125510583771166e-06	9.333487676289368e-06
Methane	0.0005089254814671234	2.8346919392793542e-06	0.0	0.000863141934111199	0.0008720408006179172	0.0008696461279673534	0.0008383303603596816	0.0008404004023782851	0.000836571177806536	0.0008471776375626701	0.000848518798062933	0.0008469076651828818	0.000860892882393287	0.0008401125589857642	0.000833473567493728	0.0008541423719373323	0.0008378495371853242	0.0008339480242259909	0.0008262078436221652	0.0008282215195462917	0.0008516372476514373	0.0008478916611824232	0.0008371603056108975	0.0008400594401685149	0.0008239191168566758	0.0008234381145273725	0.0008012960933929876	0.0008374492301564812	0.0008012119734562191	0.00080763276201809	0.0008128763370231205	0.0008359769766140042	0.0008420177378688296	0.0008475830517445204	0.0008204929000407013	0.0008650715484764225	0.0008422123183065414	0.0008686337695593038	0.0008422162376136823	0.0008504745109631044	0.0008348737178590012	0.0008153445279012691	0.0008173444698018153	0.0008238156031185863	0.000816528085538492	0.0008475209544234156	0.00083805089046739	0.0008390061490282592	0.000838605896267544	0.0008422517927859248	0.0008277064443169542	0.0008306381079163784	0.0008389394042030685	0.0008427554170413546	0.0008607011665383817	0.0008146424757324711	0.0008365101540536179	0.000852712624141887	0.0008719101336823591	0.0008833384161782084	0.0008798040131605011	0.0008831330633800544	0.0008884239787351539	0.0008902964620722255	0.0008635675964366416	0.0008730281102048522	0.0008623614169063175	0.0008742398526021678	0.0008836059745283985	0.0008519614227425411	0.0009011697446289864	0.0008647116876154349	0.0008263349419265287	0.0008594323732413387	0.0008459896056085366	0.0008649951425184985	0.0008317508344957703	0.0008489523073664788	0.0008307005202091371	0.0008724160017029751	0.0008326648203213523	0.0008717102535923489	0.0008550437200126763	0.0008379569623769377	0.00083676281756959	0.000823218056172116	0.0008234390942914676	0.0008799317108904015	0.0008445966137047127	0.0008425844041823481	0.0008781332230489886	0.0008590988436008851	0.0008640971385373099	0.0008467202657462709	0.0008636210771692178	0.0008657081309294622	0.000855581042942226	0.0008725111832853349	0.0008754106030542362	0.0008839690181700708	0.0008564869535356513	0.0008579937170956239	0.0008807547860048921	0.0008555092341933317	0.0008924565999072774	0.0008799926940505649	0.0008762238767861037	0.0008724995076336367	0.0008971954335110611	0.0008611818927299164	0.0008548850154314566	0.000849259591089573	0.0008847383831537409	0.0008909753475472229	0.0008584249608676326	0.0008650016124098355	0.000852751186092037	0.0008321604057714999	0.000839174560444727	0.0008917430305849442	0.0008909447449871391	0.0008880184873193215	0.0008823686843799863	0.0008939381426729696	0.0008762882806827679	0.0008956857788975646	0.0008857868493828261	0.0008481735736775786	0.0008987430019633315	0.0009014165186174061	0.0009158238673795731	0.0008406335206768103	0.0008829239460573938	0.0008820179644101845	0.0008158365077579535	0.0009285153765605681	0.0008539422083939316	0.0008669253655899687	0.0008572251363023708	0.00043353486461064725
Water	0.0026564807831836977	0.0031117713312547013	0.0027673834881144486	0.005372420582395426	0.005712841504866639	0.005769238459465229	0.005768055957140371	0.005804794136923255	0.0058324512039425415	0.005803737898473406	0.005755747753298011	0.005780781138561711	0.005742693127258784	0.005712505721304397	0.005651892678464949	0.005624925851239961	0.005609753374072913	0.005558291114373522	0.005509436906248866	0.005455604428267941	0.005473272057288852	0.005398363475123339	0.0053742559814097994	0.005369573261542667	0.005301851287270691	0.005258464778253518	0.0052295907593807815	0.0052063854448510085	0.005148505686834407	0.005124412917132553	0.00509475356052165	0.005029245164094803	0.005032463370278673	0.00500731346665599	0.0049526325911911796	0.004947419339730477	0.004936575121417275	0.004943410469481345	0.004918589560008235	0.0048994256688730305	0.004887844113786307	0.0048313701452897045	0.004841140149460635	0.004826021956228885	0.004797295778098502	0.004791901358503283	0.004753149270576288	0.004759996691846571	0.004772396911953506	0.004735305940502637	0.004704998058865145	0.004686571253012623	0.0046966922993845394	0.004662078479188597	0.004673186395822497	0.004645555743704151	0.0046220598079941225	0.004629278328609214	0.0046182493270728806	0.004619248524610987	0.004608418187805955	0.004593011537043456	0.004591157806151961	0.00458893836048988	0.004558908578548995	0.004552576609868197	0.004515694872441123	0.0045339381893769425	0.004537946399115579	0.004532767574118369	0.004533697327837588	0.0045249726538707	0.004488783760838164	0.004472966214990788	0.004458534139109288	0.004478289667243635	0.00445906197361588	0.004482911785658043	0.004522968403985408	0.004550693057031316	0.00451765741851705	0.004527772190066906	0.0045268348414753135	0.004511205506530483	0.004499122694892431	0.0044729692598660005	0.004476265054540547	0.004469294956790722	0.004444944852746788	0.004453431770166881	0.004439184799704045	0.00443351019627779	0.00441464423976311	0.004403282529698329	0.004404635666139403	0.004400203434511084	0.004417566075605647	0.004374678185290613	0.0043813699685906074	0.004355737820114393	0.0043504336469457755	0.00434131660806783	0.004289461598082035	0.004296129911872157	0.0043477296290485926	0.004286273688015511	0.004293262158154174	0.004319756731089536	0.004302446900908467	0.00432807218429117	0.0043205556576289906	0.0043147207606008394	0.004291486871830425	0.004312822832795495	0.004308766593002996	0.0042680969351188295	0.0042609795986847925	0.00424772910239745	0.004273376528888388	0.004262821786516994	0.004242660209727193	0.004254222656295588	0.0042801301633995726	0.004304281350914223	0.004289357006824179	0.004263649400031306	0.004285605384862066	0.004287127843527979	0.004266461341646356	0.004283877170880428	0.004293041368201329	0.00430803095458987	0.004292969535941762	0.004296796352243035	0.004266928781942739	0.00427397728896346	0.004221655879692194	0.004221129725727282	0.0042111933391103295	0.006569524708873799
Acetylene	0.0	0.0	0.004636995089395986	0.008908497723998158	0.00885911044270602	0.008747645902930146	0.008777523027014747	0.00890122309322426	0.008982111734771769	0.008973446245202929	0.009094014525173161	0.008985485529686758	0.008971063835988394	0.008988912612563772	0.009041814089460426	0.00907787075539113	0.009049687810987242	0.00911217095145872	0.009229829560079462	0.00924537478917637	0.009257802010406487	0.009172105917960296	0.009306991403753285	0.009210110230882368	0.009314846600637638	0.009283321953134093	0.009137620180757863	0.009263521061592932	0.009367121098638638	0.00919207582329727	0.00922784681166852	0.009138207739046146	0.009229653158751768	0.009415631126704632	0.009318344316248188	0.009339350766326726	0.009239275426517864	0.009362809396338084	0.009401137352555395	0.009079866134368359	0.00913131147304833	0.00928825044964822	0.009139456429390338	0.00927921274707357	0.009246198675074733	0.009232517072662982	0.009142316462600882	0.009228287827683777	0.008945732810373804	0.009191197928729826	0.009124757082700946	0.009367446939297556	0.009237659824175072	0.009245291129971883	0.009275407243296823	0.009368235756976116	0.00936349563673522	0.009364990069461905	0.009356047870427965	0.009316165623318799	0.009392382349059775	0.00938336586899026	0.009391640577322679	0.00924481828636012	0.009352975505907756	0.009371179966507204	0.00943072700696979	0.009568200797447649	0.009236059055052896	0.009416634768484578	0.009480670556454827	0.009458794678187402	0.009509172190993747	0.009450813707359446	0.009550005454266165	0.00924999984989352	0.009438931529248712	0.009382804847602996	0.009480781828873184	0.009288182648150184	0.009517099629177345	0.009588278347276399	0.009444063486549605	0.009435550875672693	0.009540142424447192	0.009525578050925656	0.009563633995315539	0.009471941787550153	0.009523098220428274	0.009448563119528347	0.0094349234300681	0.009531777315007026	0.009664653418948831	0.009644483840475494	0.009485310020493827	0.009584086232115017	0.009520763868359837	0.009555658060692643	0.00963877817515584	0.009565558879362467	0.009460915725050523	0.009529623524771751	0.009498261536006414	0.009403996934915528	0.009620238273526968	0.009579837523745038	0.009710038829662848	0.009581549256902773	0.0095656269702596	0.009681315116319283	0.009598588778501546	0.009511906838083378	0.009681569190115558	0.009671842464767494	0.009710045049512308	0.009523903070700253	0.009573673590117971	0.009634109317111153	0.009584520552522449	0.009487754570779479	0.009707205166219462	0.009598440447282232	0.009631985878823905	0.009522026842861967	0.009625333694621575	0.009575266835890677	0.009831371065078089	0.0096030156026833	0.00955426125756035	0.009436370078824426	0.009563808802052584	0.009838156208771287	0.009618897352007038	0.009700787242905507	0.009737088867800078	0.009906098248469655	0.00947644166367593	0.00965644473966512	0.009485827576588954	0.0062814522033837784
Carbon monoxide	0.01984853760294661	0.009563486195464524	0.015965267444916647	0.017987754864354704	0.01869623273092404	0.018411551105312982	0.018317574545893403	0.018159253111127253	0.018552502767700308	0.018347685773419775	0.018185036924766907	0.0194311210829883	0.018204836207461553	0.01846869288994841	0.018248578397377573	0.01854343190627983	0.01857474393619221	0.01834274588047353	0.018488625875871315	0.018271739988007914	0.01840160915936765	0.01870227057302614	0.018531209027911246	0.01848334768676038	0.018338717423571932	0.018186812517997804	0.01856558200591511	0.018378318801775387	0.018191528684872896	0.01823714975807903	0.018230926197261424	0.018319608307722925	0.018215224079661342	0.018189305422187656	0.018119255352014127	0.018173967313909568	0.017953366826023498	0.018144752255095226	0.018151723787216283	0.018202029910789452	0.018129993173797525	0.018066861652764284	0.017986657102460425	0.018141816278678412	0.017895010050281705	0.01798760555779893	0.017844039977260414	0.01794516405825291	0.018272232666811224	0.018014764420350736	0.018355046543365342	0.018248793576241183	0.017873929915927237	0.017927229763283363	0.018052582880078386	0.017959423621334215	0.017839582174300803	0.018304879672969544	0.01794635811927224	0.018042639977887284	0.017984807498465514	0.017914243183542167	0.018157648661699468	0.017827005091022172	0.018137692817507968	0.01791917436011422	0.017891208535159984	0.018419748497197068	0.0183302624266321	0.01803826462471267	0.01799925618795343	0.01800624756520852	0.018051070063120678	0.017893573198060828	0.018072233071762485	0.018074644813652285	0.01800024144153568	0.018076421572687306	0.01814026352329987	0.018555841561919025	0.01823295952354854	0.018115520975025844	0.018251581978718255	0.018148708756567294	0.01825343529191257	0.018120123977008035	0.018148999754524914	0.018108818743530066	0.01806170779657935	0.017900414113446377	0.0178722248919536	0.017992220472162024	0.018054734873582817	0.017939578311262444	0.018381499336275028	0.017907753755596004	0.017980622975647908	0.0179297797405391	0.017833601486108953	0.018011179051612404	0.01791778984451711	0.01792078673985071	0.01784041766789142	0.017711862839364507	0.017747180229729334	0.017720539680863043	0.01805880821000173	0.018114547725915652	0.017681548891375555	0.017993691296475774	0.018056851051375528	0.017956643279368325	0.018001364906599003	0.01814484368646188	0.01789549592433882	0.017929230976857988	0.017988341671215696	0.01809196746938671	0.017847135990198198	0.018149883198765048	0.017984213914610636	0.017899387471365664	0.0179127326697109	0.018067481015293953	0.018082666738207825	0.017903174351314808	0.0181780776840424	0.017981454386646317	0.018079101659389203	0.018037965128367042	0.01807185305713235	0.01804227807773552	0.018051594464752345	0.01820209931837891	0.01804632343010028	0.018263051592575245	0.018154489897514288	0.018047783348462004	0.017780026072809704	0.04548773296958522
Ethylene	0.0	0.0	5.712820025383413e-05	0.0004047373963925547	0.0005728282162768771	0.0006853590193274864	0.000622738107843058	0.0005753693568029415	0.0005636446701153954	0.0006028928713489356	0.0004874505191117613	0.0006725388285237724	0.0005128632135828914	0.0005292990472741721	0.0005296291483386482	0.0004699795931479031	0.00044555782731939357	0.0004351232954507483	0.00041287045570585393	0.0003276505352316594	0.00037358083684290295	0.00035880364242593524	0.00038132938038371977	0.0004953115214745333	0.00033476179418363735	0.00026506948987335075	0.00041757647617471344	0.00034853643769930354	0.0002635159127535829	0.00028793028126396995	0.0002918087432593069	0.00033617621491197606	0.000274212400103482	0.00024422011666657345	0.0002134715249902422	0.00025292904609708756	0.0002179645943969539	0.0002050381367047182	0.00019004125548569993	0.0003734360755519617	0.0002472038943103	0.0002120889860367856	0.0002447947725277498	0.00022649072537891214	0.00016981503203248758	0.00022500665895812497	0.0001842779209380674	0.00019605643922676093	0.0004363823994487699	0.00029022494268086317	0.00023862364353768387	0.00022290555416912494	0.00026746869945555433	0.0002316873678887016	0.0002191468496124424	0.0001636224333030186	0.0001614482448446032	0.00020678959795717225	0.00019184943644677034	0.0002482255290823336	0.00017689625329428212	0.00017852644321665663	0.00020018944144813952	0.00019414214756624637	0.00021374030023726376	0.0001811703462949199	0.00014507522540594932	0.00018385095930016111	0.0002582776166435487	0.00015418041721668106	0.00017475213022406064	0.00012344062335616012	0.00011535101931116291	0.00010840350493700295	0.00011668119671822586	0.0002568563018873606	0.000204077449849354	0.00023322036543034039	0.0001489282864458069	0.0003200594110890716	0.00015660148167377712	0.00013758559430015804	0.0002435586860040385	0.00015432822442331364	0.00022700688417708992	0.00017671904859535822	0.00017790399245642955	0.00020999015446968334	0.00016486032068026594	0.0001355737348613068	0.00014798147527844506	0.00012180418029889262	9.334360514355768e-05	8.796454471343382e-05	0.00011483773743649204	0.00012052667739752455	0.00013298804405916583	0.00010464302344611412	0.00011084529206612054	0.00011585568513673959	0.00012886392876178913	0.00010256859291296932	0.00012545746228544616	0.00011062025935919887	0.00011741737259037171	8.385919776770645e-05	6.7055236438323e-05	0.00010663378954936643	9.300248289967679e-05	9.185332307534803e-05	0.00012018102546938453	0.0001641423774163103	9.747227775191778e-05	0.00013336191600830436	0.00012610812229776208	0.0001522130906509389	8.299678450150937e-05	7.917961518279881e-05	7.573546428208529e-05	0.00016199984673511802	7.650603668987387e-05	0.0001296325559397542	6.981580854549219e-05	0.00014964024503980004	0.0001702440705512851	0.00012038214283194739	9.404516456539012e-05	8.298978732877074e-05	0.00010595258155821285	0.00015725954391138943	9.400527335356414e-05	5.1109109986567185e-05	5.830574216817708e-05	6.410067538442677e-05	6.165530012789338e-05	4.073891706592057e-05	0.00018901980065794477	2.6721528069779423e-05	8.311752595736942e-05	0.0001530862510742959
Ethane	0.0005307213736825364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00025468977255523045
Oxygen	0.002881528227722154	0.0016751130598435344	0.00020217650085379757	8.283275669240125e-05	8.11832941907292e-05	8.479694931898949e-05	9.56617733797827e-05	0.00010463946569065973	0.00011097651228234884	0.00011678625142241182	0.00012652028056315742	0.0001258503237152413	0.00012661399486009752	0.00013442274868065866	0.00013327032602064663	0.0001488163525062302	0.00014093852466746614	0.0001365334403298993	0.00014188877008918747	0.00014181061160935078	0.00013411543662895906	0.00014554496922735346	0.00013659038455914597	0.00014298233008219573	0.00015981753961048393	0.00012840186748861002	0.0001379831676864731	0.00013775531185881523	0.0001295553668402901	0.00012256973998740279	0.00012217237367149152	0.0001267155831128922	0.00011995203952119417	0.00012884030710536826	0.00011178364052632666	0.00011185993476179748	0.00010510283690863828	0.00011384354043980829	0.00010113279987407991	0.0001131740033954321	0.00012381861871433466	0.0001088678213394396	0.00010799518211341313	0.00010151578574247715	9.536200859930204e-05	9.545570116778194e-05	9.015147873328898e-05	8.981200508760455e-05	9.674474947758299e-05	9.821948160787838e-05	9.517427375464056e-05	9.363567360190825e-05	8.776320823244831e-05	8.210002288493642e-05	8.209174408436568e-05	7.898808876018218e-05	7.844372830654594e-05	7.60176794610309e-05	6.943495057726942e-05	6.25054625699719e-05	6.167131892897302e-05	5.6789918647816726e-05	5.99562484524204e-05	5.4169157143538114e-05	5.7130605747717885e-05	5.148800218771108e-05	5.0778193591741624e-05	4.888857483900828e-05	5.6096705797672083e-05	6.245318109415201e-05	5.2678628590058015e-05	5.075220908897379e-05	4.687111339535309e-05	4.44566921168552e-05	4.509029543641735e-05	4.2583989788651785e-05	4.142671956340347e-05	7.555704646708301e-05	7.361286910270427e-05	7.632382903407255e-05	7.15676048950599e-05	6.549284753621871e-05	7.248128526415544e-05	6.499685578990735e-05	6.845083562263764e-05	5.446928282621693e-05	5.384653944184155e-05	5.042366597603194e-05	4.577957380956632e-05	4.807309136974147e-05	4.9215151244171384e-05	4.4677518417167456e-05	4.108241327344382e-05	3.909372630165401e-05	4.4170056711923134e-05	4.492335994517291e-05	3.622440664090412e-05	3.3110373831752114e-05	3.1706962992752e-05	2.7982902786146574e-05	2.7004349675666146e-05	2.5132393712027995e-05	2.373732866154244e-05	2.5631581750976824e-05	2.5178478049888244e-05	2.313505651741132e-05	2.2462603052837098e-05	2.0580878756771895e-05	2.0179547303019048e-05	1.56268115069809e-05	1.5752871208335248e-05	1.6594989252242755e-05	1.0869991373034968e-05	9.66953742658221e-06	8.330199860604664e-06	8.808765895409212e-06	8.603073123636233e-06	6.262943061672168e-06	4.613706963010231e-06	8.10114401801179e-06	4.831891553656208e-06	3.764208483441002e-06	3.370123618275499e-06	3.5849319123200987e-06	6.113096481191714e-06	2.892797538841936e-06	1.7864392568268471e-06	6.962181860367502e-07	9.557358569691413e-07	1.7142866845259166e-06	6.836931499997931e-06	9.862419717531665e-06	8.580519223081311e-06	6.268442057450541e-06	5.223103648266729e-06	5.964528610048508e-06	4.757286030634808e-06	4.02284754628335e-06	2.088907996430861e-06	0.005230871624292992
Argon	1.009532095898175	1.0109865641222475	1.0127043574841348	1.011212057687123	1.0115182865557155	1.0115992492566324	1.0117936942193455	1.011746131982279	1.0118545846983724	1.011788640178657	1.011862977682501	1.0118414117763306	1.0118206252084507	1.0119128006513354	1.0118605804517757	1.0119047594646378	1.011931335545966	1.0119423628121569	1.0119094929353505	1.0119941622523647	1.0119475697062315	1.0119758610705138	1.012046321660006	1.0120157792878037	1.011965060617765	1.0119956014702725	1.0119688429094766	1.0119889560006397	1.0120242668073594	1.0120497541228128	1.0120266547226713	1.0118927427528825	1.0120875760161525	1.0120383710739864	1.0119796148339801	1.0120849882200822	1.011943743625619	1.0121310904354073	1.0120922437016606	1.0119880076489414	1.0120907010531197	1.0120440240327713	1.0120620006211802	1.0120899531281418	1.0121081472509368	1.0121524805905413	1.012206795325779	1.0121690947422863	1.0120693562961915	1.0120886320784046	1.01211578037708	1.0120916464613479	1.0121324221253127	1.0120615199225773	1.0121693942792305	1.012149374433644	1.0121930701452821	1.0121791419398214	1.012094213359817	1.012116054785235	1.0122329543808593	1.0122042215298384	1.012187819600967	1.0121639139024095	1.0121610129983536	1.0120866991495414	1.0121405933374976	1.0121677188532936	1.0121809742546615	1.0122144449989703	1.0122356917951367	1.0121723083244172	1.0122223475338257	1.012273281717002	1.012194124138834	1.0122287415315	1.012239582198905	1.0121747576623656	1.0121742920812695	1.0121981160710491	1.0121648540784314	1.0122718110204654	1.0122195313946243	1.0122225971423155	1.0122028621354373	1.0122079473012981	1.01221248048915	1.0122158256181537	1.0122668358829954	1.0121896753342818	1.0121747656824331	1.01221076047595	1.0121755121353482	1.0121837512318868	1.0121789585154826	1.0122198596926981	1.0123006395329377	1.0122179811138319	1.0121673928920325	1.0122785419291036	1.0122067997242472	1.012238969792463	1.0119628133576721	1.012208652462229	1.0122430746055242	1.0119336561392973	1.0122331821945585	1.0122924915233003	1.0120269526311918	1.0121981939886315	1.0122695993510704	1.0122561770015932	1.0122132295030355	1.01218275516264	1.0122395450368236	1.012097860264957	1.0122531868689972	1.0121534641180854	1.0121000758492	1.01222976595126	1.012076324646335	1.0122076179944777	1.0122179343204547	1.0122424554096217	1.012220442223847	1.0122781338706888	1.012229077295672	1.0122329861903379	1.0121470295453339	1.0122153154856166	1.012124637526045	1.0121921228940334	1.0122985597146412	1.0122195730054315	1.0121839004004762	1.0121239607332473	1.0121451155363825	1.012243200534518	1.0120933091745767	1.0120333713660044
