Molecule	Hydrogen	Deuterium	Methane	Water	Acetylene	Carbon monoxide	Ethylene	Ethane	Oxygen	Argon	Cyclopropene	Allene	Propyne	Propene	Carbon dioxide	Propane	Ethanol	1,3-Butadiyne	1-Buten-3-yne	1,3-Butadiene	1-Butyne	2-Butyne
Cycle_1	0.00039318834935176376	3.4751456455649e-06	0.0	0.0037533442754029587	0.0	0.018917271037949112	0.0	0.0008251000644344603	0.003787151887660224	1.0100361035950387	0.0	0.0	0.0	0.0	0.0	2.0848980017575373e-05	0.0	0.0	0.0	0.0	0.00022266480723846872	0.0
Cycle_2	0.0004061086943239044	3.5225035264178757e-06	0.0	0.003803396215880337	0.0	0.018416869035542082	0.0	0.0007625833975480271	0.0036818215487662955	1.0103794755545323	0.0	0.0	0.0	0.0	0.0	4.682355643069782e-05	0.0	0.0	0.0	0.0	0.00022233727803809404	0.0
Cycle_3	0.0003945937473171668	3.478224507131362e-06	0.0	0.0037657114760492128	0.0	0.017911712776525045	0.0	0.0007129843652173246	0.003585979447241783	1.0104174605172258	0.0	0.0	0.0	0.0	0.0	6.149802858321814e-05	0.0	0.0	0.0	0.0	0.00022775542938044592	0.0
Cycle_4	0.0003975347284484494	3.7090986784350614e-06	0.0	0.0037518070871906807	0.0	0.01767180156557717	0.0	0.0006853844512647729	0.0035337196452335192	1.0103814895579248	0.0	0.0	0.0	0.0	0.0	7.202567958950524e-05	0.0	0.0	0.0	0.0	0.00023450397597699933	0.0
Cycle_5	0.0004031293289590203	3.411623132295584e-06	0.0	0.0037480004614110817	0.0	0.017506135082691963	0.0	0.0006751661242553781	0.003503993907099422	1.0104383605586402	0.0	0.0	0.0	0.0	0.0	7.391606665159981e-05	0.0	0.0	0.0	0.0	0.00023399955159569916	0.0
Cycle_6	0.00039509266067759704	3.44276299855238e-06	0.0	0.003757416936680362	0.0	0.01747898917142334	0.0	0.0006810963204700602	0.0034817527756287455	1.0104623487206719	0.0	0.0	0.0	0.0	0.0	7.134068386407909e-05	0.0	0.0	0.0	0.0	0.00023006788549747936	0.0
Cycle_7	0.0004026911247533547	2.6746379293261573e-06	0.0	0.003751947066254641	0.0	0.01731455224672138	0.0	0.0006647013961463521	0.0034644909791923103	1.0104450004695735	0.0	0.0	0.0	0.0	0.0	7.849787529790197e-05	0.0	0.0	0.0	0.0	0.00023147360978681918	0.0
Cycle_8	0.00039672298971992777	3.487011219244652e-06	0.0	0.0037371807806586828	0.0	0.017097433515413193	0.0	0.0006343634497576448	0.003417456427311638	1.0104581210878512	0.0	0.0	0.0	0.0	0.0	8.362128193187686e-05	0.0	0.0	0.0	0.0	0.00024610725710382827	0.0
Cycle_9	0.0004023115864892569	4.278968008644083e-06	0.0	0.003710274981490665	0.0	0.01681783783081159	0.0	0.0006015424463720172	0.003362524034768431	1.0104955469135108	0.0	0.0	0.0	0.0	0.0	9.332523329884702e-05	0.0	0.0	0.0	0.0	0.0002439353374750166	0.0
Cycle_10	0.0004020244173615788	3.3075177880215255e-06	0.0	0.003703451278878491	0.0	0.016613645954014045	0.0	0.0006017019013972641	0.003313793717377807	1.0104978528185196	0.0	0.0	0.0	0.0	0.0	9.490699641793302e-05	0.0	0.0	0.0	0.0	0.0002378303359671297	0.0
Cycle_11	0.0003972922075295271	3.014374278719422e-06	0.0	0.0037004390271351394	0.0	0.016780542153871217	0.0	0.000615224474446577	0.0033723052447310817	1.010536221787609	0.0	0.0	0.0	0.0	0.0	9.174186003925867e-05	0.0	0.0	0.0	0.0	0.00024208138746447335	0.0
Cycle_12	0.00040273296606661065	3.906963054120364e-06	0.0	0.0037011990380449275	0.0	0.016911702847682987	0.0	0.0006207542065120469	0.0033880051402170237	1.0105223767444145	0.0	0.0	0.0	0.0	0.0	9.044640195449926e-05	0.0	0.0	0.0	0.0	0.00023900521816325955	0.0
Cycle_13	0.00040230060188522386	3.781384423495054e-06	0.0	0.0037081811019373766	0.0	0.016778647374987538	0.0	0.0006016978134284235	0.0033605097152216335	1.0105310629884796	0.0	0.0	0.0	0.0	0.0	9.544670304797133e-05	0.0	0.0	0.0	0.0	0.0002460426330776311	0.0
Cycle_14	0.00039755862462993307	3.5949721344255775e-06	0.0	0.003685200130108748	0.0	0.0166509225684661	0.0	0.0005892128669526749	0.0033165087862576277	1.0105320806719182	0.0	0.0	0.0	0.0	0.0	9.532809205909458e-05	0.0	0.0	0.0	0.0	0.0002467992414818831	0.0
Cycle_15	0.00039900461316442397	3.534384378182302e-06	0.0	0.003665724097714902	0.0	0.016525476120630735	0.0	0.0005867068372271418	0.003297532105228412	1.010510478561535	0.0	0.0	0.0	0.0	0.0	9.841745487765939e-05	0.0	0.0	0.0	0.0	0.0002493259111561366	0.0
Cycle_16	0.0004033814788023487	3.509616970590458e-06	0.0	0.0036435272414990574	0.0	0.016515961179668852	0.0	0.0005662349521313125	0.0032940844226964404	1.010555342008401	0.0	0.0	0.0	0.0	0.0	0.00010372334039012391	0.0	0.0	0.0	0.0	0.00024867101293288215	0.0
Cycle_17	0.0004025682446539095	3.49422136275597e-06	0.0	0.003641911212880239	0.0	0.01647196847461929	0.0	0.0005801776695237918	0.0032938218323621585	1.0105819150097197	0.0	0.0	0.0	0.0	0.0	0.00010223250526870676	0.0	0.0	0.0	0.0	0.00024207905491833997	0.0
Cycle_18	0.0004043576380114506	3.195268006176929e-06	0.0	0.0036434980500880928	0.0	0.01652208392062427	0.0	0.000577124952960991	0.0032987165079455282	1.0105786315449157	0.0	0.0	0.0	0.0	0.0	0.00010216522879212238	0.0	0.0	0.0	0.0	0.0002454872733096201	0.0
Cycle_19	0.0004051210856765579	3.760836382497119e-06	0.0	0.0036277965082473	0.0	0.016566787458608966	0.0	0.00058035555302231	0.0033032261649903	1.0105710647436634	0.0	0.0	0.0	0.0	0.0	0.00010337941855204245	0.0	0.0	0.0	0.0	0.00024303823177380837	0.0
Cycle_20	0.00040678168958416933	3.717441443364751e-06	0.0	0.0036306693543350955	0.0	0.016646184275583953	0.0	0.0005848280845230501	0.0033314769210417115	1.0106042324100457	0.0	0.0	0.0	0.0	0.0	0.00010097305197227688	0.0	0.0	0.0	0.0	0.0002446108805434226	0.0
Cycle_21	0.0004062492647858259	3.0173899542727724e-06	0.0	0.003614104325470975	0.0	0.01672184732031386	0.0	0.0005964499125536334	0.0033558079769562123	1.0106178204497467	0.0	0.0	0.0	0.0	0.0	9.938297282646049e-05	0.0	0.0	0.0	0.0	0.0002460738778991802	0.0
Cycle_22	0.0004048700836246661	3.606067164984585e-06	0.0	0.003621295285045604	0.0	0.01673335124300801	0.0	0.000591553957986712	0.003331555692327915	1.0105975350662677	0.0	0.0	0.0	0.0	0.0	9.883744470681322e-05	0.0	0.0	0.0	0.0	0.000246612316961066	0.0
Cycle_23	0.0004028571425190792	3.8103959928084555e-06	0.0	0.0035990739129522086	0.0	0.016746358408311835	0.0	0.0005892022677282808	0.0033314576866452484	1.0106323814821314	0.0	0.0	0.0	0.0	0.0	0.00010118742409087306	0.0	0.0	0.0	0.0	0.0002463853363447067	0.0
Cycle_24	0.000402849150109933	3.8091852960879524e-06	0.0	0.003612273951560245	0.0	0.016830090209471665	0.0	0.0006057393036183556	0.0033518085636083236	1.0106373369880417	0.0	0.0	0.0	0.0	0.0	9.57884688886757e-05	0.0	0.0	0.0	0.0	0.0002446178667217838	0.0
Cycle_25	0.00040541458846297626	3.3841511260791464e-06	0.0	0.0036010470332788584	0.0	0.016817960117562796	0.0	0.0005956985192448264	0.0033485999126600867	1.0106206745816462	0.0	0.0	0.0	0.0	0.0	0.00010007749526071949	0.0	0.0	0.0	0.0	0.0002483863699753751	0.0
Cycle_26	0.0004091109691032324	3.2949452046722753e-06	0.0	0.0035877951765540305	0.0	0.016807448582274575	0.0	0.0005987188984383848	0.0033660792621856895	1.0106458801009768	0.0	0.0	0.0	0.0	0.0	0.00010045651157676834	0.0	0.0	0.0	0.0	0.00024309718035622405	0.0
Cycle_27	0.00040971158280120876	3.787682689264274e-06	0.0	0.0035863838402449403	0.0	0.016953269168644553	0.0	0.0006122023328155732	0.0033741265627501085	1.0106169294660698	0.0	0.0	0.0	0.0	0.0	9.27003268531079e-05	0.0	0.0	0.0	0.0	0.0002454861089250912	0.0
Cycle_28	0.0004132655504960163	3.555182338810638e-06	0.0	0.003588667318075788	0.0	0.01702572722294058	0.0	0.0006099149478044115	0.0034034764224287538	1.0106628002327738	0.0	0.0	0.0	0.0	0.0	9.480586261594485e-05	0.0	0.0	0.0	0.0	0.00024457094024102935	0.0
Cycle_29	0.00040974930710583035	3.3537718457351596e-06	0.0	0.00358671282293328	0.0	0.017015325185151555	0.0	0.0006047377187325356	0.0033998644291652973	1.0106499930828845	0.0	0.0	0.0	0.0	0.0	9.40386962213783e-05	0.0	0.0	0.0	0.0	0.0002491086333722134	0.0
Cycle_30	0.00040789548666337157	3.535996097023264e-06	0.0	0.003584845430046918	0.0	0.017052636371306145	0.0	0.000619043171501072	0.003405787527355615	1.0106733422721048	0.0	0.0	0.0	0.0	0.0	9.572130557245269e-05	0.0	0.0	0.0	0.0	0.00024960276543056537	0.0
Cycle_31	0.0004111968016155244	3.7219861291231705e-06	0.0	0.003589581481108714	0.0	0.01725044754547691	0.0	0.0006272754100599514	0.0034340106984331814	1.010666078093773	0.0	0.0	0.0	0.0	0.0	9.190853432899968e-05	0.0	0.0	0.0	0.0	0.00024517944061530167	0.0
Cycle_32	0.00041117898283026606	3.552016899090345e-06	0.0	0.0035906775073036284	0.0	0.01727048113581912	0.0	0.000640863547358735	0.003456264051442824	1.0107011591235546	0.0	0.0	0.0	0.0	0.0	8.77851925705209e-05	0.0	0.0	0.0	0.0	0.00023679735733942255	0.0
Cycle_33	0.00041155559933919066	3.5505870491707816e-06	0.0	0.0035833132484861053	0.0	0.017387750433913704	0.0	0.0006359016863989473	0.003475959180875089	1.0106574618650506	0.0	0.0	0.0	0.0	0.0	8.733604841020063e-05	0.0	0.0	0.0	0.0	0.00024245774158193384	0.0
Cycle_34	0.00040161961983179665	4.046747749284862e-06	0.0	0.003584416245969862	0.0	0.017415524445995503	0.0	0.0006394640310371796	0.003480091465868081	1.0106466869909276	0.0	0.0	0.0	0.0	0.0	8.863655578729678e-05	0.0	0.0	0.0	0.0	0.00024451858454717053	0.0
Cycle_35	0.00040548687494128277	4.032030206384816e-06	0.0	0.0035781920964687765	0.0	0.017447187761766517	0.0	0.0006512337249192986	0.0034920341253367117	1.0106457499656465	0.0	0.0	0.0	0.0	0.0	8.602334889044061e-05	0.0	0.0	0.0	0.0	0.00024662722931189783	0.0
